group,key,value,source
train_forecast_de,horizon_hours,24,configs/train_forecast.yaml
train_forecast_de,lookback_hours,168,configs/train_forecast.yaml
train_forecast_de,cross_validation.n_folds,10,configs/train_forecast.yaml
train_forecast_de,cross_validation.gap,24,configs/train_forecast.yaml
train_forecast_us,horizon_hours,24,configs/train_forecast_eia930.yaml
train_forecast_us,lookback_hours,168,configs/train_forecast_eia930.yaml
train_forecast_us,cross_validation.n_folds,10,configs/train_forecast_eia930.yaml
train_forecast_us,cross_validation.gap,24,configs/train_forecast_eia930.yaml
dc3s_rac,sensitivity_probe,heuristic,configs/dc3s.yaml
dc3s_rac,sens_eps_mw,25.0,configs/dc3s.yaml
dc3s_rac,sens_norm_ref,0.5,configs/dc3s.yaml
dc3s_rac,beta_reliability,0.7,configs/dc3s.yaml
dc3s_rac,beta_sensitivity,0.5,configs/dc3s.yaml
dc3s_rac,k_sensitivity,0.4,configs/dc3s.yaml
regime_cqr,enabled,True,configs/uncertainty.yaml
regime_cqr,n_bins,3,configs/uncertainty.yaml
regime_cqr,vol_window,24,configs/uncertainty.yaml
regime_cqr,quantile_backend_policy,strict,configs/uncertainty.yaml
