severity,status,category,path,symbol,issue,proposed,rationale
P2,exception,file,tests/test_T10_boundary_lower_bound.py,test_T10_boundary_lower_bound.py,Filename preserves theorem identifier used in paper/formal artifacts,keep; document exception,theorem IDs are external evidence labels
P2,exception,file,tests/test_T11Byz_robust_oqe.py,test_T11Byz_robust_oqe.py,Filename preserves theorem identifier used in paper/formal artifacts,keep; document exception,theorem IDs are external evidence labels
P2,exception,file,tests/test_T5_certificate_validity.py,test_T5_certificate_validity.py,Filename preserves theorem identifier used in paper/formal artifacts,keep; document exception,theorem IDs are external evidence labels
P2,exception,file,tests/test_T8_graceful_dominance.py,test_T8_graceful_dominance.py,Filename preserves theorem identifier used in paper/formal artifacts,keep; document exception,theorem IDs are external evidence labels
P2,exception,file,tests/test_T9_mandatory_release_impossibility.py,test_T9_mandatory_release_impossibility.py,Filename preserves theorem identifier used in paper/formal artifacts,keep; document exception,theorem IDs are external evidence labels
P2,exception,file,tests/test_TPAC_trajectory_certificate.py,test_TPAC_trajectory_certificate.py,Filename preserves theorem identifier used in paper/formal artifacts,keep; document exception,theorem IDs are external evidence labels
P2,exception,file,tests/test_Tminimax_finite_ambiguity.py,test_Tminimax_finite_ambiguity.py,Filename preserves theorem identifier used in paper/formal artifacts,keep; document exception,theorem IDs are external evidence labels
P2,exception,file,tests/test_Tsensor_necessity.py,test_Tsensor_necessity.py,Filename preserves theorem identifier used in paper/formal artifacts,keep; document exception,theorem IDs are external evidence labels
P2,exception,file,tests/test_Tstale_uncertainty_growth.py,test_Tstale_uncertainty_growth.py,Filename preserves theorem identifier used in paper/formal artifacts,keep; document exception,theorem IDs are external evidence labels
P2,exception,function,tests/test_modbus_tcp_driver.py,isError,External API compatibility name in test double,keep,mimics pymodbus-style API
P2,exception,function,tests/test_modbus_tcp_driver.py,isError,External API compatibility name in test double,keep,mimics pymodbus-style API
P3,classified_risk,duplicate_function_name,scripts/build_av_closed_loop_planner_artifacts.py;scripts/build_claim_governing_tables.py;scripts/build_domain_closure_matrix.py;scripts/build_equal_domain_artifact_discipline.py;scripts/build_orius_monograph_assets.py;scripts/build_t9_t10_research_package.py;scripts/build_theorem_promotion_gates.py;scripts/build_three_domain_ml_artifacts.py,_write_csv,Function name appears 27 times; risk classified in naming_risk_resolution.csv,domain-qualified helper name,generic helper name can obscure traces
P3,classified_risk,duplicate_function_name,scripts/build_claim_governing_tables.py;scripts/build_metrics_snapshot.py;scripts/build_paper_table_tex.py;scripts/build_runtime_release_contract_witnesses.py;scripts/build_top_venue_research_package.py;scripts/build_utility_preserving_safety_scorecard.py;scripts/package_regional_grounding_outputs.py;scripts/regenerate_battery_checklist.py,_read_csv,Function name appears 21 times; risk classified in naming_risk_resolution.csv,domain-qualified helper name,generic helper name can obscure traces
P3,classified_risk,duplicate_function_name,scripts/build_clean_artifact_release.py;scripts/build_code_quality_bundle.py;scripts/build_data_manifest.py;scripts/build_workspace_cleanup_manifest.py;scripts/final_submission_audit.py;scripts/full_folder_audit.py;scripts/generate_deployment_evidence.py;scripts/post_training_paper_update.py,_sha256,Function name appears 18 times; risk classified in naming_risk_resolution.csv,domain-qualified helper name,generic helper name can obscure traces
P3,classified_risk,duplicate_function_name,src/orius/av_waymo/replay.py;src/orius/cpsbench_iot/telemetry_soc.py;src/orius/legacy/orius_bench/aerospace_track.py;src/orius/legacy/orius_bench/industrial_track.py;src/orius/legacy/orius_bench/navigation_track.py;src/orius/orius_bench/adapter.py;src/orius/orius_bench/battery_track.py;src/orius/orius_bench/healthcare_track.py,observe,Function name appears 18 times; risk classified in naming_risk_resolution.csv,domain-qualified helper name,generic helper name can obscure traces
P3,classified_risk,duplicate_function_name,scripts/build_app_c_all_theorems.py;scripts/build_app_c_flagship_proofs.py;scripts/build_orius_framework_proof.py;scripts/hf_jobs/code_quality_job.py;scripts/post_training_paper_update.py;scripts/release_check.py;scripts/run_evidence_artifacts.py;scripts/run_orius_canonical_closure_refresh.py,_run,Function name appears 16 times; risk classified in naming_risk_resolution.csv,domain-qualified helper name,generic helper name can obscure traces
P3,classified_risk,duplicate_function_name,scripts/build_data_integrity_audit.py;scripts/build_nuplan_closed_loop_artifacts.py;scripts/build_publication_artifact.py;scripts/final_submission_audit.py;scripts/recalibrate_conformal_from_backtests.py;scripts/run_95_validation_training.py;scripts/run_orius_bench_replay_test.py;scripts/run_r1_release.py,_load_json,Function name appears 16 times; risk classified in naming_risk_resolution.csv,domain-qualified helper name,generic helper name can obscure traces
