category,path,symbol,rationale
notation_parameter,scripts/build_healthcare_runtime_artifacts.py,_trace_row(validity_horizon_H_t),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,scripts/run_transfer_study.py,_predict_gbm(X),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,scripts/shap_importance.py,plot_shap_summary(X_explain),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/anomaly/isolation_forest.py,fit_iforest(X),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/anomaly/isolation_forest.py,predict_iforest(X),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/certificate.py,make_certificate(validity_horizon_H_t),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/coverage_theorem.py,hoeffding_violation_bound(T),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/half_life.py,time_to_expiration(H_t),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/half_life.py,verify_horizon_safety(H_t),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/quality.py,w_t_as_capacity_proxy(H_X),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/supporting_results.py,verify_zero_violation_regime(T),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/supporting_results.py,verify_perfect_telemetry_collapse(T),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/theoretical_guarantees.py,compute_adaptive_regret_bound(T),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/theoretical_guarantees.py,assert_sublinear_regret(T),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/theoretical_guarantees.py,simulate_adaptive_tracking(T),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/theoretical_guarantees.py,compute_tight_impossibility_bound(K_factor),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/theoretical_guarantees.py,verify_minimax_gap(K_factor),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/theoretical_guarantees.py,verify_complete_characterization(K_factor),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/theoretical_guarantees.py,prove_byzantine_bound(W),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/theoretical_guarantees.py,verify_stale_decay_sufficiency(T_phys),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/theoretical_guarantees.py,stale_decay_episode_risk(T),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/theoretical_guarantees.py,complete_oasg_characterization(lipschitz_L),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/dc3s/theoretical_guarantees.py,complete_oasg_characterization(K_factor),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/forecasting/datasets.py,__init__(X),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/forecasting/evaluate.py,time_series_cv_score(X),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/forecasting/evaluate.py,multi_horizon_cv_score(X),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/forecasting/evaluate.py,evaluate_model_cv(X),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/forecasting/ml_gbm.py,train_gbm(X_train),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/forecasting/ml_gbm.py,predict_gbm(X),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/forecasting/predict.py,_maybe_scale_features(X),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/forecasting/predict.py,_maybe_impute_features(X),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/forecasting/train.py,tune_gbm_params(X_train),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/forecasting/train.py,tune_gbm_params(X_val),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/forecasting/train.py,_drop_invalid_target_rows(X),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/forecasting/train.py,_fit_feature_fill_values(X_train),matches theorem/math or sklearn matrix notation; document as naming exception
notation_parameter,src/orius/forecasting/train.py,_apply_feature_fill_values(X),matches theorem/math or sklearn matrix notation; document as naming exception
