domain,dataset,target,expected_model,metric_model_key,model_role,config_path,local_data_paths,local_data_exists,split_dir,split_complete,split_row_counts,model_artifact_path,model_artifact_exists,evaluation_metrics_path,evaluation_metrics_contains_model,calibration_artifact_path,calibration_artifact_exists,backtest_artifact_path,backtest_artifact_exists,model_card_path,model_card_exists,safety_runtime_path,safety_runtime_exists,baseline_comparison_path,baseline_comparison_exists,runtime_negative_controls_path,runtime_negative_controls_exists,runtime_ablation_path,runtime_ablation_exists,paper_artifacts,paper_artifacts_exist,model_quality_gate_status,model_quality_gate_blockers,status,notes
Battery,Germany OPSD battery/energy witness,load_mw,baseline_gbm,gbm,release_model,configs/train_forecast.yaml,data/raw/time_series_60min_singleindex.csv;data/processed/features.parquet,True,data/processed/splits,True,"{""calibration"": 868, ""test"": 2537, ""train"": 12163, ""val"": 1737}",artifacts/models/gbm_lightgbm_load_mw.pkl,True,reports/week2_metrics.json,True,artifacts/uncertainty/gbm_load_mw_conformal.json,True,artifacts/backtests/gbm_load_mw_test.npz,True,reports/model_cards/load_mw.md,True,reports/battery_av/battery/runtime_summary.csv,True,reports/battery_av/battery/runtime_comparator_summary.csv,True,reports/battery_av/battery/runtime_negative_controls.csv,True,reports/battery_av/battery/runtime_ablation_summary.csv,True,reports/publication/three_domain_ml_benchmark.csv;reports/publication/three_domain_forecast_calibration_runtime_evidence.csv;reports/publication/utility_preserving_safety_scorecard.csv;reports/publication/model_quality_gate.json;paper/assets/figures/fig_battery_deep_oqe_summary.png,True,pass,,COMPLETE,"Verified from active config, artifacts, metrics, calibration/backtest, runtime, and publication evidence."
Battery,Germany OPSD battery/energy witness,load_mw,quantile_gbm,quantile_gbm,uncertainty_component,configs/train_forecast.yaml,data/raw/time_series_60min_singleindex.csv;data/processed/features.parquet,True,data/processed/splits,True,"{""calibration"": 868, ""test"": 2537, ""train"": 12163, ""val"": 1737}",,False,reports/week2_metrics.json,False,artifacts/uncertainty/load_mw_conformal.json,True,artifacts/backtests/load_mw_test.npz,True,reports/model_cards/load_mw.md,True,reports/battery_av/battery/runtime_summary.csv,True,reports/battery_av/battery/runtime_comparator_summary.csv,True,reports/battery_av/battery/runtime_negative_controls.csv,True,reports/battery_av/battery/runtime_ablation_summary.csv,True,reports/publication/three_domain_ml_benchmark.csv;reports/publication/three_domain_forecast_calibration_runtime_evidence.csv;reports/publication/utility_preserving_safety_scorecard.csv;reports/publication/model_quality_gate.json;paper/assets/figures/fig_battery_deep_oqe_summary.png,True,not_applicable,,PARTIAL,Configured quantile_gbm is treated as an uncertainty/calibration component; no independent checkpoint or model-quality metric key found.
Battery,Germany OPSD battery/energy witness,load_mw,dl_lstm,lstm,candidate_model,configs/train_forecast.yaml,data/raw/time_series_60min_singleindex.csv;data/processed/features.parquet,True,data/processed/splits,True,"{""calibration"": 868, ""test"": 2537, ""train"": 12163, ""val"": 1737}",artifacts/models/lstm_load_mw.pt,True,reports/week2_metrics.json,True,artifacts/uncertainty/lstm_load_mw_conformal.json,True,artifacts/backtests/lstm_load_mw_test.npz,True,reports/model_cards/load_mw.md,True,reports/battery_av/battery/runtime_summary.csv,True,reports/battery_av/battery/runtime_comparator_summary.csv,True,reports/battery_av/battery/runtime_negative_controls.csv,True,reports/battery_av/battery/runtime_ablation_summary.csv,True,reports/publication/three_domain_ml_benchmark.csv;reports/publication/three_domain_forecast_calibration_runtime_evidence.csv;reports/publication/utility_preserving_safety_scorecard.csv;reports/publication/model_quality_gate.json;paper/assets/figures/fig_battery_deep_oqe_summary.png,True,block,calibration under-coverage: PICP@90 0.593 below policy; latency p95 7.154ms exceeds budget 5.000ms,PARTIAL,Model-quality gate marks this non-release candidate as blocked: calibration under-coverage: PICP@90 0.593 below policy; latency p95 7.154ms exceeds budget 5.000ms
Battery,Germany OPSD battery/energy witness,load_mw,dl_tcn,tcn,candidate_model,configs/train_forecast.yaml,data/raw/time_series_60min_singleindex.csv;data/processed/features.parquet,True,data/processed/splits,True,"{""calibration"": 868, ""test"": 2537, ""train"": 12163, ""val"": 1737}",artifacts/models/tcn_load_mw.pt,True,reports/week2_metrics.json,True,artifacts/uncertainty/tcn_load_mw_conformal.json,True,artifacts/backtests/tcn_load_mw_test.npz,True,reports/model_cards/load_mw.md,True,reports/battery_av/battery/runtime_summary.csv,True,reports/battery_av/battery/runtime_comparator_summary.csv,True,reports/battery_av/battery/runtime_negative_controls.csv,True,reports/battery_av/battery/runtime_ablation_summary.csv,True,reports/publication/three_domain_ml_benchmark.csv;reports/publication/three_domain_forecast_calibration_runtime_evidence.csv;reports/publication/utility_preserving_safety_scorecard.csv;reports/publication/model_quality_gate.json;paper/assets/figures/fig_battery_deep_oqe_summary.png,True,block,calibration under-coverage: PICP@90 0.445 below policy; latency p95 13.379ms exceeds budget 5.000ms; gradient stability failure: clipped fraction 0.562 exceeds policy,PARTIAL,Model-quality gate marks this non-release candidate as blocked: calibration under-coverage: PICP@90 0.445 below policy; latency p95 13.379ms exceeds budget 5.000ms; gradient stability failure: clipped fraction 0.562 exceeds policy
Battery,Germany OPSD battery/energy witness,load_mw,dl_nbeats,nbeats,candidate_model,configs/train_forecast.yaml,data/raw/time_series_60min_singleindex.csv;data/processed/features.parquet,True,data/processed/splits,True,"{""calibration"": 868, ""test"": 2537, ""train"": 12163, ""val"": 1737}",artifacts/models/nbeats_load_mw.pt,True,reports/week2_metrics.json,True,artifacts/uncertainty/nbeats_load_mw_conformal.json,True,artifacts/backtests/nbeats_load_mw_test.npz,True,reports/model_cards/load_mw.md,True,reports/battery_av/battery/runtime_summary.csv,True,reports/battery_av/battery/runtime_comparator_summary.csv,True,reports/battery_av/battery/runtime_negative_controls.csv,True,reports/battery_av/battery/runtime_ablation_summary.csv,True,reports/publication/three_domain_ml_benchmark.csv;reports/publication/three_domain_forecast_calibration_runtime_evidence.csv;reports/publication/utility_preserving_safety_scorecard.csv;reports/publication/model_quality_gate.json;paper/assets/figures/fig_battery_deep_oqe_summary.png,True,block,calibration under-coverage: PICP@90 0.747 below policy,PARTIAL,Model-quality gate marks this non-release candidate as blocked: calibration under-coverage: PICP@90 0.747 below policy
Battery,Germany OPSD battery/energy witness,load_mw,dl_tft,tft,candidate_model,configs/train_forecast.yaml,data/raw/time_series_60min_singleindex.csv;data/processed/features.parquet,True,data/processed/splits,True,"{""calibration"": 868, ""test"": 2537, ""train"": 12163, ""val"": 1737}",artifacts/models/tft_load_mw.pt,True,reports/week2_metrics.json,True,artifacts/uncertainty/tft_load_mw_conformal.json,True,artifacts/backtests/tft_load_mw_test.npz,True,reports/model_cards/load_mw.md,True,reports/battery_av/battery/runtime_summary.csv,True,reports/battery_av/battery/runtime_comparator_summary.csv,True,reports/battery_av/battery/runtime_negative_controls.csv,True,reports/battery_av/battery/runtime_ablation_summary.csv,True,reports/publication/three_domain_ml_benchmark.csv;reports/publication/three_domain_forecast_calibration_runtime_evidence.csv;reports/publication/utility_preserving_safety_scorecard.csv;reports/publication/model_quality_gate.json;paper/assets/figures/fig_battery_deep_oqe_summary.png,True,block,calibration under-coverage: PICP@90 0.844 below policy,PARTIAL,Model-quality gate marks this non-release candidate as blocked: calibration under-coverage: PICP@90 0.844 below policy
Battery,Germany OPSD battery/energy witness,load_mw,dl_patchtst,patchtst,candidate_model,configs/train_forecast.yaml,data/raw/time_series_60min_singleindex.csv;data/processed/features.parquet,True,data/processed/splits,True,"{""calibration"": 868, ""test"": 2537, ""train"": 12163, ""val"": 1737}",artifacts/models/patchtst_load_mw.pt,True,reports/week2_metrics.json,True,artifacts/uncertainty/patchtst_load_mw_conformal.json,True,artifacts/backtests/patchtst_load_mw_test.npz,True,reports/model_cards/load_mw.md,True,reports/battery_av/battery/runtime_summary.csv,True,reports/battery_av/battery/runtime_comparator_summary.csv,True,reports/battery_av/battery/runtime_negative_controls.csv,True,reports/battery_av/battery/runtime_ablation_summary.csv,True,reports/publication/three_domain_ml_benchmark.csv;reports/publication/three_domain_forecast_calibration_runtime_evidence.csv;reports/publication/utility_preserving_safety_scorecard.csv;reports/publication/model_quality_gate.json;paper/assets/figures/fig_battery_deep_oqe_summary.png,True,pass,,COMPLETE,"Verified from active config, artifacts, metrics, calibration/backtest, runtime, and publication evidence."
Battery,Germany OPSD battery/energy witness,wind_mw,baseline_gbm,gbm,release_model,configs/train_forecast.yaml,data/raw/time_series_60min_singleindex.csv;data/processed/features.parquet,True,data/processed/splits,True,"{""calibration"": 868, ""test"": 2537, ""train"": 12163, ""val"": 1737}",artifacts/models/gbm_lightgbm_wind_mw.pkl,True,reports/week2_metrics.json,True,artifacts/uncertainty/gbm_wind_mw_conformal.json,True,artifacts/backtests/gbm_wind_mw_test.npz,True,reports/model_cards/wind_mw.md,True,reports/battery_av/battery/runtime_summary.csv,True,reports/battery_av/battery/runtime_comparator_summary.csv,True,reports/battery_av/battery/runtime_negative_controls.csv,True,reports/battery_av/battery/runtime_ablation_summary.csv,True,reports/publication/three_domain_ml_benchmark.csv;reports/publication/three_domain_forecast_calibration_runtime_evidence.csv;reports/publication/utility_preserving_safety_scorecard.csv;reports/publication/model_quality_gate.json;paper/assets/figures/fig_battery_deep_oqe_summary.png,True,pass,,COMPLETE,"Verified from active config, artifacts, metrics, calibration/backtest, runtime, and publication evidence."
Battery,Germany OPSD battery/energy witness,wind_mw,quantile_gbm,quantile_gbm,uncertainty_component,configs/train_forecast.yaml,data/raw/time_series_60min_singleindex.csv;data/processed/features.parquet,True,data/processed/splits,True,"{""calibration"": 868, ""test"": 2537, ""train"": 12163, ""val"": 1737}",,False,reports/week2_metrics.json,False,artifacts/uncertainty/wind_mw_conformal.json,True,artifacts/backtests/wind_mw_test.npz,True,reports/model_cards/wind_mw.md,True,reports/battery_av/battery/runtime_summary.csv,True,reports/battery_av/battery/runtime_comparator_summary.csv,True,reports/battery_av/battery/runtime_negative_controls.csv,True,reports/battery_av/battery/runtime_ablation_summary.csv,True,reports/publication/three_domain_ml_benchmark.csv;reports/publication/three_domain_forecast_calibration_runtime_evidence.csv;reports/publication/utility_preserving_safety_scorecard.csv;reports/publication/model_quality_gate.json;paper/assets/figures/fig_battery_deep_oqe_summary.png,True,not_applicable,,PARTIAL,Configured quantile_gbm is treated as an uncertainty/calibration component; no independent checkpoint or model-quality metric key found.
Battery,Germany OPSD battery/energy witness,wind_mw,dl_lstm,lstm,candidate_model,configs/train_forecast.yaml,data/raw/time_series_60min_singleindex.csv;data/processed/features.parquet,True,data/processed/splits,True,"{""calibration"": 868, ""test"": 2537, ""train"": 12163, ""val"": 1737}",artifacts/models/lstm_wind_mw.pt,True,reports/week2_metrics.json,False,artifacts/uncertainty/lstm_wind_mw_conformal.json,True,artifacts/backtests/lstm_wind_mw_test.npz,True,reports/model_cards/wind_mw.md,True,reports/battery_av/battery/runtime_summary.csv,True,reports/battery_av/battery/runtime_comparator_summary.csv,True,reports/battery_av/battery/runtime_negative_controls.csv,True,reports/battery_av/battery/runtime_ablation_summary.csv,True,reports/publication/three_domain_ml_benchmark.csv;reports/publication/three_domain_forecast_calibration_runtime_evidence.csv;reports/publication/utility_preserving_safety_scorecard.csv;reports/publication/model_quality_gate.json;paper/assets/figures/fig_battery_deep_oqe_summary.png,True,not_in_gate,,PARTIAL,Canonical metrics file does not contain this model key for the target.
