lane,scenario,seed,controller,true_soc_violation_rate,intervention_rate,certificate_presence_rate,mean_reliability_w,tsvr,oasg,cva,gdq,audit_completeness,recovery_latency
heuristic,nominal,55,dc3s_wrapped,0.0,0.0,1.0,0.9993442862075419,0.0,0.0,0.9791666666666666,1.0,1.0,0.0
heuristic,nominal,55,dc3s_ftit,0.0,0.0,1.0,1.0,0.0,0.0,0.9791666666666666,1.0,1.0,0.0
heuristic,dropout,55,dc3s_wrapped,0.0,0.0,1.0,0.9993442862075419,0.0,0.0,0.9791666666666666,1.0,1.0,0.0
heuristic,dropout,55,dc3s_ftit,0.0,0.03125,1.0,0.9210539814537692,0.0,0.0,1.0,0.49514812914933065,1.0,0.0
heuristic,stale_sensor,55,dc3s_wrapped,0.0,0.0,1.0,0.995693613979823,0.0,0.0,0.9791666666666666,1.0,1.0,0.0
heuristic,stale_sensor,55,dc3s_ftit,0.0,0.03125,1.0,0.9760090110547742,0.0,0.0,1.0,0.9916794021065843,1.0,0.0
deep,nominal,55,dc3s_wrapped,0.0,0.0,1.0,0.9145780596882105,0.0,0.0,0.9791666666666666,1.0,1.0,0.0
deep,nominal,55,dc3s_ftit,0.0,0.0,1.0,0.9145780596882105,0.0,0.0,0.9791666666666666,1.0,1.0,0.0
deep,dropout,55,dc3s_wrapped,0.0,0.0,1.0,0.9145780596882105,0.0,0.0,0.9791666666666666,1.0,1.0,0.0
deep,dropout,55,dc3s_ftit,0.0,0.03125,1.0,0.9145780596882105,0.0,0.0,1.0,0.49514812914933065,1.0,0.0
deep,stale_sensor,55,dc3s_wrapped,0.0,0.0,1.0,0.9145780596882105,0.0,0.0,0.9791666666666666,1.0,1.0,0.0
deep,stale_sensor,55,dc3s_ftit,0.0,0.03125,1.0,0.9145780596882105,0.0,0.0,1.0,0.9916794021065843,1.0,0.0
