controller,fault_family,target,coverage,mean_width
deep:dc3s_ftit,dropout,soc_mwh,0.0,1075.1168732385258
deep:dc3s_ftit,nominal,soc_mwh,0.0,375.5117181969008
deep:dc3s_ftit,stale_sensor,soc_mwh,0.0,1105.1532222899361
deep:dc3s_wrapped,dropout,soc_mwh,0.0,572.8390450828311
deep:dc3s_wrapped,nominal,soc_mwh,0.0,569.4895152812195
deep:dc3s_wrapped,stale_sensor,soc_mwh,0.0,570.827990101372
heuristic:dc3s_ftit,dropout,soc_mwh,0.0,1076.9024489390215
heuristic:dc3s_ftit,nominal,soc_mwh,0.0,375.4985609840175
heuristic:dc3s_ftit,stale_sensor,soc_mwh,0.0,1107.9070120172014
heuristic:dc3s_wrapped,dropout,soc_mwh,0.0,519.6361109984795
heuristic:dc3s_wrapped,nominal,soc_mwh,0.0,516.4728495706454
heuristic:dc3s_wrapped,stale_sensor,soc_mwh,0.0,520.1071626328753
