trace_id,lane,controller,controller_label,fault_family,seed,step_index,reliability_w,widening_factor,drift_score,dispatch_regime,candidate_charge_mw,candidate_discharge_mw,safe_charge_mw,safe_discharge_mw,true_value,observed_value,true_margin,observed_margin,interval_lower,interval_upper,true_constraint_violated,observed_constraint_satisfied,intervened,fallback_used,certificate_valid,certificate_predicted_valid,useful_work,certificate_schema_version,certificate_hash,prev_hash,issuer,domain,action,theorem_contracts
heuristic:nominal:55:dc3s_wrapped:0,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,0,1.0,1.0008176526780026,0.0163530535600537,hold,0.0,0.0,0.0,0.0,5000.0,4999.255972207123,5000.0,4999.255972207123,47113.282535321974,47621.267108057575,False,True,False,False,True,True,1.0,orius.certificate.v1,ff560122c5befda59d3007b1b80240da9bc18ef77a9efde6464cbcada6479ba3,,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:1,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,1,1.0,1.0058748795804713,0.1174975916094249,hold,0.0,0.0,0.0,0.0,5000.0,4999.689009632036,5000.0,4999.689009632036,46711.89412578763,47248.055935439035,False,True,False,False,True,True,1.0,orius.certificate.v1,25b966d519fde079f0f5a12931882b5f011e9eba95ad4c5be9427f7658ba3823,ff560122c5befda59d3007b1b80240da9bc18ef77a9efde6464cbcada6479ba3,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:2,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,2,1.0,1.004963050315821,0.0992610063164169,hold,0.0,0.0,0.0,0.0,5000.0,4999.707948811517,5000.0,4999.707948811517,49474.46081003,50005.523171164656,False,True,False,False,True,True,1.0,orius.certificate.v1,f10a7369d7d2326d16954e26f095587594e78e399a915184cb22dd60c2c6a06f,25b966d519fde079f0f5a12931882b5f011e9eba95ad4c5be9427f7658ba3823,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:3,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,3,1.0,1.000906260724302,0.0181252144860381,hold,0.0,0.0,0.0,0.0,5000.0,5000.111741058562,5000.0,4999.888258941438,51954.37479433319,52462.85084601868,False,True,False,False,True,True,1.0,orius.certificate.v1,465a28ba8578d4e34aa0a7d07b3e1973bcb6dee9420a9c654e11bb7de9c24deb,f10a7369d7d2326d16954e26f095587594e78e399a915184cb22dd60c2c6a06f,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:4,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,4,1.0,1.0041014536417,0.082029072833996,hold,0.0,0.0,0.0,0.0,5000.0,4999.894771379449,5000.0,4999.894771379449,52418.63320615792,52944.88473957816,False,True,False,False,True,True,1.0,orius.certificate.v1,2e4783faf4fed647a343a484b960c0d4578a9a735c4c24c5cd446155d4871e87,465a28ba8578d4e34aa0a7d07b3e1973bcb6dee9420a9c654e11bb7de9c24deb,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:5,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,5,1.0,1.0036689193838482,0.073378387676965,hold,0.0,0.0,0.0,0.0,5000.0,5000.277446235146,5000.0,4999.722553764854,54580.55727229677,55104.396517247726,False,True,False,False,True,True,1.0,orius.certificate.v1,dd1a58503c31944c16811aa3a17da6102a557631c6f3bee09d734f728cb243ec,2e4783faf4fed647a343a484b960c0d4578a9a735c4c24c5cd446155d4871e87,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:6,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,6,1.0,1.0002605114196512,0.0052102283930227,hold,0.0,0.0,0.0,0.0,5000.0,5000.283016169176,5000.0,4999.716983830824,56602.155105466205,57107.05121482789,False,True,False,False,True,True,1.0,orius.certificate.v1,17e1c9a8c472a53efbd28d8015f03e7714b9545263bdfa3a444ee214b39e32c5,dd1a58503c31944c16811aa3a17da6102a557631c6f3bee09d734f728cb243ec,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:7,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,7,1.0,1.0027556731549605,0.0551134630992035,hold,0.0,0.0,0.0,0.0,5000.0,4999.84305827689,5000.0,4999.84305827689,56447.114344573965,56965.86650806109,False,True,False,False,True,True,1.0,orius.certificate.v1,e24b9581fd98869310fc962071b0828a67a3a3d20cd8d3ac502c32caf8dfc89d,17e1c9a8c472a53efbd28d8015f03e7714b9545263bdfa3a444ee214b39e32c5,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:8,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,8,1.0,1.0012626701504657,0.0252534030093153,hold,0.0,0.0,0.0,0.0,5000.0,4999.711052288918,5000.0,4999.711052288918,58013.90909356921,58524.36282666203,False,True,False,False,True,True,1.0,orius.certificate.v1,47b0459f69ce70d4ddddfc3318e957ba75cadbf62d5ef9d1b4e556a7c4c664ad,e24b9581fd98869310fc962071b0828a67a3a3d20cd8d3ac502c32caf8dfc89d,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:9,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,9,1.0,1.001441007056464,0.0288201411292828,hold,0.0,0.0,0.0,0.0,5000.0,5000.316977697692,5000.0,4999.683022302308,58749.16105309819,59260.60484053844,False,True,False,False,True,True,1.0,orius.certificate.v1,501fce698258edb40c7673889d5db908c2a00926d7622156388960ea130bcdce,47b0459f69ce70d4ddddfc3318e957ba75cadbf62d5ef9d1b4e556a7c4c664ad,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
