step,validity_horizon,status,lifecycle_op,validation_passed,hash_chain_ok,cert_hash,prev_hash,discharge_mw,soc_mwh,fallback,invariant_violations
0,18,valid,ISSUE,False,True,772bc8aa0b4eadf4,not_applicable,45.0,88.16,False,none
1,21,valid,ISSUE,True,True,e7c6279e5c4838d9,772bc8aa0b4eadf4,50.0,75.0,False,none
2,21,valid,ISSUE,True,True,702b48824206f1cb,e7c6279e5c4838d9,50.0,61.84,False,none
3,20,valid,ISSUE,True,True,24d8327c415d1531,702b48824206f1cb,50.0,48.68,False,none
4,19,valid,ISSUE,True,True,668e2728d8ca2747,24d8327c415d1531,47.5,36.18,False,none
5,21,valid,ISSUE,True,True,572eb4dffef299f9,668e2728d8ca2747,50.0,23.03,False,none
6,17,valid,ISSUE,True,True,1b134a8dd3b31cae,572eb4dffef299f9,42.5,11.84,False,none
7,20,valid,ISSUE,True,True,e73a201f0469edac,1b134a8dd3b31cae,50.0,0,False,none
8,17,valid,ISSUE,True,True,55d113b89d76151d,e73a201f0469edac,42.5,0,False,none
9,16,valid,ISSUE,True,True,9452d0d8291f2bc5,55d113b89d76151d,40.0,0,False,none
10,18,valid,ISSUE,True,True,de6e28d391d4e879,9452d0d8291f2bc5,45.0,0,False,none
11,20,valid,ISSUE,True,True,f53e9baa13b9c2d2,de6e28d391d4e879,50.0,0,False,none
12,18,valid,ISSUE,True,True,dc4620e279476ed1,f53e9baa13b9c2d2,45.0,0,False,none
13,18,valid,ISSUE,True,True,70e92b2c37975886,dc4620e279476ed1,45.0,0,False,none
14,18,valid,ISSUE,True,True,8c3669e98c65822f,70e92b2c37975886,45.0,0,False,none
15,18,valid,ISSUE,True,True,a5b20c557c6c6944,8c3669e98c65822f,45.0,0,False,none
16,16,valid,ISSUE,True,True,546605b8c3bbad78,a5b20c557c6c6944,40.0,0,False,none
17,14,valid,ISSUE,True,True,6864f85d786f7656,546605b8c3bbad78,35.0,0,False,none
18,18,valid,ISSUE,True,True,db743e6baac9f08d,6864f85d786f7656,45.0,0,False,none
19,16,valid,ISSUE,True,True,e67ccb647ac635c3,db743e6baac9f08d,40.0,0,False,none
20,15,valid,ISSUE,True,True,5fb8943fab1b5e4b,e67ccb647ac635c3,37.5,0,False,none
21,14,valid,ISSUE,True,True,756bb20391a1d2bf,5fb8943fab1b5e4b,35.0,0,False,none
22,13,valid,ISSUE,True,True,609b37fa0ce3fca9,756bb20391a1d2bf,32.5,0,False,none
23,17,valid,ISSUE,True,True,577456b8c8eba5e5,609b37fa0ce3fca9,42.5,0,False,none
24,15,valid,ISSUE,True,True,e3aab26c6ef5df0b,577456b8c8eba5e5,37.5,0,False,none
25,15,valid,ISSUE,True,True,d032b0dcd7efd9ee,e3aab26c6ef5df0b,37.5,0,False,none
26,14,valid,ISSUE,True,True,b9ef6e7b412769d3,d032b0dcd7efd9ee,35.0,0,False,none
27,16,valid,ISSUE,True,True,92d74ef5a26cd244,b9ef6e7b412769d3,40.0,0,False,none
28,13,valid,ISSUE,True,True,8b55ce9bd2d9958b,92d74ef5a26cd244,32.5,0,False,none
29,13,valid,ISSUE,True,True,27beaad4fddb6e54,8b55ce9bd2d9958b,32.5,0,False,none
30,13,valid,ISSUE,True,True,8a2310613bf3f3f0,27beaad4fddb6e54,32.5,0,False,none
31,12,valid,ISSUE,True,True,b6a2de8855114892,8a2310613bf3f3f0,30.0,0,False,none
