w_min,n_steps,dc3s_violation_rate,dc3s_intervention_rate,blind_narrow_violation_rate,blind_narrow_intervention_rate,blind_wide_violation_rate,blind_wide_intervention_rate
0.0500,200,0.4300,1.0000,0.4300,1.0000,0.4300,1.0000
0.0500,500,0.4220,1.0000,0.4220,1.0000,0.4220,1.0000
0.0500,1000,0.4160,1.0000,0.4160,1.0000,0.4160,1.0000
0.1000,200,0.3500,1.0000,0.3500,1.0000,0.3500,1.0000
0.1000,500,0.3300,1.0000,0.3300,1.0000,0.3300,1.0000
0.1000,1000,0.3330,1.0000,0.3330,1.0000,0.3330,1.0000
0.2000,200,0.2250,1.0000,0.2250,1.0000,0.2250,1.0000
0.2000,500,0.2000,1.0000,0.2000,1.0000,0.2000,1.0000
0.2000,1000,0.2090,1.0000,0.2090,1.0000,0.2090,1.0000
0.5000,200,0.0300,1.0000,0.0300,1.0000,0.0300,1.0000
0.5000,500,0.0220,1.0000,0.0220,1.0000,0.0220,1.0000
0.5000,1000,0.0240,1.0000,0.0240,1.0000,0.0240,1.0000
