tau,T,max_oracle_jump,empirical_per_step_error,theoretical_per_step_bound,bound_ratio,bound_valid
5.000000,100,0.285373,0.003616,0.047608,0.075954,True
5.000000,500,0.285373,0.000877,0.010832,0.080952,True
5.000000,2000,0.285373,0.000195,0.002990,0.065302,True
10.000000,100,0.285373,0.007521,0.135575,0.055478,True
10.000000,500,0.285373,0.002042,0.029736,0.068654,True
10.000000,2000,0.285373,0.000461,0.007999,0.057605,True
30.000000,100,0.285373,0.023813,0.894657,0.026617,True
30.000000,500,0.285373,0.006761,0.186796,0.036195,True
30.000000,2000,0.285373,0.001620,0.048392,0.033482,True
50.000000,100,0.285373,0.040011,2.305246,0.017356,True
50.000000,500,0.285373,0.011190,0.474156,0.023599,True
50.000000,2000,0.285373,0.002810,0.121361,0.023156,True
100.000000,100,0.285373,0.069845,8.682050,0.008045,True
100.000000,500,0.285373,0.021393,1.762624,0.012137,True
100.000000,2000,0.285373,0.005787,0.446301,0.012966,True
