n_calibration,w_min,n_eff,epsilon,coverage_bound,nominal_coverage
50,0.01,1,1.3581,0.0000,0.90
50,0.05,2,0.9603,0.0000,0.90
50,0.10,5,0.6074,0.2926,0.90
50,0.20,10,0.4295,0.4705,0.90
50,0.50,25,0.2716,0.6284,0.90
50,0.80,40,0.2147,0.6853,0.90
50,1.00,50,0.1921,0.7079,0.90
100,0.01,1,1.3581,0.0000,0.90
100,0.05,5,0.6074,0.2926,0.90
100,0.10,10,0.4295,0.4705,0.90
100,0.20,20,0.3037,0.5963,0.90
100,0.50,50,0.1921,0.7079,0.90
100,0.80,80,0.1518,0.7482,0.90
100,1.00,100,0.1358,0.7642,0.90
200,0.01,2,0.9603,0.0000,0.90
200,0.05,10,0.4295,0.4705,0.90
200,0.10,20,0.3037,0.5963,0.90
200,0.20,40,0.2147,0.6853,0.90
200,0.50,100,0.1358,0.7642,0.90
200,0.80,160,0.1074,0.7926,0.90
200,1.00,200,0.0960,0.8040,0.90
500,0.01,5,0.6074,0.2926,0.90
500,0.05,25,0.2716,0.6284,0.90
500,0.10,50,0.1921,0.7079,0.90
500,0.20,100,0.1358,0.7642,0.90
500,0.50,250,0.0859,0.8141,0.90
500,0.80,400,0.0679,0.8321,0.90
500,1.00,500,0.0607,0.8393,0.90
1000,0.01,10,0.4295,0.4705,0.90
1000,0.05,50,0.1921,0.7079,0.90
1000,0.10,100,0.1358,0.7642,0.90
1000,0.20,200,0.0960,0.8040,0.90
1000,0.50,500,0.0607,0.8393,0.90
1000,0.80,800,0.0480,0.8520,0.90
1000,1.00,1000,0.0429,0.8571,0.90
2608,0.01,26,0.2663,0.6337,0.90
2608,0.05,130,0.1191,0.7809,0.90
2608,0.10,260,0.0842,0.8158,0.90
2608,0.20,521,0.0595,0.8405,0.90
2608,0.50,1304,0.0376,0.8624,0.90
2608,0.80,2086,0.0297,0.8703,0.90
2608,1.00,2608,0.0266,0.8734,0.90
5000,0.01,50,0.1921,0.7079,0.90
5000,0.05,250,0.0859,0.8141,0.90
5000,0.10,500,0.0607,0.8393,0.90
5000,0.20,1000,0.0429,0.8571,0.90
5000,0.50,2500,0.0272,0.8728,0.90
5000,0.80,4000,0.0215,0.8785,0.90
5000,1.00,5000,0.0192,0.8808,0.90
10000,0.01,100,0.1358,0.7642,0.90
10000,0.05,500,0.0607,0.8393,0.90
10000,0.10,1000,0.0429,0.8571,0.90
10000,0.20,2000,0.0304,0.8696,0.90
10000,0.50,5000,0.0192,0.8808,0.90
10000,0.80,8000,0.0152,0.8848,0.90
10000,1.00,10000,0.0136,0.8864,0.90
