rank,feature,mean_abs_shap
1,solar_mw_lag_24,1230.151025
2,solar_mw_lag_1,842.262125
3,solar_mw_delta_24h,393.327463
4,wx_shortwave_radiation,344.536539
5,solar_mw_delta_1h,195.206225
6,solar_mw_lag_168,63.868867
7,solar_mw_roll_std_24,13.581817
8,wx_shortwave_radiation_lag_24,6.057132
9,hour,5.959297
10,carbon_kg_per_mwh_roll_mean_168,4.965318
11,wx_shortwave_radiation_lag_1,3.297135
12,solar_mw_roll_mean_24,3.293498
13,wx_shortwave_radiation_lag_168,2.541801
14,load_mw_delta_1h,2.348317
15,wx_temperature_2m_lag_168,2.298652
16,wx_temperature_2m_lag_1,1.920124
17,wind_mw_lag_168,1.800222
18,wx_temperature_2m,1.491406
19,wx_wind_speed_10m_roll_mean_24,0.839524
20,solar_mw_roll_std_168,0.831663
21,wx_wind_speed_10m,0.824558
22,carbon_kg_per_mwh,0.814361
23,is_evening_peak,0.744623
24,carbon_kg_per_mwh_lag_168,0.740385
25,carbon_kg_per_mwh_lag_1,0.738591
26,wx_temperature_2m_roll_std_24,0.673539
27,load_mw_lag_168,0.652984
28,carbon_kg_per_mwh_lag_24,0.645255
29,wx_surface_pressure_roll_std_24,0.632935
30,wind_mw_delta_1h,0.615681
31,wx_temperature_2m_roll_std_168,0.587352
32,wx_relative_humidity_2m_lag_1,0.586915
33,wx_wind_speed_10m_lag_168,0.562806
34,wx_wind_speed_10m_roll_std_168,0.534577
35,wx_relative_humidity_2m,0.529161
36,carbon_kg_per_mwh_roll_std_24,0.528661
37,wx_surface_pressure_lag_24,0.516465
38,price_usd_mwh_lag_1,0.471473
39,wx_surface_pressure_roll_std_168,0.460585
40,wind_mw_roll_std_24,0.457554
41,wx_cloud_cover_roll_std_24,0.428384
42,load_mw_roll_std_168,0.403551
43,hydro_mw,0.398808
44,price_usd_mwh,0.395141
45,price_usd_mwh_lag_168,0.380945
46,wx_relative_humidity_2m_roll_std_168,0.3679
47,wx_surface_pressure_roll_mean_168,0.36415
48,wx_relative_humidity_2m_roll_mean_24,0.361331
49,wx_wind_speed_10m_lag_24,0.350181
50,gas_mw,0.336873
51,wind_mw_lag_24,0.334784
52,wx_cloud_cover,0.325887
53,wx_relative_humidity_2m_roll_mean_168,0.325233
54,carbon_kg_per_mwh_roll_mean_24,0.318962
55,wind_mw_roll_std_168,0.317134
56,wx_cloud_cover_lag_1,0.315514
57,wx_cloud_cover_roll_mean_24,0.312839
58,wx_wind_speed_10m_roll_std_24,0.311811
59,load_mw_delta_24h,0.309365
60,wx_cloud_cover_roll_mean_168,0.304055
61,wind_mw_roll_mean_168,0.302504
62,wx_surface_pressure,0.297168
63,price_usd_mwh_lag_24,0.290875
64,wx_relative_humidity_2m_lag_168,0.285031
65,wind_mw_delta_24h,0.268935
66,wx_shortwave_radiation_roll_std_168,0.260301
67,wx_relative_humidity_2m_lag_24,0.238468
68,wx_surface_pressure_lag_168,0.237414
69,wx_cloud_cover_roll_std_168,0.227357
70,wx_cloud_cover_lag_168,0.217866
71,wind_mw_roll_mean_24,0.21184
72,load_mw_roll_mean_168,0.210336
73,wx_precipitation_roll_std_24,0.205027
74,wx_surface_pressure_roll_mean_24,0.202457
75,nuclear_mw,0.199825
76,wx_wind_speed_10m_lag_1,0.195826
77,load_mw_lag_24,0.195676
78,wind_mw_lag_1,0.186074
79,load_mw_lag_1,0.179242
80,carbon_kg_per_mwh_roll_std_168,0.178705
81,wx_shortwave_radiation_roll_std_24,0.171261
82,month,0.169604
83,load_mw_roll_std_24,0.166024
84,wx_temperature_2m_lag_24,0.165312
85,solar_mw_roll_mean_168,0.163584
86,wx_relative_humidity_2m_roll_std_24,0.161828
87,wx_precipitation_roll_mean_24,0.161696
88,wx_cloud_cover_lag_24,0.144493
89,wx_precipitation_roll_std_168,0.140169
90,wx_surface_pressure_lag_1,0.137733
91,price_usd_mwh_roll_std_24,0.133772
92,wx_wind_speed_10m_roll_mean_168,0.12573
93,wx_temperature_2m_roll_mean_24,0.124321
94,wx_precipitation_lag_1,0.123446
95,coal_mw,0.116651
96,wx_shortwave_radiation_roll_mean_24,0.108775
97,wx_precipitation_roll_mean_168,0.093741
98,dayofweek,0.073111
99,load_mw_roll_mean_24,0.064165
100,wx_temperature_2m_roll_mean_168,0.05435
101,wx_shortwave_radiation_roll_mean_168,0.051971
102,price_usd_mwh_roll_mean_24,0.036107
103,wx_precipitation,0.034293
104,wx_precipitation_lag_24,0.03202
105,wx_precipitation_lag_168,0.011161
106,is_daylight,0.00723
107,season,0.003612
108,is_holiday,0.0
109,price_usd_mwh_roll_std_168,0.0
110,is_weekend,0.0
111,is_post_holiday,0.0
112,is_morning_peak,0.0
113,is_pre_holiday,0.0
114,price_usd_mwh_roll_mean_168,0.0
