rank,feature,mean_abs_shap
1,wind_mw_lag_1,5631.843985
2,wind_mw_delta_1h,678.281042
3,wind_mw_delta_24h,60.531616
4,carbon_kg_per_mwh,50.285419
5,wind_mw_lag_24,23.540353
6,wind_mw_roll_mean_24,18.965983
7,carbon_kg_per_mwh_lag_1,7.39247
8,dayofweek,7.211539
9,solar_mw_delta_1h,6.767701
10,is_evening_peak,6.220824
11,solar_mw_lag_24,5.728935
12,load_mw_lag_1,3.787259
13,carbon_kg_per_mwh_lag_24,3.651582
14,load_mw_lag_168,3.412853
15,carbon_kg_per_mwh_roll_mean_24,3.23654
16,wx_wind_speed_10m_roll_std_24,3.211687
17,wx_wind_speed_10m_lag_1,2.979872
18,wx_surface_pressure_roll_std_24,2.882296
19,hour,2.671037
20,load_mw_lag_24,2.630744
21,carbon_kg_per_mwh_roll_std_24,2.608712
22,wx_wind_speed_10m_lag_168,2.58886
23,wind_mw_lag_168,2.434217
24,nuclear_mw,2.35021
25,solar_mw_lag_1,2.33989
26,solar_mw_lag_168,2.319465
27,wx_shortwave_radiation_lag_168,2.180249
28,wind_mw_roll_std_24,2.141121
29,wx_cloud_cover_lag_168,1.9974
30,wx_relative_humidity_2m,1.980451
31,wx_temperature_2m_roll_std_168,1.957081
32,wx_relative_humidity_2m_lag_1,1.932041
33,solar_mw_delta_24h,1.913635
34,wx_wind_speed_10m,1.875322
35,wx_surface_pressure_lag_168,1.825348
36,wx_surface_pressure_lag_1,1.799835
37,price_usd_mwh_lag_168,1.790951
38,wx_cloud_cover_roll_std_24,1.784291
39,wx_surface_pressure_roll_std_168,1.740116
40,wx_shortwave_radiation,1.734396
41,load_mw_delta_1h,1.705386
42,load_mw_delta_24h,1.6882
43,carbon_kg_per_mwh_lag_168,1.684369
44,wx_wind_speed_10m_lag_24,1.67949
45,wx_wind_speed_10m_roll_mean_24,1.600315
46,wx_relative_humidity_2m_lag_24,1.592962
47,wx_wind_speed_10m_roll_mean_168,1.500447
48,wx_precipitation_roll_std_24,1.464624
49,load_mw_roll_mean_24,1.409183
50,wx_cloud_cover,1.367557
51,wx_surface_pressure_lag_24,1.314801
52,wx_surface_pressure_roll_mean_24,1.28884
53,wx_temperature_2m_roll_std_24,1.288762
54,wx_temperature_2m_lag_168,1.283267
55,load_mw_roll_std_24,1.279285
56,wx_cloud_cover_roll_mean_24,1.256865
57,load_mw_roll_std_168,1.215465
58,solar_mw_roll_std_24,1.146992
59,wx_relative_humidity_2m_roll_mean_24,1.138886
60,carbon_kg_per_mwh_roll_std_168,1.103193
61,wx_surface_pressure,1.095167
62,coal_mw,1.08984
63,wind_mw_roll_mean_168,1.078919
64,wind_mw_roll_std_168,1.064038
65,solar_mw_roll_mean_24,1.051688
66,wx_relative_humidity_2m_roll_std_168,1.039652
67,wx_cloud_cover_lag_1,1.039278
68,wx_wind_speed_10m_roll_std_168,1.03168
69,wx_relative_humidity_2m_lag_168,1.025433
70,gas_mw,1.014605
71,load_mw_roll_mean_168,0.981404
72,wx_cloud_cover_lag_24,0.94635
73,hydro_mw,0.909781
74,wx_relative_humidity_2m_roll_std_24,0.8934
75,wx_shortwave_radiation_lag_1,0.877648
76,wx_cloud_cover_roll_std_168,0.871683
77,wx_cloud_cover_roll_mean_168,0.866895
78,wx_temperature_2m_roll_mean_24,0.840552
79,wx_precipitation_roll_mean_24,0.83431
80,wx_temperature_2m_lag_24,0.790643
81,solar_mw_roll_mean_168,0.775001
82,wx_temperature_2m_lag_1,0.762766
83,wx_precipitation,0.760489
84,wx_precipitation_lag_24,0.730985
85,wx_temperature_2m,0.717455
86,wx_precipitation_roll_std_168,0.674871
87,carbon_kg_per_mwh_roll_mean_168,0.674297
88,wx_relative_humidity_2m_roll_mean_168,0.670146
89,price_usd_mwh_roll_std_24,0.623363
90,wx_shortwave_radiation_lag_24,0.579222
91,wx_precipitation_lag_1,0.529306
92,wx_precipitation_roll_mean_168,0.526822
93,price_usd_mwh_lag_24,0.523303
94,wx_surface_pressure_roll_mean_168,0.500334
95,wx_shortwave_radiation_roll_std_24,0.498605
96,is_morning_peak,0.463195
97,wx_shortwave_radiation_roll_mean_168,0.462144
98,wx_precipitation_lag_168,0.457359
99,price_usd_mwh_roll_mean_24,0.362986
100,price_usd_mwh_lag_1,0.275672
101,wx_temperature_2m_roll_mean_168,0.244841
102,price_usd_mwh,0.235289
103,wx_shortwave_radiation_roll_mean_24,0.200046
104,solar_mw_roll_std_168,0.174778
105,wx_shortwave_radiation_roll_std_168,0.158374
106,is_daylight,0.127017
107,month,0.063546
108,is_pre_holiday,0.044605
109,is_weekend,0.001529
110,season,0.0
111,is_holiday,0.0
112,is_post_holiday,0.0
113,price_usd_mwh_roll_std_168,0.0
114,price_usd_mwh_roll_mean_168,0.0
