t,demand_mw,battery1_dispatch_mw,battery2_dispatch_mw,total_dispatch_mw,curtailed_mw,shared_transformer_limit_mw
0,90.91415123926329,31.81995293374215,22.728537809815823,50.0,4.548490743557977,50.0
1,91.80797336756552,32.13279067864793,22.95199334189138,50.0,5.08478402053931,50.0
2,101.91383281973069,35.0,25.0,50.0,10.0,50.0
3,106.83957058296545,35.0,25.0,50.0,10.0,50.0
4,101.97010564132341,35.0,25.0,50.0,10.0,50.0
5,107.02262343597626,35.0,25.0,50.0,10.0,50.0
6,113.59737217174452,35.0,25.0,50.0,10.0,50.0
7,113.63889909477882,35.0,25.0,50.0,10.0,50.0
8,114.94617915229885,35.0,25.0,50.0,10.0,50.0
9,111.86553898686924,35.0,25.0,50.0,10.0,50.0
10,115.53252709096493,35.0,25.0,50.0,10.0,50.0
11,112.79899617345414,35.0,25.0,50.0,10.0,50.0
12,107.4319273206478,35.0,25.0,50.0,10.0,50.0
13,106.70751683910393,35.0,25.0,50.0,10.0,50.0
14,100.29737419981905,35.0,25.0,50.0,10.0,50.0
15,91.53698736836864,32.037945578929026,22.88424684209216,50.0,4.922192421021187,50.0
16,90.27966811931479,31.597883841760176,22.569917029828698,50.0,4.167800871588874,50.0
17,81.3877541963442,28.485713968720468,20.34693854908605,48.83265251780652,0.0,50.0
18,82.21580439153955,28.77553153703884,20.553951097884887,49.32948263492373,0.0,50.0
19,75.15559095972942,26.304456835905295,18.788897739932356,45.09335457583765,0.0,50.0
20,71.05231514253593,24.868310299887575,17.763078785633983,42.63138908552156,0.0,50.0
21,66.58739355214969,23.305587743252392,16.646848388037423,39.952436131289815,0.0,50.0
22,70.15963926311805,24.55587374209132,17.539909815779513,42.09578355787083,0.0,50.0
23,64.81271478875688,22.684450176064907,16.20317869718922,38.88762887325413,0.0,50.0
24,63.74576730480305,22.311018556681066,15.936441826200763,38.247460382881826,0.0,50.0
25,64.70859270005205,22.648007445018216,16.177148175013013,38.825155620031225,0.0,50.0
26,69.04714680333608,24.166501381167624,17.26178670083402,41.42828808200164,0.0,50.0
27,71.11663227071911,24.890821294751685,17.779158067679777,42.66997936243146,0.0,50.0
28,74.61258353194175,26.114404236179613,18.653145882985438,44.76755011916505,0.0,50.0
29,78.67332456565255,27.53566359797839,19.668331141413137,47.20399473939153,0.0,50.0
30,88.30745607249429,30.907609625373,22.076864018123572,50.0,2.984473643496571,50.0
31,85.48345066729445,29.919207733553055,21.370862666823612,50.0,1.2900704003766634,50.0
32,90.11553642092788,31.540437747324756,22.52888410523197,50.0,4.069321852556726,50.0
33,94.09568033910185,32.933488118685645,23.52392008477546,50.0,6.457408203461107,50.0
34,103.01315843904666,35.0,25.0,50.0,10.0,50.0
35,108.74223469540438,35.0,25.0,50.0,10.0,50.0
36,108.60102937104375,35.0,25.0,50.0,10.0,50.0
37,109.26663665979434,35.0,25.0,50.0,10.0,50.0
38,111.30296926030512,35.0,25.0,50.0,10.0,50.0
39,116.78451002231506,35.0,25.0,50.0,10.0,50.0
40,117.14437483877707,35.0,25.0,50.0,10.0,50.0
41,115.6483047083368,35.0,25.0,50.0,10.0,50.0
42,110.1840413642242,35.0,25.0,50.0,10.0,50.0
43,110.16841593825296,35.0,25.0,50.0,10.0,50.0
44,106.34927094000511,35.0,25.0,50.0,10.0,50.0
45,102.55475061611388,35.0,25.0,50.0,10.0,50.0
46,99.94553726845618,34.98093804395966,24.986384317114045,50.0,9.967322361073705,50.0
47,93.14692490258562,32.601423715904964,23.286731225646406,50.0,5.88815494155137,50.0
48,89.56060243295413,31.346210851533943,22.39015060823853,50.0,3.736361459772475,50.0
49,82.87148627385504,29.005020195849262,20.71787156846376,49.72289176431302,0.0,50.0
50,78.96867337014314,27.639035679550098,19.742168342535784,47.38120402208588,0.0,50.0
51,75.89465116493271,26.563127907726447,18.973662791233178,45.53679069895962,0.0,50.0
52,66.15660057138018,23.15481019998306,16.539150142845045,39.693960342828106,0.0,50.0
53,66.8604158648378,23.40114555269323,16.71510396620945,40.11624951890268,0.0,50.0
54,64.5700401337004,22.59951404679514,16.1425100334251,38.74202408022024,0.0,50.0
55,63.16875413010323,22.10906394553613,15.792188532525808,37.901252478061934,0.0,50.0
56,64.341841587479,22.519644555617646,16.08546039686975,38.605104952487395,0.0,50.0
57,70.70841102632434,24.747943859213517,17.677102756581085,42.4250466157946,0.0,50.0
58,65.61540056223834,22.965390196783417,16.403850140559584,39.369240337343,0.0,50.0
59,73.96196331976608,25.88668716191813,18.49049082994152,44.377177991859654,0.0,50.0
60,69.59607286791088,24.358625503768806,17.39901821697772,41.75764372074653,0.0,50.0
61,77.83012473872252,27.24054365855288,19.45753118468063,46.69807484323351,0.0,50.0
62,83.95126067146953,29.382941235014332,20.98781516786738,50.0,0.3707564028817103,50.0
63,90.10640238593533,31.537240835077363,22.52660059648383,50.0,4.063841431561194,50.0
64,95.43098402293029,33.4008444080256,23.857746005732572,50.0,7.258590413758171,50.0
65,100.49752843571687,35.0,25.0,50.0,10.0,50.0
66,101.57296322662576,35.0,25.0,50.0,10.0,50.0
67,105.2385589248525,35.0,25.0,50.0,10.0,50.0
68,112.55362756614458,35.0,25.0,50.0,10.0,50.0
69,111.97586777867913,35.0,25.0,50.0,10.0,50.0
70,110.4079476784695,35.0,25.0,50.0,10.0,50.0
71,111.56938758669719,35.0,25.0,50.0,10.0,50.0
72,111.96533990703188,35.0,25.0,50.0,10.0,50.0
73,114.99946698506533,35.0,25.0,50.0,10.0,50.0
74,111.79709502285017,35.0,25.0,50.0,10.0,50.0
75,110.46455382903159,35.0,25.0,50.0,10.0,50.0
76,103.41287336830223,35.0,25.0,50.0,10.0,50.0
77,100.8951655856124,35.0,25.0,50.0,10.0,50.0
78,97.6123691830708,34.164329214074776,24.4030922957677,50.0,8.567421509842475,50.0
79,89.898544613772,31.4644906148202,22.474636153443,50.0,3.9391267682632005,50.0
80,87.2554609556539,30.539411334478864,21.813865238913476,50.0,2.3532765733923355,50.0
81,79.11937600373716,27.691781601308005,19.77984400093429,47.4716256022423,0.0,50.0
82,75.58504524210495,26.454765834736733,18.89626131052624,45.351027145262975,0.0,50.0
83,71.62095109004088,25.067332881514304,17.90523777251022,42.97257065402452,0.0,50.0
84,65.94686069606556,23.081401243622942,16.48671517401639,39.56811641763933,0.0,50.0
85,68.5665842759803,23.998304496593104,17.141646068995076,41.13995056558818,0.0,50.0
86,64.16712220980183,22.45849277343064,16.041780552450458,38.500273325881096,0.0,50.0
87,65.04089973137134,22.76431490597997,16.260224932842835,39.024539838822804,0.0,50.0
88,66.85461310490817,23.399114586717857,16.713653276227042,40.1127678629449,0.0,50.0
89,68.12574256584716,23.844009898046505,17.03143564146179,40.87544553950829,0.0,50.0
90,71.06699337035515,24.873447679624302,17.766748342588787,42.64019602221309,0.0,50.0
91,71.88133233918681,25.158466318715384,17.970333084796703,43.12879940351209,0.0,50.0
92,74.71222863007574,26.149280020526508,18.678057157518936,44.82733717804544,0.0,50.0
93,80.09836613496945,28.034428147239307,20.024591533742363,48.05901968098167,0.0,50.0
94,80.01007101183887,28.003524854143603,20.00251775295972,48.006042607103325,0.0,50.0
95,85.65866258273073,29.980531903955754,21.414665645682682,50.0,1.3951975496384392,50.0
