row_index,command_id,has_expiry_metadata,validity_horizon_H_t,half_life_steps,expires_at_step,validity_status,expiry_consistent
0,bcc9fa5a-a49e-445d-aa18-982084ca3924,False,,,,,True
1,852a7b90-cdb8-487e-a56c-40548ffa8e06,False,,,,,True
2,886123f8-8076-4adc-8a02-f3595623859f,False,,,,,True
3,adb712a7-ef21-41d3-9ead-ec34d4b1b55c,False,,,,,True
4,764d6ddb-78e8-4e10-a98b-b1026d18895e,False,,,,,True
5,9143a3f7-f24f-45ad-8399-5f8fc0488da9,False,,,,,True
6,dcab43e0-3290-4038-8789-751c3247e56c,False,,,,,True
7,5551e6b0-e41e-43e2-b544-5769ba6e0b37,False,,,,,True
8,b6d083d2-64bc-48b3-93e3-f6d32d2f89e0,False,,,,,True
9,84273dc2-a8f7-4f9a-b922-92f36f134ee5,False,,,,,True
10,3dda8db2-1b78-4c69-a3f3-e939a8ec23ce,False,,,,,True
11,b0b0fc15-92e1-4d03-878f-520ab3915534,False,,,,,True
12,f924a018-3461-4903-99d2-1367d4d7a038,False,,,,,True
13,81d077dc-3299-4bcc-863f-97f1282be201,False,,,,,True
14,88e29f80-68f1-43af-baf7-eb97f66455d2,False,,,,,True
15,147b21ae-9161-4b6f-9d43-7e404186dd2e,False,,,,,True
16,2914b510-10ed-4a98-9c3d-190f2ec6d85f,False,,,,,True
17,0a85ef91-4519-4e1d-94cc-8de9d9827fb0,False,,,,,True
18,0acc108b-455e-4c29-b4d7-fd6074babbf2,False,,,,,True
19,799eb5eb-914f-4967-be31-398b31baa9c4,False,,,,,True
20,3641ee95-5e15-4555-8140-eeba18b866a6,False,,,,,True
21,2a218806-8a0a-4c36-a8d1-5bb9ab37fe42,False,,,,,True
22,83143974-d1b8-46c0-9845-d4ff628dd964,False,,,,,True
23,80bb8ad6-3fc5-4c64-8819-bb76f99f8384,False,,,,,True
24,d7ea4908-9c96-4d1f-8bbc-979ed7ff8189,False,,,,,True
25,abec1064-6bd7-4600-baa5-88abe88789a7,False,,,,,True
26,ef1bd74c-e15f-4877-a3ee-8aa7aa525fc8,False,,,,,True
27,2eb3d389-b6f4-43ba-92bf-21d2fd46a21e,False,,,,,True
28,568ab382-3713-4d3c-a37b-35153dda9913,False,,,,,True
29,d7f4332d-693f-4cb7-a395-9f54a512fdc1,False,,,,,True
30,736ccd83-860b-4d9f-9114-6c91b4f9651b,False,,,,,True
31,ae510769-4414-42ab-8181-e3583edf8cce,False,,,,,True
32,397a5f92-6fc3-4901-8998-7db43e94e253,False,,,,,True
33,517b4fbf-3ee7-45bf-869f-802738a20854,False,,,,,True
34,75684ed8-9fb7-4e86-a7d4-00eefb8942fe,False,,,,,True
35,47e664a8-0af7-47a8-a019-264978f573bb,False,,,,,True
36,6351dea2-ac07-4605-889d-41a519540dc4,False,,,,,True
37,603e1d49-a704-4108-a376-7e1b14272def,False,,,,,True
