scenario,controller,picp_90_mean,picp_90_ci_low,picp_90_ci_high,mean_interval_width_mean,mean_interval_width_ci_low,mean_interval_width_ci_high,expected_cost_usd_mean,expected_cost_usd_ci_low,expected_cost_usd_ci_high,intervention_rate_mean,intervention_rate_ci_low,intervention_rate_ci_high,violation_rate_mean,violation_rate_ci_low,violation_rate_ci_high
nominal,deterministic_lp,1.000000,1.000000,1.000000,803.300442,803.300442,803.300442,389765463.502400,388976452.071076,390533339.094061,0.000000,0.000000,0.000000,0.039286,0.017857,0.065476
nominal,robust_fixed_interval,1.000000,1.000000,1.000000,803.300442,803.300442,803.300442,389688356.092307,388917134.980778,390459577.203836,0.000000,0.000000,0.000000,0.221428,0.048809,0.421428
nominal,cvar_interval,1.000000,1.000000,1.000000,803.300442,803.300442,803.300442,389688356.092307,388917134.980778,390459577.203836,0.000000,0.000000,0.000000,0.221428,0.048809,0.421428
nominal,dc3s_wrapped,1.000000,1.000000,1.000000,838.658757,838.342111,839.008985,389690502.773901,388919977.083171,390461028.464631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
nominal,dc3s_ftit,1.000000,1.000000,1.000000,305.562430,305.562430,305.562430,389690502.773901,388919977.083171,390461028.464631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.927381,0.923809,0.930952,803.300442,803.300442,803.300442,389779894.259745,388984976.700486,390545431.146949,0.000000,0.000000,0.000000,0.036905,0.015476,0.059524
dropout,robust_fixed_interval,0.927381,0.923809,0.930952,803.300442,803.300442,803.300442,389688365.119179,388917140.085939,390459590.152419,0.000000,0.000000,0.000000,0.305952,0.067857,0.544047
dropout,cvar_interval,0.927381,0.923809,0.930952,803.300442,803.300442,803.300442,389688365.119179,388917140.085939,390459590.152419,0.000000,0.000000,0.000000,0.305952,0.067857,0.544047
dropout,dc3s_wrapped,0.927381,0.923809,0.930952,838.329160,837.783881,838.888539,389699951.545356,388940262.455747,390459640.634965,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
dropout,dc3s_ftit,0.936905,0.929762,0.944048,1160.548053,1033.229387,1248.205156,389792642.019881,389014187.026676,390571097.013086,0.026191,0.021429,0.030982,0.000000,0.000000,0.000000
delay_jitter,deterministic_lp,1.000000,1.000000,1.000000,803.300442,803.300442,803.300442,389765463.502400,388976452.071076,390533339.094061,0.000000,0.000000,0.000000,0.039286,0.017857,0.065476
delay_jitter,robust_fixed_interval,1.000000,1.000000,1.000000,803.300442,803.300442,803.300442,389688356.092307,388917134.980778,390459577.203836,0.000000,0.000000,0.000000,0.221428,0.048809,0.421428
delay_jitter,cvar_interval,1.000000,1.000000,1.000000,803.300442,803.300442,803.300442,389688356.092307,388917134.980778,390459577.203836,0.000000,0.000000,0.000000,0.221428,0.048809,0.421428
delay_jitter,dc3s_wrapped,1.000000,1.000000,1.000000,838.970457,838.654995,839.316780,389690502.773901,388919977.083171,390461028.464631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
delay_jitter,dc3s_ftit,1.000000,1.000000,1.000000,305.600520,305.591362,305.609678,390047997.486497,389230807.488188,390857444.047922,0.040476,0.034524,0.046458,0.000000,0.000000,0.000000
