step,timestamp,soc_observed_mwh,soc_true_mwh,reliability_w,drift_flag,inflation,interval_width_mw,proposed_charge_mw,proposed_discharge_mw,safe_charge_mw,safe_discharge_mw,intervened,fault_active,true_soc_violated,violation_severity_mwh,price_per_mwh,controller
1,2026-01-01 00:00:00+00:00,9999.7400,10000.0000,1.0000,False,1.0078,307.3949,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.0245,dc3s_ftit
2,2026-01-01 01:00:00+00:00,9999.5122,10000.0000,1.0000,False,1.0076,307.3345,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.5016,dc3s_ftit
3,2026-01-01 02:00:00+00:00,9999.9209,10000.0000,1.0000,False,1.0074,307.2756,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.2655,dc3s_ftit
4,2026-01-01 03:00:00+00:00,10000.2198,10000.0000,1.0000,False,1.0072,307.2182,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.8311,dc3s_ftit
5,2026-01-01 04:00:00+00:00,10000.2818,10000.0000,0.6270,False,1.0076,307.3240,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,53.2792,dc3s_ftit
6,2026-01-01 05:00:00+00:00,10000.0922,10000.0000,0.6861,False,1.0073,307.2358,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,52.1885,dc3s_ftit
7,2026-01-01 06:00:00+00:00,9999.9875,10000.0000,0.6003,False,1.0073,307.2220,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,57.8096,dc3s_ftit
8,2026-01-01 07:00:00+00:00,10000.3056,10000.0000,0.6489,False,1.0070,307.1419,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,56.7572,dc3s_ftit
9,2026-01-01 08:00:00+00:00,9999.9120,10000.0000,0.6877,False,1.0068,307.0702,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,55.9904,dc3s_ftit
10,2026-01-01 09:00:00+00:00,9999.9120,10000.0000,0.7194,False,1.0065,307.0046,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.4164,dc3s_ftit
11,2026-01-01 10:00:00+00:00,10000.5354,10000.0000,0.7457,False,1.0063,306.9435,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.9355,dc3s_ftit
12,2026-01-01 11:00:00+00:00,9999.7966,10000.0000,0.6904,False,1.0063,306.9165,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,60.1215,dc3s_ftit
13,2026-01-01 12:00:00+00:00,9999.9715,10000.0000,0.6414,False,1.0062,306.8884,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,58.1563,dc3s_ftit
14,2026-01-01 13:00:00+00:00,10000.1626,10000.0000,0.5978,False,1.0061,306.8595,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,59.1793,dc3s_ftit
15,2026-01-01 14:00:00+00:00,9999.7072,10000.0000,0.6256,False,1.0059,306.8009,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.4008,dc3s_ftit
16,2026-01-01 15:00:00+00:00,10000.0580,10000.0000,0.5536,False,5.4691,1668.1266,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,56.5781,dc3s_ftit
17,2026-01-01 16:00:00+00:00,10000.2179,10000.0000,0.5267,False,5.3861,1642.8101,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,56.8419,dc3s_ftit
18,2026-01-01 17:00:00+00:00,10000.0169,10000.0000,0.5528,False,5.2466,1600.2517,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,71.1297,dc3s_ftit
19,2026-01-01 18:00:00+00:00,9999.6357,5057.1721,0.5766,False,5.1146,1560.0021,0.0000,5000.0000,0.0000,4547.4017,True,False,False,0.0000,74.5542,dc3s_ftit
20,2026-01-01 19:00:00+00:00,5057.0124,5057.1721,0.5500,False,5.0371,1536.3491,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,71.0143,dc3s_ftit
21,2026-01-01 20:00:00+00:00,5057.0124,5057.1721,0.5340,False,4.9510,1510.1006,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,73.0062,dc3s_ftit
22,2026-01-01 21:00:00+00:00,5056.7514,5057.1721,0.5558,False,4.8296,1473.0704,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,70.9165,dc3s_ftit
