k_quality,k_drift,infl_max,violation_rate_mean,picp_90_mean,mean_interval_width_mean
0.4,0.0,2.0,0.0,0.7718253333333333,959.7756401666667
0.4,0.0,3.0,0.0,0.7718253333333333,959.7756401666667
0.4,0.6,2.0,0.0,0.7718253333333333,968.8124995
0.8,0.0,2.0,0.0,0.7718253333333333,967.6604031666666
0.8,0.0,3.0,0.0,0.7718253333333333,967.6604031666666
0.8,0.6,2.0,0.0,0.7718253333333333,976.6972628333333
0.8,0.6,3.0,0.0,0.7718253333333333,976.6972628333333
1.2,0.0,2.0,0.0,0.7718253333333333,973.172991
1.2,0.0,3.0,0.0,0.7718253333333333,975.5451668333334
1.2,0.6,2.0,0.0,0.7718253333333333,982.2098508333333
1.2,0.6,3.0,0.0,0.7718253333333333,984.5820263333334
