Fault Dimension,Severity,base_tsvr,base_sev,dc_tsvr,dc_sev,avoided_violation_pct,avoided_severity_mwh,annual_fade_proxy_pct,ten_year_depreciation_avoided_usd
delay_seconds,0.0,11.25,194.32,0.0,0.0,11.25,194.32,7.7728,194320.00000000003
delay_seconds,1.0,11.25,194.32,0.0,0.0,11.25,194.32,7.7728,194320.00000000003
delay_seconds,5.0,10.42,2557.579,0.0,0.0,10.42,2557.579,102.30316,2557579.0
delay_seconds,15.0,10.42,2557.579,0.0,0.0,10.42,2557.579,102.30316,2557579.0
dropout,0.0,11.25,194.32,0.0,0.0,11.25,194.32,7.7728,194320.00000000003
dropout,0.05,12.08,257.479,0.0,0.0,12.08,257.479,10.299159999999999,257478.99999999997
dropout,0.1,10.83,286.845,0.0,0.0,10.83,286.845,11.4738,286845.0
dropout,0.2,10.0,504.184,0.0,0.0,10.0,504.184,20.167360000000002,504184.00000000006
dropout,0.3,19.17,1912.039,0.0,0.0,19.17,1912.039,76.48156,1912039.0
out_of_order,0.0,11.25,194.32,0.0,0.0,11.25,194.32,7.7728,194320.00000000003
out_of_order,0.05,11.25,194.32,0.0,0.0,11.25,194.32,7.7728,194320.00000000003
out_of_order,0.15,11.25,194.32,0.0,0.0,11.25,194.32,7.7728,194320.00000000003
spike_sigma,0.0,11.25,210.893,0.0,0.0,11.25,210.893,8.43572,210893.00000000003
spike_sigma,1.0,11.25,210.893,0.0,0.0,11.25,210.893,8.43572,210893.00000000003
spike_sigma,2.0,11.25,210.893,0.0,0.0,11.25,210.893,8.43572,210893.00000000003
spike_sigma,3.0,11.25,232.673,0.0,0.0,11.25,232.673,9.30692,232673.0
