step,scenario,soc_mwh,intervened,violated,reliability_w
0,nominal,0.5158,True,False,1.0
1,nominal,0.5005,True,False,1.0
2,nominal,0.5,True,False,1.0
3,nominal,0.5,True,False,1.0
4,nominal,0.5,True,False,1.0
5,nominal,0.5,True,False,1.0
6,nominal,0.5,True,False,1.0
7,nominal,0.5,True,False,1.0
8,nominal,0.5,True,False,1.0
9,nominal,0.5,True,False,1.0
10,nominal,0.5,True,False,1.0
11,nominal,0.5,True,False,1.0
12,nominal,0.5,True,False,1.0
13,nominal,0.5,True,False,1.0
14,nominal,0.5,True,False,1.0
15,nominal,0.5,True,False,1.0
16,nominal,0.5,True,False,1.0
17,nominal,0.5,True,False,1.0
18,nominal,0.5,True,False,1.0
19,nominal,0.5,True,False,1.0
20,nominal,0.5,True,False,1.0
21,nominal,0.5,True,False,1.0
22,nominal,0.5,True,False,1.0
23,nominal,0.5,True,False,1.0
24,nominal,0.5,True,False,1.0
25,nominal,0.5,True,False,1.0
26,nominal,0.5,True,False,1.0
27,nominal,0.5,True,False,1.0
28,nominal,0.5,True,False,1.0
29,nominal,0.5,True,False,1.0
30,nominal,0.5,True,False,1.0
31,nominal,0.5,True,False,1.0
32,nominal,0.5,True,False,1.0
33,nominal,0.5,True,False,1.0
34,nominal,0.5,True,False,1.0
35,nominal,0.5,True,False,1.0
36,nominal,0.5,True,False,1.0
37,nominal,0.5,True,False,1.0
38,nominal,0.5,True,False,1.0
39,nominal,0.5,True,False,1.0
40,nominal,0.5,True,False,1.0
41,nominal,0.5,True,False,1.0
42,nominal,0.5,True,False,1.0
43,nominal,0.5,True,False,1.0
44,nominal,0.5,True,False,1.0
45,nominal,0.5,True,False,1.0
46,nominal,0.5,True,False,1.0
47,nominal,0.5,True,False,1.0
48,nominal,0.5,True,False,1.0
49,nominal,0.5,True,False,1.0
50,nominal,0.5,True,False,1.0
51,nominal,0.5,True,False,1.0
52,nominal,0.5,True,False,1.0
53,nominal,0.5,True,False,1.0
54,nominal,0.5,True,False,1.0
55,nominal,0.5,True,False,1.0
56,nominal,0.5,True,False,1.0
57,nominal,0.5,True,False,1.0
58,nominal,0.5,True,False,1.0
59,nominal,0.5,True,False,1.0
60,nominal,0.5,True,False,1.0
61,nominal,0.5,True,False,1.0
62,nominal,0.5,True,False,1.0
63,nominal,0.5,True,False,1.0
64,nominal,0.5,True,False,1.0
65,nominal,0.5,True,False,1.0
66,nominal,0.5,True,False,1.0
67,nominal,0.5,True,False,1.0
68,nominal,0.5,True,False,1.0
69,nominal,0.5,True,False,1.0
70,nominal,0.5,True,False,1.0
71,nominal,0.5,True,False,1.0
0,dropout,0.5158,True,False,1.0
1,dropout,0.5005,True,False,1.0
2,dropout,0.5,True,False,1.0
3,dropout,0.5,True,False,1.0
4,dropout,0.5,True,False,1.0
5,dropout,0.5,True,False,1.0
6,dropout,0.5,True,False,1.0
7,dropout,0.5,True,False,1.0
8,dropout,0.5,True,False,1.0
9,dropout,0.5,True,False,1.0
10,dropout,0.5,True,False,1.0
11,dropout,0.5,True,False,1.0
12,dropout,0.5,True,False,1.0
13,dropout,0.5,True,False,1.0
14,dropout,0.5,True,False,1.0
15,dropout,0.5,True,False,1.0
16,dropout,0.5,True,False,1.0
17,dropout,0.5,True,False,1.0
18,dropout,0.5,True,False,1.0
19,dropout,0.5,True,False,1.0
20,dropout,0.5,True,False,1.0
21,dropout,0.5,True,False,1.0
22,dropout,0.5,True,False,1.0
23,dropout,0.5,True,False,1.0
24,dropout,0.5,True,False,1.0
25,dropout,0.5,True,False,1.0
26,dropout,0.5,True,False,1.0
27,dropout,0.5,True,False,1.0
28,dropout,0.5,True,False,1.0
29,dropout,0.5,True,False,1.0
30,dropout,0.5,True,False,1.0
31,dropout,0.5,True,False,1.0
32,dropout,0.5,True,False,1.0
33,dropout,0.5,True,False,1.0
34,dropout,0.5,True,False,1.0
35,dropout,0.5,True,False,1.0
36,dropout,0.5,True,False,1.0
37,dropout,0.5,True,False,1.0
38,dropout,0.5,True,False,1.0
39,dropout,0.5,True,False,1.0
40,dropout,0.5,True,False,1.0
41,dropout,0.5,True,False,1.0
42,dropout,0.5,True,False,1.0
43,dropout,0.5,True,False,1.0
44,dropout,0.5,True,False,1.0
45,dropout,0.5,True,False,1.0
46,dropout,0.5,True,False,1.0
47,dropout,0.5,True,False,1.0
48,dropout,0.5,True,False,1.0
49,dropout,0.5,True,False,1.0
50,dropout,0.5,True,False,1.0
51,dropout,0.5,True,False,1.0
52,dropout,0.5,True,False,1.0
53,dropout,0.5,True,False,1.0
54,dropout,0.5,True,False,1.0
55,dropout,0.5,True,False,1.0
56,dropout,0.5,True,False,1.0
57,dropout,0.5,True,False,1.0
58,dropout,0.5,True,False,1.0
59,dropout,0.5,True,False,1.0
60,dropout,0.5,True,False,1.0
61,dropout,0.5,True,False,1.0
62,dropout,0.5,True,False,1.0
63,dropout,0.5,True,False,1.0
64,dropout,0.5,True,False,1.0
65,dropout,0.5,True,False,1.0
66,dropout,0.5,True,False,1.0
67,dropout,0.5,True,False,1.0
68,dropout,0.5,True,False,1.0
69,dropout,0.5,True,False,1.0
70,dropout,0.5,True,False,1.0
71,dropout,0.5,True,False,1.0
