step,timestamp,soc_observed_mwh,soc_true_mwh,reliability_w,drift_flag,inflation,interval_width_mw,proposed_charge_mw,proposed_discharge_mw,safe_charge_mw,safe_discharge_mw,intervened,fault_active,true_soc_violated,violation_severity_mwh,price_per_mwh,controller
1,2026-01-01 00:00:00+00:00,9999.7400,10000.0000,1.0000,False,1.0078,307.3949,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.0245,dc3s_ftit
2,2026-01-01 01:00:00+00:00,9999.5122,10000.0000,1.0000,False,1.0076,307.3345,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.5016,dc3s_ftit
3,2026-01-01 02:00:00+00:00,9999.9209,10000.0000,1.0000,False,1.0074,307.2756,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.2655,dc3s_ftit
4,2026-01-01 03:00:00+00:00,10000.2198,10000.0000,1.0000,False,1.0072,307.2182,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.8311,dc3s_ftit
5,2026-01-01 04:00:00+00:00,10000.2818,10000.0000,1.0000,False,1.0071,307.1623,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,53.2792,dc3s_ftit
6,2026-01-01 05:00:00+00:00,10000.0922,10000.0000,0.8248,False,4.4600,1360.3360,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,52.1885,dc3s_ftit
7,2026-01-01 06:00:00+00:00,9999.9875,10000.0000,0.6997,False,9.1263,2783.6134,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,57.8096,dc3s_ftit
8,2026-01-01 07:00:00+00:00,10000.3056,10000.0000,0.6059,False,13.2224,4032.9669,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,56.7572,dc3s_ftit
9,2026-01-01 08:00:00+00:00,9999.9120,10000.0000,0.5330,False,17.3223,5283.4478,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,55.9904,dc3s_ftit
10,2026-01-01 09:00:00+00:00,9999.9120,10000.0000,0.5841,False,16.7070,5095.7820,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.4164,dc3s_ftit
11,2026-01-01 10:00:00+00:00,10000.5354,10000.0000,0.6258,False,16.1590,4928.6422,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.9355,dc3s_ftit
12,2026-01-01 11:00:00+00:00,9999.7966,10000.0000,0.6606,False,15.6594,4776.2745,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,60.1215,dc3s_ftit
13,2026-01-01 12:00:00+00:00,9999.9715,10000.0000,0.6900,False,15.1968,4635.1598,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.1563,dc3s_ftit
14,2026-01-01 13:00:00+00:00,10000.1626,10000.0000,0.7152,False,14.7635,4503.0032,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.1793,dc3s_ftit
15,2026-01-01 14:00:00+00:00,9999.7072,10000.0000,0.7369,False,14.3544,4378.2309,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.4008,dc3s_ftit
16,2026-01-01 15:00:00+00:00,10000.0580,10000.0000,0.7560,False,13.9659,4259.7194,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,56.5781,dc3s_ftit
17,2026-01-01 16:00:00+00:00,10000.2179,10000.0000,0.7728,False,13.5951,4146.6384,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,56.8419,dc3s_ftit
18,2026-01-01 17:00:00+00:00,10000.0169,10000.0000,0.7221,False,14.0663,4290.3551,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,71.1297,dc3s_ftit
19,2026-01-01 18:00:00+00:00,9999.6357,4565.2174,0.6768,False,14.8587,4532.0339,0.0000,5000.0000,0.0000,5000.0000,False,True,False,0.0000,74.5542,dc3s_ftit
20,2026-01-01 19:00:00+00:00,4565.0577,4565.2174,0.6361,False,16.8283,5132.7933,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,71.0143,dc3s_ftit
21,2026-01-01 20:00:00+00:00,4565.0577,4565.2174,0.5993,False,19.2509,5871.6983,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,73.0062,dc3s_ftit
22,2026-01-01 21:00:00+00:00,4564.7967,4565.2174,0.6216,False,18.6957,5702.3714,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,70.9165,dc3s_ftit
