step,protocol,soc_0_mwh,soc_1_mwh,joint_violated,charge_0_mw,discharge_0_mw,charge_1_mw,discharge_1_mw
0,independent,60.0,60.0,1,0.0,40.0,0.0,40.0
1,independent,17.89473684210526,17.89473684210526,1,0.0,40.0,0.0,40.0
2,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
3,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
4,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
5,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
6,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
7,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
8,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
9,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
10,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
11,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
12,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
13,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
14,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
15,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
16,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
17,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
18,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
19,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
20,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
21,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
22,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
23,independent,10.0,10.0,1,0.0,40.0,0.0,40.0
0,centralized,60.0,60.0,0,0.0,40.0,0.0,40.0
1,centralized,17.89473684210526,17.89473684210526,0,0.0,40.0,0.0,40.0
2,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
3,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
4,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
5,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
6,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
7,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
8,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
9,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
10,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
11,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
12,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
13,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
14,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
15,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
16,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
17,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
18,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
19,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
20,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
21,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
22,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
23,centralized,10.0,10.0,0,0.0,40.0,0.0,40.0
0,distributed,60.0,60.0,0,0.0,40.0,0.0,40.0
1,distributed,17.89473684210526,17.89473684210526,0,0.0,40.0,0.0,40.0
2,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
3,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
4,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
5,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
6,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
7,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
8,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
9,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
10,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
11,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
12,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
13,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
14,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
15,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
16,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
17,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
18,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
19,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
20,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
21,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
22,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
23,distributed,10.0,10.0,0,0.0,40.0,0.0,40.0
