domain,fault_type,controller,seed,tsvr,intervention_rate,oasg
battery,bias,nominal,3000,0.875,0.0,1.0
battery,bias,nominal,3001,0.875,0.0,1.0
battery,bias,nominal,3002,0.875,0.0,1.0
battery,bias,nominal,3003,0.875,0.0,1.0
battery,bias,nominal,3004,0.875,0.0,1.0
battery,bias,dc3s,3000,0.9375,0.0,1.0
battery,bias,dc3s,3001,0.9375,0.0,1.0
battery,bias,dc3s,3002,0.9375,0.0,1.0
battery,bias,dc3s,3003,0.9375,0.0,1.0
battery,bias,dc3s,3004,0.9375,0.0,1.0
navigation,bias,nominal,3000,0.0,0.0,1.0
navigation,bias,nominal,3001,0.0,0.0,1.0
navigation,bias,nominal,3002,0.0,0.0,1.0
navigation,bias,nominal,3003,0.0,0.0,1.0
navigation,bias,nominal,3004,0.0,0.0,1.0
navigation,bias,dc3s,3000,0.0,0.0,1.0
navigation,bias,dc3s,3001,0.0,0.0,0.888355
navigation,bias,dc3s,3002,0.0,0.0,1.0
navigation,bias,dc3s,3003,0.0,0.0,0.555711
navigation,bias,dc3s,3004,0.0,0.0,1.0
industrial,bias,nominal,3000,0.0,0.0,1.0
industrial,bias,nominal,3001,0.0,0.0,1.0
industrial,bias,nominal,3002,0.0,0.0,1.0
industrial,bias,nominal,3003,0.0,0.0,1.0
industrial,bias,nominal,3004,0.0,0.0,1.0
industrial,bias,dc3s,3000,0.0,0.0,1.0
industrial,bias,dc3s,3001,0.0,0.0,1.0
industrial,bias,dc3s,3002,0.0,0.0,1.0
industrial,bias,dc3s,3003,0.0,0.0,1.0
industrial,bias,dc3s,3004,0.0,0.0,1.0
healthcare,bias,nominal,3000,1.0,0.0,1.0
healthcare,bias,nominal,3001,1.0,0.0,1.0
healthcare,bias,nominal,3002,1.0,0.0,1.0
healthcare,bias,nominal,3003,1.0,0.0,1.0
healthcare,bias,nominal,3004,1.0,0.0,1.0
healthcare,bias,dc3s,3000,0.291667,0.0,1.0
