row_index,command_id,has_expiry_metadata,validity_horizon_H_t,half_life_steps,expires_at_step,validity_status,expiry_consistent
0,22255858-8aba-4b9f-93d8-a2eded31e8e9,True,not_applicable,not_applicable,not_applicable,nominal,True
1,aa7b5644-e2bd-4c0b-8f0b-4bf497d6f4ba,True,not_applicable,not_applicable,not_applicable,nominal,True
2,95078308-1268-45c0-ac96-f5cd52081805,True,not_applicable,not_applicable,not_applicable,nominal,True
3,49959447-5efb-4a41-ac6f-7c06d7185012,True,not_applicable,not_applicable,not_applicable,nominal,True
4,468a2554-9725-4820-a732-22ab7982ff9a,True,not_applicable,not_applicable,not_applicable,nominal,True
5,82da7eb5-fda1-4ed8-8629-e64eeea0b451,True,not_applicable,not_applicable,not_applicable,nominal,True
6,5b8d6f3b-9195-4efc-8492-e1ff3d9703d8,True,not_applicable,not_applicable,not_applicable,nominal,True
7,04e4119a-9e18-4e75-825b-f561713d9679,True,not_applicable,not_applicable,not_applicable,nominal,True
8,e8d43593-baac-431e-bfc1-4b2f5f1850a2,True,not_applicable,not_applicable,not_applicable,nominal,True
9,0fe892f5-192d-47e0-9749-d90f36da9374,True,not_applicable,not_applicable,not_applicable,nominal,True
10,df31670d-bac3-4990-aa82-5f656c79c0e4,True,not_applicable,not_applicable,not_applicable,nominal,True
11,c758cb11-e8d1-4e3a-bcce-bcc7b3f37d8e,True,not_applicable,not_applicable,not_applicable,nominal,True
12,9168dfa4-37fc-46ff-914a-f6114e42a582,True,not_applicable,not_applicable,not_applicable,nominal,True
13,573b0cca-f501-4caf-8dc1-65aa82f6666f,True,not_applicable,not_applicable,not_applicable,nominal,True
14,b1f77c6c-1fe6-4a23-9f86-a872db8c1a6b,True,not_applicable,not_applicable,not_applicable,nominal,True
15,459b4e74-53a5-4748-92ac-6b92a952ef26,True,not_applicable,not_applicable,not_applicable,nominal,True
16,01cd872c-9ccb-4dbe-8249-9f8eef81622f,True,not_applicable,not_applicable,not_applicable,nominal,True
17,38a0fb90-7999-43a6-81b8-c13c98a865a8,True,not_applicable,not_applicable,not_applicable,nominal,True
18,94dfe214-8566-454e-821a-ff14de2fcabd,True,not_applicable,not_applicable,not_applicable,nominal,True
19,3bda81dd-5282-46de-bc5b-20c2e4eddaf9,True,not_applicable,not_applicable,not_applicable,nominal,True
20,656fa1f6-b96a-46cb-9557-1ac5f0896dae,True,not_applicable,not_applicable,not_applicable,nominal,True
21,0a7170ef-1359-48b4-b464-93cb89ed68a5,True,not_applicable,not_applicable,not_applicable,nominal,True
22,c77f8221-5f56-4758-868f-4f9737d65237,True,not_applicable,not_applicable,not_applicable,nominal,True
23,db4b33df-4fd1-4587-97d1-ff5798b431ce,True,not_applicable,not_applicable,not_applicable,nominal,True
24,4d872a1d-d58e-47eb-b473-79f19a17b699,True,not_applicable,not_applicable,not_applicable,nominal,True
25,c02eca30-1b4c-44ec-8f1d-8e48b159f2c8,True,not_applicable,not_applicable,not_applicable,nominal,True
26,97b9cf90-3a3a-4c8e-90d8-52d60c853f77,True,not_applicable,not_applicable,not_applicable,nominal,True
27,854f4dfc-c722-4b63-a0bd-7d4c6921a1bc,True,not_applicable,not_applicable,not_applicable,nominal,True
28,13020cb3-7a33-41a9-8506-eb31419d17fa,True,not_applicable,not_applicable,not_applicable,nominal,True
29,f00e612f-ac02-4ced-97d8-1f1e26c2b1d3,True,not_applicable,not_applicable,not_applicable,nominal,True
30,64f6c67a-ad4c-44c6-9b00-6ade1996ecd7,True,not_applicable,not_applicable,not_applicable,nominal,True
31,25c1db75-e251-4872-a766-1ff1b4e87e5a,True,not_applicable,not_applicable,not_applicable,nominal,True
32,361879f7-7cb1-46b8-9b80-1b9158f493c2,True,not_applicable,not_applicable,not_applicable,nominal,True
33,af718e26-8f45-4da6-890d-f557ae3b3fa8,True,not_applicable,not_applicable,not_applicable,nominal,True
34,03a9ba3b-8e33-490e-88bb-307d8f3490bb,True,not_applicable,not_applicable,not_applicable,nominal,True
35,fdd13c95-1a48-46a3-8e5e-9dbe19624c5f,True,not_applicable,not_applicable,not_applicable,nominal,True
36,a389d753-9588-47de-ba5b-8c53586f48b7,True,not_applicable,not_applicable,not_applicable,nominal,True
37,9c343cd1-b54b-4fc5-9fea-a5edccf96309,True,not_applicable,not_applicable,not_applicable,nominal,True
38,234f4a65-b816-4415-927d-3df1cb3ccd48,True,not_applicable,not_applicable,not_applicable,nominal,True
39,5f411789-9356-4be9-9d71-ff2552cb459b,True,not_applicable,not_applicable,not_applicable,nominal,True
40,d9832625-2d99-4671-9202-dd8357156706,True,not_applicable,not_applicable,not_applicable,nominal,True
41,5ab21b37-f877-4b32-a502-6c716375c40d,True,not_applicable,not_applicable,not_applicable,nominal,True
42,bc434d0e-1468-43af-aa01-1208f3e3ad82,True,not_applicable,not_applicable,not_applicable,nominal,True
43,444ed9bd-a505-4d86-b87e-d0def4ba90e9,True,not_applicable,not_applicable,not_applicable,nominal,True
44,61f34e80-27d7-4ebd-8a71-263358cfc182,True,not_applicable,not_applicable,not_applicable,nominal,True
45,76588f35-3afd-47e5-8d6f-e24ee6a67473,True,not_applicable,not_applicable,not_applicable,nominal,True
46,a0fbdd60-af02-4b6c-a6e4-3cc81f72dc26,True,not_applicable,not_applicable,not_applicable,nominal,True
47,8f149ad8-750a-4e01-8e46-38e3b419a729,True,not_applicable,not_applicable,not_applicable,nominal,True
48,49208603-dcc8-49fa-8270-70386effd26c,True,not_applicable,not_applicable,not_applicable,nominal,True
49,7d46ac24-38e3-4217-bf0c-5e038f636914,True,not_applicable,not_applicable,not_applicable,nominal,True
50,da536afb-1467-4906-bb9f-050d59b739e7,True,not_applicable,not_applicable,not_applicable,nominal,True
51,dc137c81-e357-4688-8684-adef400ab489,True,not_applicable,not_applicable,not_applicable,nominal,True
52,71eed771-cafe-4268-8ef8-77883408bc08,True,not_applicable,not_applicable,not_applicable,nominal,True
53,cdab2ed7-2803-485d-ae14-87cebff26022,True,not_applicable,not_applicable,not_applicable,nominal,True
54,cecebf1e-ac79-4d6c-b822-9e6bd95547f0,True,not_applicable,not_applicable,not_applicable,nominal,True
55,8789a744-427e-44ef-9929-6cb833d7b436,True,not_applicable,not_applicable,not_applicable,nominal,True
56,8852918c-e44b-4ac2-91e4-40baaeb332a4,True,not_applicable,not_applicable,not_applicable,nominal,True
57,865f20e9-7c0f-42c9-b209-7c89a552470b,True,not_applicable,not_applicable,not_applicable,nominal,True
58,97469512-3532-4d70-a700-6c826603a3c3,True,not_applicable,not_applicable,not_applicable,nominal,True
59,25d8d67f-3eeb-437c-a1f1-2db17aae1a44,True,not_applicable,not_applicable,not_applicable,nominal,True
60,2e4a6d80-75cd-4c78-a586-f09b415425d2,True,not_applicable,not_applicable,not_applicable,nominal,True
61,ab777786-62cc-4742-84b8-7922c76a25b2,True,not_applicable,not_applicable,not_applicable,nominal,True
62,f5bd3792-d17f-4f51-b6e2-cb94a31addb4,True,not_applicable,not_applicable,not_applicable,nominal,True
63,91873c77-f63b-4a33-b901-b84a65832810,True,not_applicable,not_applicable,not_applicable,nominal,True
64,151abd45-38f2-43a3-8ba8-ae53712a6aea,True,not_applicable,not_applicable,not_applicable,nominal,True
65,25c73e1d-e505-47c3-88f3-2f2b06e42417,True,not_applicable,not_applicable,not_applicable,nominal,True
66,fe83960d-a0fd-4ba6-b1d8-96df3f198120,True,not_applicable,not_applicable,not_applicable,nominal,True
67,09245fc0-0a0e-43f5-aebb-757764302735,True,not_applicable,not_applicable,not_applicable,nominal,True
68,172aea92-58e4-4ab5-b9cc-3c21452a696c,True,not_applicable,not_applicable,not_applicable,nominal,True
69,910a4fe5-8e38-4a59-8388-57a4b2d84a31,True,not_applicable,not_applicable,not_applicable,nominal,True
70,b546fed4-101b-4eaf-b93a-53dedae6145e,True,not_applicable,not_applicable,not_applicable,nominal,True
71,4b22c44b-894b-46ab-a3e2-cccbf7a2808d,True,not_applicable,not_applicable,not_applicable,nominal,True
72,95007712-b7ca-47f3-ab28-0d68bd61124a,True,not_applicable,not_applicable,not_applicable,nominal,True
73,7cd2c78b-e534-4202-890f-1ca77a681b8b,True,not_applicable,not_applicable,not_applicable,nominal,True
74,bb8a4c31-eba0-46ce-857e-664d86f4cd0e,True,not_applicable,not_applicable,not_applicable,nominal,True
75,36df0987-28af-49ed-a756-74cb45224476,True,not_applicable,not_applicable,not_applicable,nominal,True
76,02d4bd36-6ae9-49c3-bb56-d19f6818880c,True,not_applicable,not_applicable,not_applicable,nominal,True
77,5c1bdd7b-2cd7-4ea3-ac4c-8c47b24a6637,True,not_applicable,not_applicable,not_applicable,nominal,True
78,7f0a41f7-00d6-462d-9466-23c655137dc8,True,not_applicable,not_applicable,not_applicable,nominal,True
79,006f3d1f-85eb-4ec1-8c4c-8c27c8141389,True,not_applicable,not_applicable,not_applicable,nominal,True
80,1477dd99-aecd-400b-bc35-c19a5bc79920,True,not_applicable,not_applicable,not_applicable,nominal,True
81,e777988e-f6c6-4cb4-89c4-831a56e5f220,True,not_applicable,not_applicable,not_applicable,nominal,True
82,187a62a2-a76d-409d-be93-3af0505d6f5b,True,not_applicable,not_applicable,not_applicable,nominal,True
83,03c5a149-ee33-45ba-b204-d5adb4ff5c0b,True,not_applicable,not_applicable,not_applicable,nominal,True
84,7f679348-e5e9-426e-8552-75137a5bdd79,True,not_applicable,not_applicable,not_applicable,nominal,True
85,78516c2b-7188-4f7d-9e4b-559cab08cb7f,True,not_applicable,not_applicable,not_applicable,nominal,True
86,e731605f-21cc-4eeb-9aa4-0f60df53f69e,True,not_applicable,not_applicable,not_applicable,nominal,True
87,25418273-fb93-4918-af54-10be92c096a4,True,not_applicable,not_applicable,not_applicable,nominal,True
88,a079966c-1953-4b1e-ab82-064c61924c6e,True,not_applicable,not_applicable,not_applicable,nominal,True
89,f9bd2b69-676d-4ccb-b746-e3bb8bdb297c,True,not_applicable,not_applicable,not_applicable,nominal,True
90,44ba5c28-9f61-4049-bf7d-d8c9aaaec696,True,not_applicable,not_applicable,not_applicable,nominal,True
91,463f02a0-e0a5-4ed0-a6c9-64eff7990ac7,True,not_applicable,not_applicable,not_applicable,nominal,True
92,9b9eacf3-3227-4b05-988e-93d27164fab7,True,not_applicable,not_applicable,not_applicable,nominal,True
93,a66a5e85-2db5-4abc-a9b1-b2b4e3dbd6e6,True,not_applicable,not_applicable,not_applicable,nominal,True
94,fbfc2271-474e-46fc-b43e-a2aa0f849c2b,True,not_applicable,not_applicable,not_applicable,nominal,True
95,045bf6e4-827d-4a57-a815-dceb60bb7d80,True,not_applicable,not_applicable,not_applicable,nominal,True
96,b73d8073-97bb-4d71-ad2e-616f80d8627e,True,not_applicable,not_applicable,not_applicable,nominal,True
97,e047cf66-9a84-405b-844e-323de5b717fd,True,not_applicable,not_applicable,not_applicable,nominal,True
98,826b356b-cf5a-406b-bf68-657cf7c1f90c,True,not_applicable,not_applicable,not_applicable,nominal,True
99,948f2e13-c9f7-4f61-af68-4fce6f7d73d4,True,not_applicable,not_applicable,not_applicable,nominal,True
100,d9f60b62-40c7-42b1-b291-79aa1808ea35,True,not_applicable,not_applicable,not_applicable,nominal,True
101,ea095071-c58c-4666-8f74-9b77091595e7,True,not_applicable,not_applicable,not_applicable,nominal,True
102,c16d70d4-9310-4415-b403-5a0fbccc2781,True,not_applicable,not_applicable,not_applicable,nominal,True
103,53054f9d-98a1-4a40-8a0f-1393803dd789,True,not_applicable,not_applicable,not_applicable,nominal,True
104,117f720c-b769-4432-ad8c-704dfd639003,True,not_applicable,not_applicable,not_applicable,watch,True
105,cd5f6cdb-bad9-4153-b8c8-5236e2df976c,True,not_applicable,not_applicable,not_applicable,nominal,True
106,3c49def9-526b-4529-88d0-10ec97ae65eb,True,not_applicable,not_applicable,not_applicable,nominal,True
