t,validity_score,validity_status,normalized_residual,subgroup_gap,drift_score,adaptation_instability,reliability_interaction,shift_alert_flag
0,0.9736499307904942,nominal,0.02310340685894145,0.0,0.10287108747385203,0.0,0.0,False
1,0.880692708224696,nominal,0.08242457332222149,0.0,0.10330061219905605,0.020000000000000004,0.5002735066995831,False
2,0.9188314674900725,nominal,0.04142128688643048,0.0,0.10381925822802508,0.04000000000000001,0.2936623942847666,False
3,0.9047513968083887,nominal,0.010389431540881428,0.0,0.10432765510338345,0.05,0.4285714285714286,False
4,0.8987100177798647,nominal,0.05131346027484783,0.0,0.10480808575711616,0.05,0.4,False
5,0.8993930054140846,nominal,0.048254555033935664,0.0,0.10521677913715706,0.05,0.4,False
6,0.955400621876301,nominal,0.06384283844532837,0.0,0.10569332756183414,0.05,1.9999999767428278e-08,False
7,0.9457073913189886,nominal,0.10233968182318513,0.0,0.10603843962607533,0.05,1.999999943436137e-09,False
8,0.8308331307066911,nominal,0.10183265041604625,0.0,0.10649757761550431,0.05,0.7660612744413098,False
9,0.9382793824111308,nominal,0.1313628903842865,0.0,0.10689941496398996,0.05,7.999999684926706e-08,False
10,0.9515826179652265,nominal,0.07781174438859007,0.0,0.10732222968813047,0.05,0.0,False
11,0.9417899897046561,nominal,0.11661435578834078,0.0,0.10778210674129358,0.05,0.0,False
12,0.9232876773952543,nominal,0.19023881699354347,0.0,0.10826309178179899,0.05,0.0,False
13,0.9509033332601702,nominal,0.07945092190598131,0.0,0.10866966781667253,0.05,1.799999982399214e-08,False
14,0.9685851503719648,nominal,0.008400448850061061,0.0,0.10907368557759949,0.05,1.999999943436137e-09,False
15,0.9614358002773384,nominal,0.03668135301016219,0.0,0.10946929235060476,0.05,1.9999999767428278e-08,False
16,0.9698136143180779,nominal,0.002844784647741933,0.0,0.10987594759993285,0.05,0.0,False
17,0.9665281923081133,nominal,0.015658347478010457,0.0,0.11028610261192025,0.05,1.999999943436137e-09,False
18,0.962365900007538,nominal,0.03193390088767311,0.0,0.11075312385271845,0.05,0.0,False
19,0.9623500274971115,nominal,0.03165592297418194,0.0,0.11117995729671483,0.05,1.999999943436137e-09,False
20,0.9618539444703583,nominal,0.033332579080416064,0.0,0.11156453879768795,0.05,1.9999999767428278e-08,False
21,0.9526021950549586,nominal,0.07004648356164705,0.0,0.11193092027314856,0.05,0.0,False
22,0.955007967050426,nominal,0.06011664728542679,0.0,0.11231435414108625,0.05,1.999999943436137e-09,False
23,0.9621285191763993,nominal,0.031285111105366664,0.0,0.11275100173629536,0.05,1.799999982399214e-08,False
24,0.9661624221528611,nominal,0.01483693744385931,0.0,0.11314171743087036,0.05,0.0,False
25,0.9634675436482552,nominal,0.025216340545800516,0.0,0.11364185607647408,0.05,0.0,False
26,0.9659419626595878,nominal,0.014896865814746857,0.0,0.11416910293362771,0.05,1.999999943436137e-09,False
27,0.968101843809144,nominal,0.005846194661975631,0.0,0.11468303762681065,0.05,0.0,False
28,0.9613672741525363,nominal,0.03232867785667819,0.0,0.11525276541647045,0.05,2.1999999710864415e-08,False
29,0.9669984003230813,nominal,0.009338562186641119,0.0,0.11583479565129214,0.05,0.0,False
30,0.9645848031868979,nominal,0.01849842581003407,0.0,0.1164529503029678,0.05,1.999999943436137e-09,False
31,0.9591258627526384,nominal,0.03981903555669011,0.0,0.11709689179094522,0.05,0.0,False
32,0.9250901707778374,nominal,0.17546605571706841,0.0,0.11771655996447757,0.05,2.1999999710864415e-08,False
33,0.9265661125568527,nominal,0.16909058184817072,0.0,0.11830614990552536,0.05,7.999999684926706e-08,False
34,0.9167658604354296,nominal,0.20786600321954438,0.0,0.11883819379842119,0.05,0.0,False
35,0.9263587704464976,nominal,0.16898075726419104,0.0,0.11948020118727319,0.05,0.0,False
36,0.9254500476944655,nominal,0.17213731345298453,0.0,0.12007807471144322,0.05,5.999999819206181e-08,False
37,0.9363141437135419,nominal,0.1282279514631142,0.0,0.12064434210339749,0.05,0.0,False
38,0.931198379279824,nominal,0.14823425416182567,0.0,0.12121523939859906,0.05,6.199999802447564e-08,False
39,0.9264144818491006,nominal,0.1669521725262905,0.0,0.1217373600966342,0.05,1.9999999767428278e-08,False
40,0.9216622211210778,nominal,0.18548145613152872,0.0,0.12233702923020144,0.05,5.999999819206181e-08,False
41,0.6626908846134012,watch,0.6681221448047254,0.0,0.10139289592708717,0.05,0.95,False
42,0.7336789140889182,watch,0.38390297228734066,0.0,0.10172671419623365,0.05,0.95,False
43,0.7673648573840017,nominal,0.24868778269136121,0.0,0.10231598471579001,0.05,0.95,False
44,0.7470413765691983,watch,0.3294947848684003,0.0,0.10292463606850805,0.05,0.95,False
45,0.7284576917896399,watch,0.4032302038668197,0.0,0.10367378621827554,0.05,0.95,False
46,0.7291336688984262,watch,0.399792549733555,0.0,0.1045909683409243,0.05,0.95,False
47,0.7257674276180126,watch,0.4124045507781585,0.0,0.10565717343723874,0.05,0.95,False
