t,effective_alpha,miss_streak,mode
0,0.08,0,aci_clipped
1,0.06,0,aci_clipped
2,0.05,0,aci_clipped
3,0.05,0,aci_clipped
4,0.05,0,aci_clipped
5,0.05,0,aci_clipped
6,0.05,0,aci_clipped
7,0.05,0,aci_clipped
8,0.05,0,aci_clipped
9,0.05,0,aci_clipped
10,0.05,0,aci_clipped
11,0.05,0,aci_clipped
12,0.05,0,aci_clipped
13,0.05,0,aci_clipped
14,0.05,0,aci_clipped
15,0.05,0,aci_clipped
16,0.05,0,aci_clipped
17,0.05,0,aci_clipped
18,0.05,0,aci_clipped
19,0.05,0,aci_clipped
20,0.05,0,aci_clipped
21,0.05,0,aci_clipped
22,0.05,0,aci_clipped
23,0.05,0,aci_clipped
24,0.05,0,aci_clipped
25,0.05,0,aci_clipped
26,0.05,0,aci_clipped
27,0.05,0,aci_clipped
28,0.05,0,aci_clipped
29,0.05,0,aci_clipped
30,0.05,0,aci_clipped
31,0.05,0,aci_clipped
32,0.05,0,aci_clipped
33,0.05,0,aci_clipped
34,0.05,0,aci_clipped
35,0.05,0,aci_clipped
36,0.05,0,aci_clipped
37,0.05,0,aci_clipped
38,0.05,0,aci_clipped
39,0.05,0,aci_clipped
40,0.05,0,aci_clipped
41,0.05,0,aci_clipped
42,0.05,0,aci_clipped
43,0.05,0,aci_clipped
44,0.05,0,aci_clipped
45,0.05,0,aci_clipped
46,0.05,0,aci_clipped
47,0.05,0,aci_clipped
48,0.05,0,aci_clipped
49,0.05,0,aci_clipped
50,0.05,0,aci_clipped
51,0.05,0,aci_clipped
52,0.05,0,aci_clipped
53,0.05,0,aci_clipped
54,0.05,0,aci_clipped
55,0.05,0,aci_clipped
56,0.05,0,aci_clipped
57,0.05,0,aci_clipped
58,0.05,0,aci_clipped
59,0.05,0,aci_clipped
60,0.05,0,aci_clipped
61,0.05,0,aci_clipped
62,0.05,0,aci_clipped
63,0.05,0,aci_clipped
64,0.05,0,aci_clipped
65,0.05,0,aci_clipped
66,0.05,0,aci_clipped
67,0.05,0,aci_clipped
68,0.05,0,aci_clipped
69,0.05,0,aci_clipped
70,0.05,0,aci_clipped
71,0.05,0,aci_clipped
72,0.05,0,aci_clipped
73,0.05,0,aci_clipped
74,0.05,0,aci_clipped
75,0.05,0,aci_clipped
76,0.05,0,aci_clipped
77,0.05,0,aci_clipped
78,0.05,0,aci_clipped
79,0.05,0,aci_clipped
80,0.05,0,aci_clipped
81,0.05,0,aci_clipped
82,0.05,0,aci_clipped
83,0.05,0,aci_clipped
84,0.05,0,aci_clipped
85,0.05,0,aci_clipped
86,0.05,0,aci_clipped
87,0.05,0,aci_clipped
88,0.05,0,aci_clipped
89,0.05,0,aci_clipped
90,0.05,0,aci_clipped
91,0.05,0,aci_clipped
92,0.05,0,aci_clipped
93,0.05,0,aci_clipped
94,0.05,0,aci_clipped
95,0.05,0,aci_clipped
96,0.05,0,aci_clipped
97,0.05,0,aci_clipped
98,0.05,0,aci_clipped
99,0.05,0,aci_clipped
100,0.05,0,aci_clipped
101,0.05,0,aci_clipped
102,0.05,0,aci_clipped
103,0.05,0,aci_clipped
104,0.05,0,aci_clipped
105,0.05,0,aci_clipped
106,0.05,0,aci_clipped
107,0.05,0,aci_clipped
108,0.05,0,aci_clipped
109,0.05,0,aci_clipped
