t,validity_score,validity_status,normalized_residual,subgroup_gap,drift_score,adaptation_instability,reliability_interaction,shift_alert_flag
0,0.9518115161636358,nominal,0.11045706536637519,0.0,0.10287108747385203,0.0,0.0,False
1,0.8848846250935168,nominal,0.06565690584693828,0.0,0.10330061219905605,0.020000000000000004,0.5002735066995831,False
2,0.9213907357680041,nominal,0.03118421377470375,0.0,0.10381925822802508,0.04000000000000001,0.2936623942847666,False
3,0.9010628128327515,nominal,0.025143767443430158,0.0,0.10432765510338345,0.05,0.4285714285714286,False
4,0.9028671042501495,nominal,0.03468511439370873,0.0,0.10480808575711616,0.05,0.4,False
5,0.9039527696773223,nominal,0.03001549798098505,0.0,0.10521677913715706,0.05,0.4,False
6,0.9611396811794235,nominal,0.040886601232838854,0.0,0.10569332756183414,0.05,1.9999999767428278e-08,False
7,0.9624580744681109,nominal,0.03533694922669607,0.0,0.10603843962607533,0.05,1.999999943436137e-09,False
8,0.8506456038373882,nominal,0.022582757893257723,0.0,0.10649757761550431,0.05,0.7660612744413098,False
9,0.9647113222025047,nominal,0.02563513121879129,0.0,0.10689941496398996,0.05,7.999999684926706e-08,False
10,0.9604827077698725,nominal,0.0422113851700055,0.0,0.10732222968813047,0.05,0.0,False
11,0.9606755435108048,nominal,0.04107214056374615,0.0,0.10778210674129358,0.05,0.0,False
12,0.9591809505788756,nominal,0.04666572425905796,0.0,0.10826309178179899,0.05,0.0,False
13,0.9614540797505283,nominal,0.037247935944548574,0.0,0.10866966781667253,0.05,1.799999982399214e-08,False
14,0.9656674452807893,nominal,0.020071269214763234,0.0,0.10907368557759949,0.05,1.999999943436137e-09,False
15,0.9628427029810087,nominal,0.03105374219548092,0.0,0.10946929235060476,0.05,1.9999999767428278e-08,False
16,0.9683030422911,nominal,0.008887072755653804,0.0,0.10987594759993285,0.05,0.0,False
17,0.9672170385570121,nominal,0.012902962482415082,0.0,0.11028610261192025,0.05,1.999999943436137e-09,False
18,0.9682406268412279,nominal,0.00843499355291352,0.0,0.11075312385271845,0.05,0.0,False
19,0.9688957258447277,nominal,0.005473129583717118,0.0,0.11117995729671483,0.05,1.999999943436137e-09,False
20,0.96711446962248,nominal,0.01229047847192929,0.0,0.11156453879768795,0.05,1.9999999767428278e-08,False
21,0.9643983996939407,nominal,0.022861665005718568,0.0,0.11193092027314856,0.05,0.0,False
22,0.9636406870930017,nominal,0.025585767115124097,0.0,0.11231435414108625,0.05,1.999999943436137e-09,False
23,0.9699206539626022,nominal,0.00011657196055489701,0.0,0.11275100173629536,0.05,1.799999982399214e-08,False
24,0.9623767768078794,nominal,0.02997951882378609,0.0,0.11314171743087036,0.05,0.0,False
25,0.967746121269871,nominal,0.008102030059336742,0.0,0.11364185607647408,0.05,0.0,False
26,0.959749051247738,nominal,0.03966851146214555,0.0,0.11416910293362771,0.05,1.999999943436137e-09,False
27,0.966332373579162,nominal,0.012924075581903323,0.0,0.11468303762681065,0.05,0.0,False
28,0.9676804232677678,nominal,0.007076081395751985,0.0,0.11525276541647045,0.05,2.1999999710864415e-08,False
29,0.9684943424163961,nominal,0.003354793813382083,0.0,0.11583479565129214,0.05,0.0,False
30,0.9621591941706766,nominal,0.028200861874919193,0.0,0.1164529503029678,0.05,1.999999943436137e-09,False
31,0.9646457999182927,nominal,0.017739286894073277,0.0,0.11709689179094522,0.05,0.0,False
32,0.9636583516674477,nominal,0.02119333215862721,0.0,0.11771655996447757,0.05,2.1999999710864415e-08,False
33,0.9598570801284467,nominal,0.03592671156179481,0.0,0.11830614990552536,0.05,7.999999684926706e-08,False
34,0.9633989831094041,nominal,0.02133351252364697,0.0,0.11883819379842119,0.05,0.0,False
35,0.9568283047118255,nominal,0.04710262020287955,0.0,0.11948020118727319,0.05,0.0,False
36,0.9669659042768242,nominal,0.006073887123550087,0.0,0.12007807471144322,0.05,5.999999819206181e-08,False
37,0.9574922784477721,nominal,0.04351541252619366,0.0,0.12064434210339749,0.05,0.0,False
38,0.9599385846110754,nominal,0.03327343283681978,0.0,0.12121523939859906,0.05,6.199999802447564e-08,False
39,0.9679229104287707,nominal,0.00091845820761015,0.0,0.1217373600966342,0.05,1.9999999767428278e-08,False
40,0.9358534553871568,nominal,0.12871651906721282,0.0,0.12233702923020144,0.05,5.999999819206181e-08,False
41,0.8139000295277388,nominal,0.06328556514737468,0.0,0.10139289592708717,0.05,0.95,False
42,0.8129035475152817,nominal,0.06700443858188578,0.0,0.10172671419623365,0.05,0.95,False
43,0.8186231545553648,nominal,0.04365459400590902,0.0,0.10231598471579001,0.05,0.95,False
44,0.8179349321254217,nominal,0.04592056264350713,0.0,0.10292463606850805,0.05,0.95,False
