group_col,group_value,target,horizon_label,interval_kind,n,coverage,mean_width
shard_id,validation_tfexample.tfrecord-00000-of-00150,ego_speed_mps,1s,base_val,31,0.9032258064516129,2.6045521885594307
shard_id,validation_tfexample.tfrecord-00001-of-00150,ego_speed_mps,1s,base_val,33,0.9696969696969697,2.9156297143416414
shard_id,validation_tfexample.tfrecord-00002-of-00150,ego_speed_mps,1s,base_val,30,0.9666666666666667,2.588492418642326
shard_id,validation_tfexample.tfrecord-00003-of-00150,ego_speed_mps,1s,base_val,28,0.8214285714285714,2.541408523121033
shard_id,validation_tfexample.tfrecord-00004-of-00150,ego_speed_mps,1s,base_val,26,0.9615384615384616,2.9032496397477248
shard_id,validation_tfexample.tfrecord-00005-of-00150,ego_speed_mps,1s,base_val,37,0.972972972972973,2.291301326929377
shard_id,validation_tfexample.tfrecord-00006-of-00150,ego_speed_mps,1s,base_val,29,0.9655172413793104,2.882653544519908
shard_id,validation_tfexample.tfrecord-00000-of-00150,ego_speed_mps,1s,widened_val,31,0.9354838709677419,3.240872164187303
shard_id,validation_tfexample.tfrecord-00001-of-00150,ego_speed_mps,1s,widened_val,33,1.0,3.9031866094471983
shard_id,validation_tfexample.tfrecord-00002-of-00150,ego_speed_mps,1s,widened_val,30,0.9666666666666667,3.2540316410563457
shard_id,validation_tfexample.tfrecord-00003-of-00150,ego_speed_mps,1s,widened_val,28,0.8571428571428571,2.9690701097147136
shard_id,validation_tfexample.tfrecord-00004-of-00150,ego_speed_mps,1s,widened_val,26,1.0,3.5276844277889015
shard_id,validation_tfexample.tfrecord-00005-of-00150,ego_speed_mps,1s,widened_val,37,1.0,2.852550800944228
shard_id,validation_tfexample.tfrecord-00006-of-00150,ego_speed_mps,1s,widened_val,29,0.9655172413793104,3.5802056733699827
speed_bin,0_5,ego_speed_mps,1s,base_val,121,0.9752066115702479,1.9701011536029436
speed_bin,10_15,ego_speed_mps,1s,base_val,26,0.8846153846153846,2.9679416032990833
speed_bin,15_20,ego_speed_mps,1s,base_val,20,0.8,3.665841763316416
speed_bin,20_plus,ego_speed_mps,1s,base_val,5,1.0,6.966210699476361
speed_bin,5_10,ego_speed_mps,1s,base_val,42,0.9285714285714286,3.474621240731857
speed_bin,0_5,ego_speed_mps,1s,widened_val,121,0.9917355371900827,2.4307882634663494
speed_bin,10_15,ego_speed_mps,1s,widened_val,26,0.9230769230769231,3.6773795822912687
speed_bin,15_20,ego_speed_mps,1s,widened_val,20,0.85,4.418204665924485
speed_bin,20_plus,ego_speed_mps,1s,widened_val,5,1.0,9.241503736008685
speed_bin,5_10,ego_speed_mps,1s,widened_val,42,0.9523809523809523,4.447818708878792
neighbor_count_bin,0_1,ego_speed_mps,1s,base_val,13,0.9230769230769231,3.109864452583037
neighbor_count_bin,2_3,ego_speed_mps,1s,base_val,37,0.9459459459459459,2.859326536599893
neighbor_count_bin,4_5,ego_speed_mps,1s,base_val,31,0.9354838709677419,2.9872042480266576
neighbor_count_bin,6_plus,ego_speed_mps,1s,base_val,133,0.9398496240601504,2.4872485016509662
neighbor_count_bin,0_1,ego_speed_mps,1s,widened_val,13,1.0,5.014656429790145
neighbor_count_bin,2_3,ego_speed_mps,1s,widened_val,37,0.972972972972973,4.2600104955042895
neighbor_count_bin,4_5,ego_speed_mps,1s,widened_val,31,0.967741935483871,3.906737848388932
neighbor_count_bin,6_plus,ego_speed_mps,1s,widened_val,133,0.9548872180451128,2.76088309450719
object_mix_bin,n1_0,ego_speed_mps,1s,base_val,1,1.0,3.1105684261972275
object_mix_bin,n1_1032,ego_speed_mps,1s,base_val,1,1.0,4.16455381460448
object_mix_bin,n1_1088,ego_speed_mps,1s,base_val,1,1.0,2.7938228393450366
object_mix_bin,n1_1226,ego_speed_mps,1s,base_val,1,1.0,3.684031195675752
object_mix_bin,n1_1873,ego_speed_mps,1s,base_val,1,1.0,2.7304701043493704
object_mix_bin,n1_1895,ego_speed_mps,1s,base_val,1,1.0,3.6860503181811106
object_mix_bin,n1_1929,ego_speed_mps,1s,base_val,1,1.0,2.6020660194074647
object_mix_bin,n1_2017,ego_speed_mps,1s,base_val,1,1.0,3.579581440415735
object_mix_bin,n1_242,ego_speed_mps,1s,base_val,1,1.0,2.709415351175924
object_mix_bin,n1_3574,ego_speed_mps,1s,base_val,1,1.0,4.678192458485801
object_mix_bin,n1_46,ego_speed_mps,1s,base_val,1,1.0,3.4852733804856575
object_mix_bin,n1_694,ego_speed_mps,1s,base_val,1,0.0,2.1356659080934968
object_mix_bin,n1_792,ego_speed_mps,1s,base_val,1,1.0,1.0685466271624207
object_mix_bin,"n2_0,1",ego_speed_mps,1s,base_val,1,1.0,2.2468793726126313
object_mix_bin,"n2_1,329",ego_speed_mps,1s,base_val,1,1.0,2.783022325872059
