target,group_col,group_value,stage,n,coverage,mean_width
ego_speed_mps,shard_id,validation_tfexample.tfrecord-00000-of-00150,baseline,1517,0.9334212261041529,2.853329091094862
ego_speed_mps,shard_id,validation_tfexample.tfrecord-00000-of-00150,adaptive,1517,0.988793671720501,4.052805619869292
ego_speed_mps,shard_id,validation_tfexample.tfrecord-00001-of-00150,baseline,1558,0.9094993581514762,2.7223541966962026
ego_speed_mps,shard_id,validation_tfexample.tfrecord-00001-of-00150,adaptive,1558,0.9801026957637997,3.7785654798049455
ego_speed_mps,shard_id,validation_tfexample.tfrecord-00002-of-00150,baseline,1681,0.9369422962522308,2.576427030651712
ego_speed_mps,shard_id,validation_tfexample.tfrecord-00002-of-00150,adaptive,1681,0.991076740035693,3.662717544269354
ego_speed_mps,shard_id,validation_tfexample.tfrecord-00003-of-00150,baseline,1804,0.9284922394678492,2.4470090164129403
ego_speed_mps,shard_id,validation_tfexample.tfrecord-00003-of-00150,adaptive,1804,0.9811529933481153,3.451601784716062
ego_speed_mps,shard_id,validation_tfexample.tfrecord-00004-of-00150,baseline,820,0.9036585365853659,2.2525696482869773
ego_speed_mps,shard_id,validation_tfexample.tfrecord-00004-of-00150,adaptive,820,0.9695121951219512,3.5005188742213393
ego_speed_mps,shard_id,validation_tfexample.tfrecord-00005-of-00150,baseline,943,0.9374337221633086,2.396080025501523
ego_speed_mps,shard_id,validation_tfexample.tfrecord-00005-of-00150,adaptive,943,0.9862142099681867,3.6869939567897565
ego_speed_mps,shard_id,validation_tfexample.tfrecord-00006-of-00150,baseline,1025,0.9034146341463415,2.9923115243881613
ego_speed_mps,shard_id,validation_tfexample.tfrecord-00006-of-00150,adaptive,1025,0.9873170731707317,4.148854938464761
ego_speed_mps,fault_family,delay_jitter,baseline,1435,0.956794425087108,2.826742839929608
ego_speed_mps,fault_family,delay_jitter,adaptive,1435,0.9923344947735192,4.002206477645603
ego_speed_mps,fault_family,drift_combo,baseline,1640,0.9292682926829269,2.818559876933664
ego_speed_mps,fault_family,drift_combo,adaptive,1640,0.9829268292682927,3.7828092982504002
ego_speed_mps,fault_family,dropout,baseline,1517,0.9433091628213579,2.451483541675979
ego_speed_mps,fault_family,dropout,adaptive,1517,0.982860909690178,3.2202229927171553
ego_speed_mps,fault_family,out_of_order,baseline,1763,0.9336358479863869,2.3616494120306677
ego_speed_mps,fault_family,out_of_order,adaptive,1763,0.9897901304594441,3.3477426789003677
ego_speed_mps,fault_family,spikes,baseline,1476,0.8929539295392954,2.5458414539846927
ego_speed_mps,fault_family,spikes,adaptive,1476,0.994579945799458,4.427360090565109
ego_speed_mps,fault_family,stale,baseline,1517,0.8846407382992749,2.748893511031679
ego_speed_mps,fault_family,stale,adaptive,1517,0.962425840474621,3.7902177873325797
ego_speed_mps,speed_bin,0_5,baseline,6982,0.9458607848753938,2.2841080028992455
ego_speed_mps,speed_bin,0_5,adaptive,6982,0.988685190489831,3.268900290296144
ego_speed_mps,speed_bin,10_15,baseline,721,0.8432732316227461,3.7205861724449547
ego_speed_mps,speed_bin,10_15,adaptive,721,0.957004160887656,5.18742768357514
ego_speed_mps,speed_bin,15_20,baseline,170,0.9352941176470588,6.098430342608013
ego_speed_mps,speed_bin,15_20,adaptive,170,0.9764705882352941,8.341430256815508
