trace_id,scenario_id,controller,fault_family,step_index,observed_margin,true_margin,margin_gap,reliability_w,widening_factor,intervened,fallback_used,certificate_valid,validity_score
nuplan:nuplan-v1_1_train_boston-444cdb40bfb8:2021.10.08.13.47.38_veh-28_00089_00172:scene-0004:273-29-orius,nuplan:nuplan-v1_1_train_boston-444cdb40bfb8:2021.10.08.13.47.38_veh-28_00089_00172:scene-0004:273,orius,stale,29,92.0,-2.9969759896941266,94.99697598969412,1.0,1.524608385827939,False,False,True,0.8525112694107804
nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91-48-orius,nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91,orius,stale,48,92.0,-2.996188641369229,94.99618864136923,1.0,1.250056991669889,False,False,True,0.9667282323743
nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.02.26.27_veh-49_01063_01186:scene-0004:91-29-orius,nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.02.26.27_veh-49_01063_01186:scene-0004:91,orius,stale,29,92.0,-2.992034256838277,94.99203425683828,0.625,1.941825353067703,False,False,True,0.7354672360240236
nuplan:nuplan-v1_1_train_pittsburgh-70bfb1fd12e4:2021.08.17.19.18.39_veh-08_00208_00380:scene-0003:91-25-orius,nuplan:nuplan-v1_1_train_pittsburgh-70bfb1fd12e4:2021.08.17.19.18.39_veh-08_00208_00380:scene-0003:91,orius,delay_jitter,25,92.0,-2.988614058287702,94.98861405828771,0.05,3.0,False,False,True,0.5226771312599356
nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91-47-orius,nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91,orius,stale,47,92.0,-2.987991798833079,94.98799179883308,1.0,1.2514928920908577,False,False,True,0.9651373602500022
nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91-46-orius,nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91,orius,stale,46,92.0,-2.980187912167281,94.98018791216728,1.0,1.251862189028494,False,False,True,0.9648788435955216
nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.02.26.27_veh-49_01063_01186:scene-0004:91-30-orius,nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.02.26.27_veh-49_01063_01186:scene-0004:91,orius,stale,30,92.0,-2.974540350187886,94.97454035018788,0.6136363636363636,2.023834090909091,False,False,True,0.6845454545454546
nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91-45-orius,nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.28.03.23.36_veh-53_00478_01209:scene-0029:91,orius,stale,45,92.0,-2.9710427551092584,94.97104275510925,1.0,1.2621960777687526,False,False,True,0.9544179167732836
nuplan:nuplan-v1_1_train_pittsburgh-70bfb1fd12e4:2021.08.23.14.02.02_veh-42_01042_01130:scene-0002:91-41-orius,nuplan:nuplan-v1_1_train_pittsburgh-70bfb1fd12e4:2021.08.23.14.02.02_veh-42_01042_01130:scene-0002:91,orius,stale,41,92.0,-2.9650880361697673,94.96508803616976,1.0,2.118166398095798,False,False,True,0.7445768280381355
nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.08.03.13.47_veh-51_00061_00298:scene-0010:91-42-orius,nuplan:nuplan-v1_1_train_singapore-fd29dc9fd493:2021.09.08.03.13.47_veh-51_00061_00298:scene-0010:91,orius,drift_combo,42,92.0,-2.960584530243734,94.96058453024374,0.4659090909090909,2.3783296875,True,False,True,0.6623863636363636
