target,horizon_label,split,base_coverage,base_mean_width,widened_coverage,widened_mean_width,mean_widening_factor
ego_speed_mps,1s,val,0.8991243432574431,0.3986076202530811,0.9374646369392428,0.4732226740085141,1.159266066070101
ego_speed_mps,1s,test,0.8978416880891174,0.4067392867195262,0.9345008568980292,0.4805140970223935,1.1567597599411197
ego_speed_mps,2s,val,0.8991782298262159,0.6466911303437738,0.933800350262697,0.7522326792775158,1.159266066070101
ego_speed_mps,2s,test,0.8973864610111397,0.6480955936750212,0.9297611396743788,0.7515348569055933,1.1567597599411197
ego_speed_mps,4s,val,0.9002559612016705,1.5057593327153052,0.9311060218240604,1.7443148925284424,1.159266066070101
ego_speed_mps,4s,test,0.8970383461868038,1.5028344572869663,0.9267352185089974,1.7366566779300496,1.1567597599411197
relative_gap_m,1s,val,0.9070187255826484,63.766162349530745,0.9554896941937222,71.26571198449886,1.159266066070101
relative_gap_m,1s,test,0.9052324335904028,65.09289582172867,0.9553609682947728,72.63216918147,1.1567597599411197
relative_gap_m,2s,val,0.9010373164488752,71.63926098504544,0.9513943149669944,80.50455130803118,1.159266066070101
relative_gap_m,2s,test,0.9015102827763496,72.64664940586435,0.953058054841474,81.49907069997447,1.1567597599411197
relative_gap_m,4s,val,0.8991243432574431,79.13694439729285,0.9513404283982216,89.41078784399011,1.159266066070101
relative_gap_m,4s,test,0.8996090402742074,79.89153381783568,0.9516388174807198,90.08973528380012,1.1567597599411197
