controller,domain,seed,tsvr,oasg,cva,gdq,intervention_rate,audit_completeness,recovery_latency,n_steps
nominal,battery,1000,0.5,1.0,1.0,0.5,0.0,1.0,0.0,12
robust,battery,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
dc3s,battery,1000,0.75,1.0,1.0,0.25,0.0,1.0,0.0,12
naive,battery,1000,0.916667,1.0,1.0,0.083333,0.0,1.0,0.0,12
fallback,battery,1000,0.666667,1.0,1.0,0.333333,0.0,1.0,0.0,12
nominal,navigation,1000,0.0,1.0,1.0,0.041314,0.0,1.0,0.0,12
robust,navigation,1000,0.0,1.0,1.0,0.020657,0.0,1.0,0.0,12
dc3s,navigation,1000,0.0,1.0,1.0,0.066102,0.0,1.0,0.0,12
naive,navigation,1000,0.0,1.0,1.0,0.082627,0.0,1.0,0.0,12
fallback,navigation,1000,0.0,1.0,1.0,0.00631,0.0,1.0,0.0,12
nominal,industrial,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
robust,industrial,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
dc3s,industrial,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
naive,industrial,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
fallback,industrial,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
nominal,healthcare,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
robust,healthcare,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
dc3s,healthcare,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
naive,healthcare,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
fallback,healthcare,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
nominal,aerospace,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
robust,aerospace,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
dc3s,aerospace,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
naive,aerospace,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
fallback,aerospace,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
nominal,vehicle,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
robust,vehicle,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
dc3s,vehicle,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
naive,vehicle,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
fallback,vehicle,1000,0.0,1.0,1.0,1.0,0.0,1.0,0.0,12
