scenario,seed,controller,policy,expected_cost_usd,carbon_kg,cost_delta_pct,mean_reliability_w,mean_delta_mw,mean_interval_width_cert,solver_status_ok_rate,guarantee_checks_passed_rate,adaptive_width_mean,adaptive_width_p95,lambda_mw_used_mean,rac_sensitivity_mean,rac_sensitivity_p95,rac_q_multiplier_mean,rac_q_multiplier_p95,rac_inflation_mean,cvar_eta,cvar_cost,cqr_picp_group_low,cqr_width_group_low,cqr_picp_group_mid,cqr_width_group_mid,cqr_picp_group_high,cqr_width_group_high,mae,rmse,picp_90,picp_95,mean_interval_width,pinball_loss_q05,pinball_loss_q50,pinball_loss_q95,pinball_loss_mean,winkler_score_90,violation_rate,violation_severity,recovery_time,intervention_rate,true_soc_violation_rate,true_soc_violation_steps,true_soc_violation_severity_mean_mwh,true_soc_violation_severity_p95_mwh,true_soc_violation_severity_mean,true_soc_violation_severity_p95,true_soc_min_mwh,true_soc_max_mwh,recovery_time_mean,unsafe_command_rate,bms_trip_rate,grid_import_violation_rate,certificate_presence_rate,certificate_missing_fields,k_quality,k_drift,infl_max
drift_combo,11,aci_conformal,aci_conformal,204987709.00158,1433215730.110738,-0.003918,1.0,0.0,14612.01191,1.0,1.0,14612.01191,14612.066229,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.535714,503.45306,0.285714,503.45306,0.285714,503.45306,3219.734714,5024.750468,0.892857,0.952381,14612.01191,693.650254,1609.867357,384.881807,896.133139,21570.641209,0.0,0.0,0.0,0.011905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.011905,0.0,0.0,0.0,336.0,0.4,0.0,2.0
drift_combo,11,cvar_interval,cvar_interval,204986203.81595,1433202794.893227,-0.004652,1.0,0.0,502.80855,0.845238,1.0,502.80855,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,117358916.690573,117372493.76641,0.535714,503.45306,0.285714,503.45306,0.285714,503.45306,3219.734714,5024.750468,0.369048,0.369048,502.80855,707.518765,1609.867357,2378.851179,1565.412433,61727.398865,0.190476,2.204433,0.0,0.0,0.190476,16.0,0.137777,0.423239,0.137777,0.423239,-0.423239,10000.0,8.5,0.190476,0.0,0.0,0.0,336.0,0.4,0.0,2.0
drift_combo,11,dc3s_ftit,dc3s_ftit,205568840.539165,1436990904.702577,0.279567,0.486564,476.185841,10460.727611,1.0,1.0,10460.727611,16471.595809,0.0,0.036012,0.097702,1.0,1.0,34.296441,0.0,0.0,0.535714,503.45306,0.285714,503.45306,0.285714,503.45306,3219.734714,5024.750468,0.797619,0.940476,10460.727611,625.208086,1609.867357,298.22612,844.433855,18468.684139,0.0,0.0,0.0,0.095238,0.0,0.0,0.0,0.0,0.0,0.0,9999.576761,10000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,2.0
drift_combo,11,dc3s_wrapped,dc3s_wrapped,204989830.537303,1433189313.124915,-0.002883,0.846449,0.0,647.76631,0.97619,0.952381,647.76631,1186.426606,0.0,0.036012,0.097702,1.143497,1.686572,1.09023,0.0,0.0,0.535714,503.45306,0.285714,503.45306,0.285714,503.45306,3219.734714,5024.750468,0.369048,0.369048,647.76631,697.834518,1609.867357,2355.062299,1554.254725,61057.936346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031678,10000.0,0.0,0.047619,0.047619,0.0,1.0,0.0,0.4,0.0,2.0
drift_combo,11,deterministic_lp,deterministic_lp,204995740.578644,1433225536.367,0.0,1.0,0.0,502.80855,1.0,1.0,502.80855,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.535714,503.45306,0.285714,503.45306,0.285714,503.45306,3219.734714,5024.750468,0.369048,0.369048,502.80855,707.518765,1609.867357,2378.851179,1565.412433,61727.398865,0.083333,319.358019,0.142857,0.0,0.083333,7.0,45.622574,213.861313,45.622574,213.861313,-297.834892,10000.0,1.714286,0.083333,0.0,0.0,0.0,336.0,0.4,0.0,2.0
drift_combo,11,robust_fixed_interval,robust_fixed_interval,204986203.81595,1433202794.893227,-0.004652,1.0,0.0,502.80855,0.845238,1.0,502.80855,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.535714,503.45306,0.285714,503.45306,0.285714,503.45306,3219.734714,5024.750468,0.369048,0.369048,502.80855,707.518765,1609.867357,2378.851179,1565.412433,61727.398865,0.190476,2.204433,0.0,0.0,0.190476,16.0,0.137777,0.423239,0.137777,0.423239,-0.423239,10000.0,8.5,0.190476,0.0,0.0,0.0,336.0,0.4,0.0,2.0
drift_combo,11,scenario_mpc,scenario_mpc,204986223.913093,1433202953.987044,-0.004642,1.0,0.0,8078.337157,1.0,1.0,8078.337157,9170.203971,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.535714,503.45306,0.285714,503.45306,0.285714,503.45306,3219.734714,5024.750468,0.642857,0.702381,8078.337157,598.379566,1609.867357,888.668005,1032.304976,29740.951425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,336.0,0.4,0.0,2.0
drift_combo,11,scenario_robust,scenario_robust,204986223.913093,1433202953.987044,-0.004642,1.0,0.0,18788.993815,1.0,1.0,18788.993815,25110.893754,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.535714,503.45306,0.285714,503.45306,0.285714,503.45306,3219.734714,5024.750468,0.952381,0.97619,18788.993815,728.864505,1783.927343,419.72012,977.50399,22971.692512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,336.0,0.4,0.0,2.0
drift_combo,22,aci_conformal,aci_conformal,204553248.362594,1436760023.853727,0.013347,1.0,0.0,16104.114903,1.0,1.0,16104.114903,16104.158983,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.357143,503.45306,0.285714,503.45306,0.464286,503.45306,3300.870303,5703.169243,0.892857,0.97619,16104.114903,878.07693,1650.435152,390.021019,972.844367,25361.958984,0.0,0.0,0.0,0.02381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10191.586839,0.0,0.02381,0.0,0.0,0.0,336.0,0.4,0.0,2.0
drift_combo,22,cvar_interval,cvar_interval,204519615.463316,1436396093.695541,-0.003097,1.0,0.0,502.80855,0.27381,1.0,502.80855,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,178494494.632104,178512386.242933,0.357143,503.45306,0.285714,503.45306,0.464286,503.45306,3300.870303,5703.169243,0.369048,0.369048,502.80855,1010.159758,1650.435152,2156.885245,1605.826718,63340.900072,0.75,24.955848,0.0,0.0,0.75,63.0,0.396125,0.396125,0.396125,0.396125,-0.396125,10000.0,32.0,0.75,0.0,0.0,0.0,336.0,0.4,0.0,2.0
drift_combo,22,dc3s_ftit,dc3s_ftit,204967145.409275,1439364397.750537,0.215716,0.485718,536.500628,10614.364013,1.0,1.0,10614.364013,20951.774965,0.0,0.046959,0.266564,1.0,1.0,34.800152,0.0,0.0,0.357143,503.45306,0.285714,503.45306,0.464286,503.45306,3300.870303,5703.169243,0.857143,0.940476,10614.364013,774.905769,1650.435152,202.582706,875.974542,19549.769506,0.0,0.0,0.0,0.154762,0.0,0.0,0.0,0.0,0.0,0.0,7650.02888,10000.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.0,2.0
drift_combo,22,dc3s_wrapped,dc3s_wrapped,204520929.908716,1436443531.688156,-0.002455,0.837953,0.0,661.809671,0.97619,0.97619,661.809671,1196.556221,0.0,0.046959,0.266564,1.160366,1.693871,1.102365,0.0,0.0,0.357143,503.45306,0.285714,503.45306,0.464286,503.45306,3300.870303,5703.169243,0.369048,0.369048,661.809671,997.104586,1650.435152,2116.105288,1587.881675,62264.197488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06476,10000.0,0.0,0.02381,0.02381,0.0,1.0,0.0,0.4,0.0,2.0
drift_combo,22,deterministic_lp,deterministic_lp,204525950.547868,1436423500.249427,0.0,1.0,0.0,502.80855,1.0,1.0,502.80855,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.357143,503.45306,0.285714,503.45306,0.464286,503.45306,3300.870303,5703.169243,0.369048,0.369048,502.80855,1010.159758,1650.435152,2156.885245,1605.826718,63340.900072,0.095238,332.169378,0.212121,0.0,0.095238,8.0,41.521172,209.16889,41.521172,209.16889,-311.482242,10191.869412,4.5,0.095238,0.0,0.0,0.0,336.0,0.4,0.0,2.0
drift_combo,22,robust_fixed_interval,robust_fixed_interval,204519615.463316,1436396093.695541,-0.003097,1.0,0.0,502.80855,0.27381,1.0,502.80855,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.357143,503.45306,0.285714,503.45306,0.464286,503.45306,3300.870303,5703.169243,0.369048,0.369048,502.80855,1010.159758,1650.435152,2156.885245,1605.826718,63340.900072,0.75,24.955848,0.0,0.0,0.75,63.0,0.396125,0.396125,0.396125,0.396125,-0.396125,10000.0,32.0,0.75,0.0,0.0,0.0,336.0,0.4,0.0,2.0
drift_combo,22,scenario_mpc,scenario_mpc,204519638.632887,1436396247.869773,-0.003086,1.0,0.0,8182.430017,1.0,1.0,8182.430017,9253.593224,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.357143,503.45306,0.285714,503.45306,0.464286,503.45306,3300.870303,5703.169243,0.654762,0.72619,8182.430017,763.474889,1650.435152,859.26269,1091.057577,32454.751579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,336.0,0.4,0.0,2.0
drift_combo,22,scenario_robust,scenario_robust,204519638.632887,1436396247.869773,-0.003086,1.0,0.0,21720.40574,1.0,1.0,21720.40574,27231.660913,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.357143,503.45306,0.285714,503.45306,0.464286,503.45306,3300.870303,5703.169243,0.964286,0.97619,21720.40574,975.740923,1931.391214,480.682338,1129.271492,29128.465224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,336.0,0.4,0.0,2.0
dropout,11,aci_conformal,aci_conformal,192714275.569354,1347334608.966105,-0.003919,1.0,0.0,99.968667,1.0,1.0,99.968667,99.9957,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.928571,503.45306,0.928571,503.45306,0.928571,503.45306,101.520634,387.051247,0.928571,0.928571,99.968667,58.110798,50.760317,44.8384,51.236505,2058.983956,0.0,0.0,0.0,0.011905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.011905,0.0,0.0,0.0,336.0,0.4,0.0,2.0
dropout,11,cvar_interval,cvar_interval,192712774.195552,1347321678.405873,-0.004698,1.0,0.0,502.80855,0.952381,1.0,502.80855,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,99907071.478401,99919612.392637,0.928571,503.45306,0.928571,503.45306,0.928571,503.45306,101.520634,387.051247,0.928571,0.928571,502.80855,58.574853,50.760317,50.105741,53.14697,2173.611892,0.059524,1.11457,0.0,0.0,0.059524,5.0,0.222914,0.368111,0.222914,0.368111,-0.41651,10000.0,3.0,0.059524,0.0,0.0,0.0,336.0,0.4,0.0,2.0
dropout,11,dc3s_ftit,dc3s_ftit,192803192.850048,1347904720.160629,0.042219,0.946008,120.274464,982.383123,1.0,1.0,982.383123,1459.110806,0.0,0.023568,0.053709,1.0,1.0,3.220832,0.0,0.0,0.928571,503.45306,0.928571,503.45306,0.928571,503.45306,101.520634,387.051247,0.928571,0.928571,982.383123,49.861254,50.760317,51.054753,50.558775,2018.320146,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,1546.02099,10000.0,0.0,0.035714,0.0,0.0,1.0,0.0,0.4,0.0,2.0
dropout,11,dc3s_wrapped,dc3s_wrapped,192712802.739079,1347321912.564181,-0.004683,0.999693,0.0,524.653343,0.964286,0.964286,524.653343,553.291096,0.0,0.023568,0.053709,1.023783,1.053709,1.018977,0.0,0.0,0.928571,503.45306,0.928571,503.45306,0.928571,503.45306,101.520634,387.051247,0.928571,0.928571,524.653343,58.143735,50.760317,49.945373,52.949808,2161.782158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.211451,10000.0,0.0,0.035714,0.035714,0.0,1.0,0.0,0.4,0.0,2.0
dropout,11,deterministic_lp,deterministic_lp,192721827.528813,1347343139.035425,0.0,1.0,0.0,502.80855,1.0,1.0,502.80855,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.928571,503.45306,0.928571,503.45306,0.928571,503.45306,101.520634,387.051247,0.928571,0.928571,502.80855,58.574853,50.760317,50.105741,53.14697,2173.611892,0.107143,318.360388,0.0,0.0,0.107143,9.0,35.373376,185.680061,35.373376,185.680061,-297.506328,10000.0,2.777778,0.107143,0.0,0.0,0.0,336.0,0.4,0.0,2.0
dropout,11,robust_fixed_interval,robust_fixed_interval,192712774.195552,1347321678.405873,-0.004698,1.0,0.0,502.80855,0.952381,1.0,502.80855,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.928571,503.45306,0.928571,503.45306,0.928571,503.45306,101.520634,387.051247,0.928571,0.928571,502.80855,58.574853,50.760317,50.105741,53.14697,2173.611892,0.059524,1.11457,0.0,0.0,0.059524,5.0,0.222914,0.368111,0.222914,0.368111,-0.41651,10000.0,3.0,0.059524,0.0,0.0,0.0,336.0,0.4,0.0,2.0
dropout,11,scenario_mpc,scenario_mpc,192712790.480867,1347321832.842412,-0.004689,1.0,0.0,8000.547741,1.0,1.0,8000.547741,9139.027046,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.928571,503.45306,0.928571,503.45306,0.928571,503.45306,101.520634,387.051247,1.0,1.0,8000.547741,199.210216,50.760317,200.817171,150.262568,8000.547741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,336.0,0.4,0.0,2.0
