scenario,controller,fault_type,true_soc_violation_rate_at_fault,fault_count
delay_jitter,aci_conformal,covariate_drift,0.0,0.0
delay_jitter,aci_conformal,delay_jitter,0.0,50.0
delay_jitter,aci_conformal,dropout,0.0,0.0
delay_jitter,aci_conformal,label_drift,0.0,0.0
delay_jitter,aci_conformal,out_of_order,0.0,0.0
delay_jitter,aci_conformal,spikes,0.0,0.0
delay_jitter,aci_conformal,stale_sensor,0.0,0.0
delay_jitter,cvar_interval,covariate_drift,0.0,0.0
delay_jitter,cvar_interval,delay_jitter,0.26,50.0
delay_jitter,cvar_interval,dropout,0.0,0.0
delay_jitter,cvar_interval,label_drift,0.0,0.0
delay_jitter,cvar_interval,out_of_order,0.0,0.0
delay_jitter,cvar_interval,spikes,0.0,0.0
delay_jitter,cvar_interval,stale_sensor,0.0,0.0
delay_jitter,dc3s_ftit,covariate_drift,0.0,0.0
delay_jitter,dc3s_ftit,delay_jitter,0.0,50.0
delay_jitter,dc3s_ftit,dropout,0.0,0.0
delay_jitter,dc3s_ftit,label_drift,0.0,0.0
delay_jitter,dc3s_ftit,out_of_order,0.0,0.0
delay_jitter,dc3s_ftit,spikes,0.0,0.0
delay_jitter,dc3s_ftit,stale_sensor,0.0,0.0
delay_jitter,dc3s_wrapped,covariate_drift,0.0,0.0
delay_jitter,dc3s_wrapped,delay_jitter,0.0,50.0
delay_jitter,dc3s_wrapped,dropout,0.0,0.0
delay_jitter,dc3s_wrapped,label_drift,0.0,0.0
delay_jitter,dc3s_wrapped,out_of_order,0.0,0.0
delay_jitter,dc3s_wrapped,spikes,0.0,0.0
delay_jitter,dc3s_wrapped,stale_sensor,0.0,0.0
delay_jitter,deterministic_lp,covariate_drift,0.0,0.0
delay_jitter,deterministic_lp,delay_jitter,0.044,50.0
delay_jitter,deterministic_lp,dropout,0.0,0.0
delay_jitter,deterministic_lp,label_drift,0.0,0.0
delay_jitter,deterministic_lp,out_of_order,0.0,0.0
delay_jitter,deterministic_lp,spikes,0.0,0.0
delay_jitter,deterministic_lp,stale_sensor,0.0,0.0
delay_jitter,robust_fixed_interval,covariate_drift,0.0,0.0
delay_jitter,robust_fixed_interval,delay_jitter,0.26,50.0
delay_jitter,robust_fixed_interval,dropout,0.0,0.0
delay_jitter,robust_fixed_interval,label_drift,0.0,0.0
delay_jitter,robust_fixed_interval,out_of_order,0.0,0.0
delay_jitter,robust_fixed_interval,spikes,0.0,0.0
delay_jitter,robust_fixed_interval,stale_sensor,0.0,0.0
delay_jitter,scenario_mpc,covariate_drift,0.0,0.0
delay_jitter,scenario_mpc,delay_jitter,0.0,50.0
delay_jitter,scenario_mpc,dropout,0.0,0.0
delay_jitter,scenario_mpc,label_drift,0.0,0.0
delay_jitter,scenario_mpc,out_of_order,0.0,0.0
delay_jitter,scenario_mpc,spikes,0.0,0.0
delay_jitter,scenario_mpc,stale_sensor,0.0,0.0
delay_jitter,scenario_robust,covariate_drift,0.0,0.0
delay_jitter,scenario_robust,delay_jitter,0.0,50.0
delay_jitter,scenario_robust,dropout,0.0,0.0
delay_jitter,scenario_robust,label_drift,0.0,0.0
delay_jitter,scenario_robust,out_of_order,0.0,0.0
delay_jitter,scenario_robust,spikes,0.0,0.0
delay_jitter,scenario_robust,stale_sensor,0.0,0.0
drift_combo,aci_conformal,covariate_drift,0.0,84.0
drift_combo,aci_conformal,delay_jitter,0.0,50.0
drift_combo,aci_conformal,dropout,0.0,13.0
drift_combo,aci_conformal,label_drift,0.0,84.0
drift_combo,aci_conformal,out_of_order,0.0,16.0
drift_combo,aci_conformal,spikes,0.0,8.0
drift_combo,aci_conformal,stale_sensor,0.0,8.0
drift_combo,cvar_interval,covariate_drift,0.640476,84.0
drift_combo,cvar_interval,delay_jitter,0.352,50.0
drift_combo,cvar_interval,dropout,0.261538,13.0
drift_combo,cvar_interval,label_drift,0.640476,84.0
drift_combo,cvar_interval,out_of_order,0.2625,16.0
drift_combo,cvar_interval,spikes,0.35,8.0
drift_combo,cvar_interval,stale_sensor,0.3,8.0
drift_combo,dc3s_ftit,covariate_drift,0.0,84.0
drift_combo,dc3s_ftit,delay_jitter,0.0,50.0
drift_combo,dc3s_ftit,dropout,0.0,13.0
drift_combo,dc3s_ftit,label_drift,0.0,84.0
drift_combo,dc3s_ftit,out_of_order,0.0,16.0
drift_combo,dc3s_ftit,spikes,0.0,8.0
drift_combo,dc3s_ftit,stale_sensor,0.0,8.0
drift_combo,dc3s_wrapped,covariate_drift,0.0,84.0
drift_combo,dc3s_wrapped,delay_jitter,0.0,50.0
drift_combo,dc3s_wrapped,dropout,0.0,13.0
drift_combo,dc3s_wrapped,label_drift,0.0,84.0
drift_combo,dc3s_wrapped,out_of_order,0.0,16.0
drift_combo,dc3s_wrapped,spikes,0.0,8.0
drift_combo,dc3s_wrapped,stale_sensor,0.0,8.0
drift_combo,deterministic_lp,covariate_drift,0.073809,84.0
drift_combo,deterministic_lp,delay_jitter,0.048,50.0
drift_combo,deterministic_lp,dropout,0.061538,13.0
drift_combo,deterministic_lp,label_drift,0.073809,84.0
drift_combo,deterministic_lp,out_of_order,0.025,16.0
drift_combo,deterministic_lp,spikes,0.025,8.0
drift_combo,deterministic_lp,stale_sensor,0.0,8.0
drift_combo,robust_fixed_interval,covariate_drift,0.640476,84.0
drift_combo,robust_fixed_interval,delay_jitter,0.352,50.0
drift_combo,robust_fixed_interval,dropout,0.261538,13.0
drift_combo,robust_fixed_interval,label_drift,0.640476,84.0
drift_combo,robust_fixed_interval,out_of_order,0.2625,16.0
drift_combo,robust_fixed_interval,spikes,0.35,8.0
drift_combo,robust_fixed_interval,stale_sensor,0.3,8.0
drift_combo,scenario_mpc,covariate_drift,0.0,84.0
drift_combo,scenario_mpc,delay_jitter,0.0,50.0
drift_combo,scenario_mpc,dropout,0.0,13.0
drift_combo,scenario_mpc,label_drift,0.0,84.0
drift_combo,scenario_mpc,out_of_order,0.0,16.0
drift_combo,scenario_mpc,spikes,0.0,8.0
drift_combo,scenario_mpc,stale_sensor,0.0,8.0
drift_combo,scenario_robust,covariate_drift,0.0,84.0
drift_combo,scenario_robust,delay_jitter,0.0,50.0
drift_combo,scenario_robust,dropout,0.0,13.0
drift_combo,scenario_robust,label_drift,0.0,84.0
drift_combo,scenario_robust,out_of_order,0.0,16.0
drift_combo,scenario_robust,spikes,0.0,8.0
drift_combo,scenario_robust,stale_sensor,0.0,8.0
dropout,aci_conformal,covariate_drift,0.0,0.0
dropout,aci_conformal,delay_jitter,0.0,0.0
dropout,aci_conformal,dropout,0.0,13.0
dropout,aci_conformal,label_drift,0.0,0.0
dropout,aci_conformal,out_of_order,0.0,0.0
dropout,aci_conformal,spikes,0.0,0.0
dropout,aci_conformal,stale_sensor,0.0,0.0
dropout,cvar_interval,covariate_drift,0.0,0.0
dropout,cvar_interval,delay_jitter,0.0,0.0
dropout,cvar_interval,dropout,0.338462,13.0
dropout,cvar_interval,label_drift,0.0,0.0
dropout,cvar_interval,out_of_order,0.0,0.0
dropout,cvar_interval,spikes,0.0,0.0
dropout,cvar_interval,stale_sensor,0.0,0.0
dropout,dc3s_ftit,covariate_drift,0.0,0.0
dropout,dc3s_ftit,delay_jitter,0.0,0.0
