policy,blackout_length,initial_soc_pct,sigma_d,tau_t,violations_total,violation_rate
freeze_last_action,1,0.2,0.5,12,0,0.0
immediate_shutdown,1,0.2,0.5,12,0,0.0
dc3s_no_temporal,1,0.2,0.5,12,0,0.0
half_life_aware,1,0.2,0.5,12,0,0.0
freeze_last_action,1,0.2,1.0,12,0,0.0
immediate_shutdown,1,0.2,1.0,12,0,0.0
dc3s_no_temporal,1,0.2,1.0,12,0,0.0
half_life_aware,1,0.2,1.0,12,0,0.0
freeze_last_action,1,0.2,2.0,11,0,0.0
immediate_shutdown,1,0.2,2.0,11,0,0.0
dc3s_no_temporal,1,0.2,2.0,11,0,0.0
half_life_aware,1,0.2,2.0,11,0,0.0
freeze_last_action,1,0.2,3.0,10,0,0.0
immediate_shutdown,1,0.2,3.0,10,0,0.0
dc3s_no_temporal,1,0.2,3.0,10,0,0.0
half_life_aware,1,0.2,3.0,10,0,0.0
freeze_last_action,1,0.4,0.5,9,0,0.0
immediate_shutdown,1,0.4,0.5,9,0,0.0
dc3s_no_temporal,1,0.4,0.5,9,0,0.0
half_life_aware,1,0.4,0.5,9,0,0.0
freeze_last_action,1,0.4,1.0,9,0,0.0
immediate_shutdown,1,0.4,1.0,9,0,0.0
dc3s_no_temporal,1,0.4,1.0,9,0,0.0
half_life_aware,1,0.4,1.0,9,0,0.0
freeze_last_action,1,0.4,2.0,8,0,0.0
immediate_shutdown,1,0.4,2.0,8,0,0.0
dc3s_no_temporal,1,0.4,2.0,8,0,0.0
half_life_aware,1,0.4,2.0,8,0,0.0
freeze_last_action,1,0.4,3.0,7,0,0.0
immediate_shutdown,1,0.4,3.0,7,0,0.0
dc3s_no_temporal,1,0.4,3.0,7,0,0.0
half_life_aware,1,0.4,3.0,7,0,0.0
freeze_last_action,1,0.5,0.5,7,0,0.0
immediate_shutdown,1,0.5,0.5,7,0,0.0
dc3s_no_temporal,1,0.5,0.5,7,0,0.0
half_life_aware,1,0.5,0.5,7,0,0.0
freeze_last_action,1,0.5,1.0,7,0,0.0
immediate_shutdown,1,0.5,1.0,7,0,0.0
dc3s_no_temporal,1,0.5,1.0,7,0,0.0
half_life_aware,1,0.5,1.0,7,0,0.0
freeze_last_action,1,0.5,2.0,6,0,0.0
immediate_shutdown,1,0.5,2.0,6,0,0.0
dc3s_no_temporal,1,0.5,2.0,6,0,0.0
half_life_aware,1,0.5,2.0,6,0,0.0
freeze_last_action,1,0.5,3.0,6,0,0.0
immediate_shutdown,1,0.5,3.0,6,0,0.0
dc3s_no_temporal,1,0.5,3.0,6,0,0.0
half_life_aware,1,0.5,3.0,6,0,0.0
