step,tau_t,remaining_certified_time,expiration_trigger_reason,renewal_trigger_reason
0,7,7,no_failure,no_failure
1,7,6,no_failure,no_failure
2,7,5,no_failure,tau_t_remaining_le_threshold
3,7,4,no_failure,tau_t_remaining_le_threshold
4,7,3,no_failure,tau_t_remaining_le_threshold
5,7,2,no_failure,tau_t_remaining_le_threshold
6,7,1,no_failure,tau_t_remaining_le_threshold
7,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
8,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
9,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
10,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
11,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
12,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
13,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
14,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
15,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
16,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
17,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
18,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
19,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
20,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
21,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
22,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
23,7,0,tau_t_exhausted,tau_t_remaining_le_threshold
