w,gamma
0.0,1.6390974913250091
0.01,1.632706516411759
0.02,1.626315541498509
0.03,1.6199245665852589
0.04,1.6135335916720086
0.05,1.6071426167587588
0.06,1.6007516418455086
0.07,1.5943606669322583
0.08,1.5879696920190085
0.09,1.5815787171057583
0.1,1.5751877421925082
0.11,1.5687967672792582
0.12,1.562405792366008
0.13,1.556014817452758
0.14,1.549623842539508
0.15,1.5432328676262577
0.16,1.5368418927130076
0.17,1.5304509177997576
0.18,1.5240599428865076
0.19,1.5176689679732576
0.2,1.5112779930600073
0.21,1.5048870181467573
0.22,1.4984960432335073
0.23,1.492105068320257
0.24,1.485714093407007
0.25,1.479323118493757
0.26,1.4729321435805067
0.27,1.4665411686672567
0.28,1.4601501937540067
0.29,1.4537592188407564
0.3,1.4473682439275064
0.31,1.4409772690142564
0.32,1.4345862941010061
0.33,1.428195319187756
0.34,1.421804344274506
0.35000000000000003,1.4154133693612558
0.36,1.4090223944480058
0.37,1.4026314195347558
0.38,1.3962404446215055
0.39,1.3898494697082555
0.4,1.3834584947950055
0.41000000000000003,1.3770675198817552
0.42,1.3706765449685054
0.43,1.3642855700552552
0.44,1.3578945951420052
0.45,1.3515036202287551
0.46,1.345112645315505
0.47000000000000003,1.3387216704022549
0.48,1.3323306954890048
0.49,1.3259397205757546
0.5,1.3195487456625046
0.51,1.3131577707492545
0.52,1.3067667958360043
0.53,1.3003758209227543
0.54,1.2939848460095043
0.55,1.287593871096254
0.56,1.281202896183004
0.5700000000000001,1.274811921269754
0.58,1.268420946356504
0.59,1.262029971443254
0.6,1.2556389965300037
0.61,1.2492480216167536
0.62,1.2428570467035034
0.63,1.2364660717902534
0.64,1.2300750968770033
0.65,1.223684121963753
0.66,1.217293147050503
0.67,1.210902172137253
0.68,1.204511197224003
0.6900000000000001,1.1981202223107528
0.7000000000000001,1.1917292473975027
0.71,1.1853382724842527
0.72,1.1789472975710025
0.73,1.1725563226577524
0.74,1.1661653477445024
0.75,1.1597743728312522
0.76,1.1533833979180022
0.77,1.1469924230047521
0.78,1.1406014480915019
0.79,1.1342104731782519
0.8,1.1278194982650018
0.81,1.1214285233517518
0.8200000000000001,1.1150375484385016
0.8300000000000001,1.1086465735252515
0.84,1.1022555986120015
0.85,1.0958646236987515
0.86,1.0894736487855012
0.87,1.0830826738722512
0.88,1.0766916989590012
0.89,1.070300724045751
0.9,1.063909749132501
0.91,1.057518774219251
0.92,1.0511277993060006
0.93,1.0447368243927506
0.9400000000000001,1.0383458494795006
0.9500000000000001,1.0319548745662503
0.96,1.0255638996530003
0.97,1.0191729247397503
0.98,1.0127819498265003
0.99,1.00639097491325
1.0,1.0
