w,gamma
0.0,1.8952636421153564
0.01,1.886311005694203
0.02,1.8773583692730493
0.03,1.8684057328518957
0.04,1.8594530964307423
0.05,1.8505004600095885
0.06,1.841547823588435
0.07,1.8325951871672814
0.08,1.823642550746128
0.09,1.8146899143249744
0.1,1.805737277903821
0.11,1.7967846414826671
0.12,1.7878320050615137
0.13,1.7788793686403601
0.14,1.7699267322192065
0.15,1.760974095798053
0.16,1.7520214593768995
0.17,1.7430688229557458
0.18,1.7341161865345924
0.19,1.7251635501134388
0.2,1.7162109136922852
0.21,1.7072582772711318
0.22,1.698305640849978
0.23,1.6893530044288245
0.24,1.680400368007671
0.25,1.6714477315865173
0.26,1.6624950951653639
0.27,1.6535424587442102
0.28,1.6445898223230566
0.29,1.6356371859019032
0.3,1.6266845494807494
0.31,1.617731913059596
0.32,1.6087792766384423
0.33,1.5998266402172887
0.34,1.5908740037961353
0.35000000000000003,1.5819213673749817
0.36,1.572968730953828
0.37,1.5640160945326746
0.38,1.555063458111521
0.39,1.5461108216903674
0.4,1.537158185269214
0.41000000000000003,1.5282055488480601
0.42,1.5192529124269067
0.43,1.5103002760057533
0.44,1.5013476395845997
0.45,1.492395003163446
0.46,1.4834423667422925
0.47000000000000003,1.4744897303211388
0.48,1.4655370938999854
0.49,1.4565844574788318
0.5,1.4476318210576782
0.51,1.4386791846365248
0.52,1.4297265482153712
0.53,1.4207739117942175
0.54,1.411821275373064
0.55,1.4028686389519103
0.56,1.3939160025307569
0.5700000000000001,1.3849633661096032
0.58,1.3760107296884496
0.59,1.3670580932672962
0.6,1.3581054568461426
0.61,1.349152820424989
0.62,1.3402001840038356
0.63,1.331247547582682
0.64,1.3222949111615283
0.65,1.3133422747403747
0.66,1.304389638319221
0.67,1.2954370018980677
0.68,1.286484365476914
0.6900000000000001,1.2775317290557604
0.7000000000000001,1.268579092634607
0.71,1.2596264562134534
0.72,1.2506738197922997
0.73,1.2417211833711463
0.74,1.2327685469499927
0.75,1.223815910528839
0.76,1.2148632741076855
0.77,1.205910637686532
0.78,1.1969580012653784
0.79,1.1880053648442248
0.8,1.1790527284230712
0.81,1.1701000920019178
0.8200000000000001,1.1611474555807642
0.8300000000000001,1.1521948191596105
0.84,1.1432421827384571
0.85,1.1342895463173035
0.86,1.1253369098961499
0.87,1.1163842734749962
0.88,1.1074316370538428
0.89,1.0984790006326892
0.9,1.0895263642115356
0.91,1.080573727790382
0.92,1.0716210913692286
0.93,1.062668454948075
0.9400000000000001,1.0537158185269213
0.9500000000000001,1.0447631821057677
0.96,1.0358105456846143
0.97,1.0268579092634607
0.98,1.0179052728423073
0.99,1.0089526364211536
1.0,1.0
