w,gamma
0.0,1.8501337070688428
0.01,1.8416323699981545
0.02,1.833131032927466
0.03,1.8246296958567774
0.04,1.8161283587860892
0.05,1.8076270217154007
0.06,1.7991256846447121
0.07,1.7906243475740238
0.08,1.7821230105033354
0.09,1.7736216734326469
0.1,1.7651203363619585
0.11,1.7566189992912702
0.12,1.7481176622205816
0.13,1.7396163251498933
0.14,1.731114988079205
0.15,1.7226136510085164
0.16,1.7141123139378278
0.17,1.7056109768671395
0.18,1.6971096397964511
0.19,1.6886083027257628
0.2,1.6801069656550744
0.21,1.6716056285843859
0.22,1.6631042915136973
0.23,1.654602954443009
0.24,1.6461016173723206
0.25,1.637600280301632
0.26,1.6290989432309437
0.27,1.6205976061602554
0.28,1.6120962690895668
0.29,1.6035949320188783
0.3,1.59509359494819
0.31,1.5865922578775016
0.32,1.578090920806813
0.33,1.5695895837361247
0.34,1.5610882466654363
0.35000000000000003,1.5525869095947478
0.36,1.5440855725240594
0.37,1.535584235453371
0.38,1.5270828983826825
0.39,1.518581561311994
0.4,1.5100802242413058
0.41000000000000003,1.5015788871706173
0.42,1.493077550099929
0.43,1.4845762130292406
0.44,1.476074875958552
0.45,1.4675735388878635
0.46,1.4590722018171751
0.47000000000000003,1.4505708647464868
0.48,1.4420695276757982
0.49,1.4335681906051099
0.5,1.4250668535344215
0.51,1.416565516463733
0.52,1.4080641793930446
0.53,1.399562842322356
0.54,1.3910615052516677
0.55,1.3825601681809792
0.56,1.3740588311102908
0.5700000000000001,1.3655574940396025
0.58,1.357056156968914
0.59,1.3485548198982256
0.6,1.3400534828275372
0.61,1.3315521457568487
0.62,1.3230508086861603
0.63,1.314549471615472
0.64,1.3060481345447834
0.65,1.2975467974740948
0.66,1.2890454604034065
0.67,1.2805441233327182
0.68,1.2720427862620296
0.6900000000000001,1.2635414491913413
0.7000000000000001,1.255040112120653
0.71,1.2465387750499644
0.72,1.238037437979276
0.73,1.2295361009085877
0.74,1.221034763837899
0.75,1.2125334267672108
0.76,1.2040320896965222
0.77,1.1955307526258339
0.78,1.1870294155551453
0.79,1.178528078484457
0.8,1.1700267414137686
0.81,1.16152540434308
0.8200000000000001,1.1530240672723917
0.8300000000000001,1.1445227302017031
0.84,1.1360213931310148
0.85,1.1275200560603265
0.86,1.1190187189896381
0.87,1.1105173819189496
0.88,1.1020160448482612
0.89,1.0935147077775726
0.9,1.0850133707068843
0.91,1.0765120336361957
0.92,1.0680106965655074
0.93,1.059509359494819
0.9400000000000001,1.0510080224241305
0.9500000000000001,1.0425066853534422
0.96,1.0340053482827538
0.97,1.0255040112120652
0.98,1.017002674141377
0.99,1.0085013370706883
1.0,1.0
