w,h_eff_k0.5
0.0,4.660896301269531
0.01,4.665896301269531
0.02,4.670896301269531
0.03,4.675896301269531
0.04,4.680896301269531
0.05,4.685896301269532
0.06,4.6908963012695315
0.07,4.695896301269531
0.08,4.700896301269531
0.09,4.705896301269531
0.1,4.710896301269531
0.11,4.715896301269531
0.12,4.720896301269531
0.13,4.725896301269532
0.14,4.7308963012695315
0.15,4.735896301269531
0.16,4.740896301269531
0.17,4.745896301269531
0.18,4.750896301269531
0.19,4.755896301269531
0.2,4.760896301269531
0.21,4.765896301269532
0.22,4.770896301269532
0.23,4.7758963012695315
0.24,4.780896301269531
0.25,4.785896301269531
0.26,4.790896301269531
0.27,4.795896301269531
0.28,4.800896301269531
0.29,4.805896301269531
0.3,4.810896301269532
0.31,4.8158963012695315
0.32,4.820896301269531
0.33,4.825896301269531
0.34,4.830896301269531
0.35000000000000003,4.835896301269531
0.36,4.840896301269531
0.37,4.845896301269531
0.38,4.850896301269532
0.39,4.8558963012695315
0.4,4.860896301269531
0.41000000000000003,4.865896301269531
0.42,4.870896301269531
0.43,4.875896301269531
0.44,4.880896301269531
0.45,4.885896301269531
0.46,4.890896301269532
0.47000000000000003,4.895896301269532
0.48,4.9008963012695315
0.49,4.905896301269531
0.5,4.910896301269531
0.51,4.915896301269531
0.52,4.920896301269531
0.53,4.925896301269531
0.54,4.930896301269531
0.55,4.935896301269532
0.56,4.9408963012695315
0.5700000000000001,4.945896301269531
0.58,4.950896301269531
0.59,4.955896301269531
0.6,4.960896301269531
0.61,4.965896301269531
0.62,4.970896301269531
0.63,4.975896301269532
0.64,4.9808963012695315
0.65,4.985896301269531
0.66,4.990896301269531
0.67,4.995896301269531
0.68,5.000896301269531
0.6900000000000001,5.005896301269531
0.7000000000000001,5.010896301269531
0.71,5.015896301269532
0.72,5.020896301269532
0.73,5.0258963012695315
0.74,5.030896301269531
0.75,5.035896301269531
0.76,5.040896301269531
0.77,5.045896301269531
0.78,5.050896301269531
0.79,5.055896301269531
0.8,5.060896301269532
0.81,5.0658963012695315
0.8200000000000001,5.070896301269531
0.8300000000000001,5.075896301269531
0.84,5.080896301269531
0.85,5.085896301269531
0.86,5.090896301269531
0.87,5.095896301269531
0.88,5.100896301269532
0.89,5.1058963012695315
0.9,5.110896301269531
0.91,5.115896301269531
0.92,5.120896301269531
0.93,5.125896301269531
0.9400000000000001,5.130896301269531
0.9500000000000001,5.135896301269531
0.96,5.140896301269532
0.97,5.145896301269532
0.98,5.1508963012695315
0.99,5.155896301269531
1.0,5.160896301269531
