w,h_eff_k0.5
0.0,-0.23359489027686942
0.01,-0.2285948902768694
0.02,-0.2235948902768694
0.03,-0.2185948902768694
0.04,-0.2135948902768694
0.05,-0.2085948902768694
0.06,-0.2035948902768694
0.07,-0.19859489027686938
0.08,-0.19359489027686944
0.09,-0.18859489027686943
0.1,-0.18359489027686943
0.11,-0.17859489027686942
0.12,-0.17359489027686942
0.13,-0.1685948902768694
0.14,-0.1635948902768694
0.15,-0.1585948902768694
0.16,-0.1535948902768694
0.17,-0.1485948902768694
0.18,-0.14359489027686945
0.19,-0.13859489027686944
0.2,-0.13359489027686944
0.21,-0.12859489027686943
0.22,-0.12359489027686943
0.23,-0.11859489027686942
0.24,-0.11359489027686942
0.25,-0.10859489027686942
0.26,-0.10359489027686941
0.27,-0.0985948902768694
0.28,-0.0935948902768694
0.29,-0.0885948902768694
0.3,-0.0835948902768694
0.31,-0.07859489027686939
0.32,-0.07359489027686938
0.33,-0.06859489027686938
0.34,-0.06359489027686938
0.35000000000000003,-0.05859489027686937
0.36,-0.05359489027686942
0.37,-0.04859489027686942
0.38,-0.043594890276869414
0.39,-0.03859489027686941
0.4,-0.033594890276869405
0.41000000000000003,-0.0285948902768694
0.42,-0.02359489027686945
0.43,-0.018594890276869447
0.44,-0.013594890276869442
0.45,-0.008594890276869438
0.46,-0.0035948902768694335
0.47000000000000003,0.001405109723130571
0.48,0.006405109723130575
0.49,0.01140510972313058
0.5,0.016405109723130584
0.51,0.02140510972313059
0.52,0.026405109723130593
0.53,0.0314051097231306
0.54,0.0364051097231306
0.55,0.041405109723130606
0.56,0.04640510972313061
0.5700000000000001,0.051405109723130615
0.58,0.056405109723130564
0.59,0.06140510972313057
0.6,0.06640510972313057
0.61,0.07140510972313058
0.62,0.07640510972313058
0.63,0.08140510972313059
0.64,0.08640510972313059
0.65,0.0914051097231306
0.66,0.0964051097231306
0.67,0.1014051097231306
0.68,0.10640510972313061
0.6900000000000001,0.11140510972313061
0.7000000000000001,0.11640510972313062
0.71,0.12140510972313057
0.72,0.12640510972313057
0.73,0.13140510972313058
0.74,0.13640510972313058
0.75,0.14140510972313058
0.76,0.1464051097231306
0.77,0.1514051097231306
0.78,0.1564051097231306
0.79,0.1614051097231306
0.8,0.1664051097231306
0.81,0.1714051097231306
0.8200000000000001,0.17640510972313062
0.8300000000000001,0.18140510972313062
0.84,0.18640510972313057
0.85,0.19140510972313057
0.86,0.19640510972313058
0.87,0.20140510972313058
0.88,0.2064051097231306
0.89,0.2114051097231306
0.9,0.2164051097231306
0.91,0.2214051097231306
0.92,0.2264051097231306
0.93,0.2314051097231306
0.9400000000000001,0.2364051097231306
0.9500000000000001,0.24140510972313062
0.96,0.24640510972313057
0.97,0.25140510972313057
0.98,0.2564051097231306
0.99,0.2614051097231306
1.0,0.2664051097231306
