w,h_eff_k0.5
0.0,2.5
0.01,2.505
0.02,2.51
0.03,2.515
0.04,2.52
0.05,2.525
0.06,2.5300000000000002
0.07,2.535
0.08,2.54
0.09,2.545
0.1,2.55
0.11,2.555
0.12,2.56
0.13,2.565
0.14,2.57
0.15,2.575
0.16,2.58
0.17,2.585
0.18,2.59
0.19,2.5949999999999998
0.2,2.6
0.21,2.605
0.22,2.61
0.23,2.615
0.24,2.62
0.25,2.625
0.26,2.63
0.27,2.635
0.28,2.64
0.29,2.645
0.3,2.65
0.31,2.6550000000000002
0.32,2.66
0.33,2.665
0.34,2.67
0.35000000000000003,2.675
0.36,2.68
0.37,2.685
0.38,2.69
0.39,2.695
0.4,2.7
0.41000000000000003,2.705
0.42,2.71
0.43,2.715
0.44,2.7199999999999998
0.45,2.725
0.46,2.73
0.47000000000000003,2.735
0.48,2.74
0.49,2.745
0.5,2.75
0.51,2.755
0.52,2.76
0.53,2.765
0.54,2.77
0.55,2.775
0.56,2.7800000000000002
0.5700000000000001,2.785
0.58,2.79
0.59,2.795
0.6,2.8
0.61,2.805
0.62,2.81
0.63,2.815
0.64,2.82
0.65,2.825
0.66,2.83
0.67,2.835
0.68,2.84
0.6900000000000001,2.845
0.7000000000000001,2.85
0.71,2.855
0.72,2.86
0.73,2.865
0.74,2.87
0.75,2.875
0.76,2.88
0.77,2.885
0.78,2.89
0.79,2.895
0.8,2.9
0.81,2.9050000000000002
0.8200000000000001,2.91
0.8300000000000001,2.915
0.84,2.92
0.85,2.925
0.86,2.93
0.87,2.935
0.88,2.94
0.89,2.945
0.9,2.95
0.91,2.955
0.92,2.96
0.93,2.965
0.9400000000000001,2.97
0.9500000000000001,2.975
0.96,2.98
0.97,2.985
0.98,2.99
0.99,2.995
1.0,3.0
