step,timestamp,soc_observed_mwh,soc_true_mwh,reliability_w,drift_flag,inflation,interval_width_mw,proposed_charge_mw,proposed_discharge_mw,safe_charge_mw,safe_discharge_mw,intervened,fault_active,true_soc_violated,violation_severity_mwh,price_per_mwh,controller
1,2026-01-01 00:00:00+00:00,9999.7400,10000.0000,1.0000,False,1.0064,376.9865,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.0245,dc3s_ftit
2,2026-01-01 01:00:00+00:00,9999.5122,10000.0000,1.0000,False,1.0062,376.9261,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.5016,dc3s_ftit
3,2026-01-01 02:00:00+00:00,9999.9209,10000.0000,1.0000,False,1.0061,376.8672,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.2655,dc3s_ftit
4,2026-01-01 03:00:00+00:00,10000.2198,10000.0000,1.0000,False,1.0059,376.8098,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.8311,dc3s_ftit
5,2026-01-01 04:00:00+00:00,10000.2818,10000.0000,1.0000,False,1.0057,376.7539,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,53.2792,dc3s_ftit
6,2026-01-01 05:00:00+00:00,10000.0922,10000.0000,0.8248,False,3.8172,1429.9276,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,52.1885,dc3s_ftit
7,2026-01-01 06:00:00+00:00,9999.9875,10000.0000,0.6997,False,7.6167,2853.2050,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,57.8096,dc3s_ftit
8,2026-01-01 07:00:00+00:00,10000.3056,10000.0000,0.6059,False,10.9518,4102.5586,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,56.7572,dc3s_ftit
9,2026-01-01 08:00:00+00:00,9999.9120,10000.0000,0.5330,False,14.2900,5353.0394,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,55.9904,dc3s_ftit
10,2026-01-01 09:00:00+00:00,9999.9120,10000.0000,0.5841,False,13.7890,5165.3737,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.4164,dc3s_ftit
11,2026-01-01 10:00:00+00:00,10000.5354,10000.0000,0.6258,False,13.3428,4998.2338,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.9355,dc3s_ftit
12,2026-01-01 11:00:00+00:00,9999.7966,10000.0000,0.6606,False,12.9361,4845.8661,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,60.1215,dc3s_ftit
13,2026-01-01 12:00:00+00:00,9999.9715,10000.0000,0.6900,False,12.5594,4704.7515,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.1563,dc3s_ftit
14,2026-01-01 13:00:00+00:00,10000.1626,10000.0000,0.7152,False,12.2066,4572.5948,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.1793,dc3s_ftit
15,2026-01-01 14:00:00+00:00,9999.7072,10000.0000,0.7369,False,11.8735,4447.8226,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.4008,dc3s_ftit
16,2026-01-01 15:00:00+00:00,10000.0580,10000.0000,0.7560,False,11.5571,4329.3111,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,56.5781,dc3s_ftit
17,2026-01-01 16:00:00+00:00,10000.2179,10000.0000,0.7728,False,11.2553,4216.2300,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,56.8419,dc3s_ftit
18,2026-01-01 17:00:00+00:00,10000.0169,10000.0000,0.7221,False,11.6389,4359.9467,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,71.1297,dc3s_ftit
19,2026-01-01 18:00:00+00:00,9999.6357,4565.2174,0.6768,False,12.2841,4601.6255,0.0000,5000.0000,0.0000,5000.0000,False,True,False,0.0000,74.5542,dc3s_ftit
20,2026-01-01 19:00:00+00:00,4565.0577,4565.2174,0.6361,False,13.8878,5202.3850,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,71.0143,dc3s_ftit
21,2026-01-01 20:00:00+00:00,4565.0577,4565.2174,0.5993,False,15.8603,5941.2900,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,73.0062,dc3s_ftit
22,2026-01-01 21:00:00+00:00,4564.7967,4565.2174,0.6216,False,15.4083,5771.9631,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,70.9165,dc3s_ftit
23,2026-01-01 22:00:00+00:00,4565.3639,4565.2174,0.6420,False,14.9781,5610.8163,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.1179,dc3s_ftit
24,2026-01-01 23:00:00+00:00,4565.1302,4565.2174,0.6606,False,14.5674,5456.9528,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.4619,dc3s_ftit
25,2026-01-02 00:00:00+00:00,4565.1696,4565.2174,0.6777,False,14.1742,5309.6497,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.8120,dc3s_ftit
26,2026-01-02 01:00:00+00:00,4564.9875,4565.2174,0.6935,False,13.7969,5168.3143,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.9511,dc3s_ftit
27,2026-01-02 02:00:00+00:00,4565.3900,4565.2174,0.7081,False,13.4342,5032.4533,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.2143,dc3s_ftit
28,2026-01-02 03:00:00+00:00,4565.3738,4565.2174,0.7216,False,13.0850,4901.6502,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,52.5353,dc3s_ftit
29,2026-01-02 04:00:00+00:00,4565.0519,4565.2174,0.7341,False,12.7484,4775.5491,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.4540,dc3s_ftit
30,2026-01-02 05:00:00+00:00,4565.0519,4565.2174,0.7458,False,12.4235,4653.8426,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,50.5293,dc3s_ftit
31,2026-01-02 06:00:00+00:00,4565.1000,4565.2174,0.7568,False,12.1096,4536.2623,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,56.4665,dc3s_ftit
32,2026-01-02 07:00:00+00:00,4565.1000,4565.2174,0.7670,False,11.8061,4422.5716,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.2071,dc3s_ftit
33,2026-01-02 08:00:00+00:00,4565.1928,4565.2174,0.7766,False,11.5124,4312.5604,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.8949,dc3s_ftit
34,2026-01-02 09:00:00+00:00,4564.7956,4565.2174,0.7856,False,11.2281,4206.0404,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.1920,dc3s_ftit
35,2026-01-02 10:00:00+00:00,4564.7956,4565.2174,0.7940,False,10.9526,4102.8418,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.8576,dc3s_ftit
36,2026-01-02 11:00:00+00:00,4564.9910,4565.2174,0.8020,False,10.6855,4002.8107,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.3430,dc3s_ftit
37,2026-01-02 12:00:00+00:00,4565.1283,4565.2174,0.8095,False,10.4266,3905.8063,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.5672,dc3s_ftit
38,2026-01-02 13:00:00+00:00,4565.1660,4565.2174,0.8166,False,10.1754,3811.6994,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.2633,dc3s_ftit
39,2026-01-02 14:00:00+00:00,4565.4275,4565.2174,0.8233,False,9.9316,3720.3708,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.5069,dc3s_ftit
40,2026-01-02 15:00:00+00:00,4565.2768,4565.2174,0.8297,False,9.6949,3631.7100,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.3275,dc3s_ftit
41,2026-01-02 16:00:00+00:00,4565.2354,4565.2174,0.8358,False,9.4650,3545.6144,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.5145,dc3s_ftit
42,2026-01-02 17:00:00+00:00,4565.2229,4565.2174,0.8415,False,9.2418,3461.9878,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,73.8429,dc3s_ftit
43,2026-01-02 18:00:00+00:00,4564.9615,4565.2174,0.8470,False,9.0249,3380.7403,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,72.2199,dc3s_ftit
44,2026-01-02 19:00:00+00:00,4564.9615,4565.2174,0.8522,False,8.8142,3301.7874,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,70.5306,dc3s_ftit
45,2026-01-02 20:00:00+00:00,4565.3066,4565.2174,0.8571,False,8.6093,3225.0491,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,70.3582,dc3s_ftit
46,2026-01-02 21:00:00+00:00,4565.0575,4565.2174,0.8618,False,8.4102,3150.4502,0.0000,4199.8529,0.0000,0.0000,True,False,False,0.0000,73.9811,dc3s_ftit
47,2026-01-02 22:00:00+00:00,4564.8732,4565.2174,0.8663,False,8.2165,3077.9193,0.0000,4199.6834,0.0000,0.0000,True,False,False,0.0000,60.0684,dc3s_ftit
48,2026-01-02 23:00:00+00:00,4564.8732,4565.2174,0.8707,False,8.0282,3007.3883,0.0000,4199.6834,0.0000,0.0000,True,False,False,0.0000,57.7846,dc3s_ftit
1,2026-01-01 00:00:00+00:00,9999.7400,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.0245,deterministic_lp
2,2026-01-01 01:00:00+00:00,9999.5122,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.5016,deterministic_lp
3,2026-01-01 02:00:00+00:00,9999.9209,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.2655,deterministic_lp
4,2026-01-01 03:00:00+00:00,10000.2198,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,51.8311,deterministic_lp
5,2026-01-01 04:00:00+00:00,10000.2818,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,53.2792,deterministic_lp
6,2026-01-01 05:00:00+00:00,10000.0922,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,52.1885,deterministic_lp
7,2026-01-01 06:00:00+00:00,9999.9875,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,57.8096,deterministic_lp
8,2026-01-01 07:00:00+00:00,10000.3056,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,56.7572,deterministic_lp
9,2026-01-01 08:00:00+00:00,9999.9120,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,55.9904,deterministic_lp
10,2026-01-01 09:00:00+00:00,9999.9120,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.4164,deterministic_lp
11,2026-01-01 10:00:00+00:00,10000.5354,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.9355,deterministic_lp
12,2026-01-01 11:00:00+00:00,9999.7966,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,60.1215,deterministic_lp
13,2026-01-01 12:00:00+00:00,9999.9715,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.1563,deterministic_lp
14,2026-01-01 13:00:00+00:00,10000.1626,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.1793,deterministic_lp
15,2026-01-01 14:00:00+00:00,9999.7072,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,57.4008,deterministic_lp
16,2026-01-01 15:00:00+00:00,10000.0580,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,56.5781,deterministic_lp
17,2026-01-01 16:00:00+00:00,10000.2179,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,56.8419,deterministic_lp
18,2026-01-01 17:00:00+00:00,10000.0169,10000.0000,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,71.1297,deterministic_lp
19,2026-01-01 18:00:00+00:00,9999.6357,4565.2174,1.0000,False,1.0000,503.4531,0.0000,5000.0000,0.0000,5000.0000,False,True,False,0.0000,74.5542,deterministic_lp
20,2026-01-01 19:00:00+00:00,4565.0577,4565.2174,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,71.0143,deterministic_lp
21,2026-01-01 20:00:00+00:00,4565.0577,4565.2174,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,True,False,0.0000,73.0062,deterministic_lp
22,2026-01-01 21:00:00+00:00,4564.7967,4565.2174,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,70.9165,deterministic_lp
23,2026-01-01 22:00:00+00:00,4565.3639,4565.2174,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,59.1179,deterministic_lp
24,2026-01-01 23:00:00+00:00,4565.1302,4565.2174,1.0000,False,1.0000,503.4531,0.0000,0.0000,0.0000,0.0000,False,False,False,0.0000,58.4619,deterministic_lp
