scenario,seed,controller,fault_type,fault_count,true_soc_violation_rate_at_fault,violation_rate_at_fault,intervention_rate_at_fault
drift_combo,11,cvar_interval,covariate_drift,42,0.380952,0.380952,0.000000
drift_combo,11,dc3s_wrapped,covariate_drift,42,0.000000,0.000000,0.000000
drift_combo,11,deterministic_lp,covariate_drift,42,0.166667,0.166667,0.000000
drift_combo,11,robust_fixed_interval,covariate_drift,42,0.380952,0.380952,0.000000
drift_combo,11,cvar_interval,delay_jitter,25,0.280000,0.280000,0.000000
drift_combo,11,dc3s_wrapped,delay_jitter,25,0.000000,0.000000,0.000000
drift_combo,11,deterministic_lp,delay_jitter,25,0.080000,0.080000,0.000000
drift_combo,11,robust_fixed_interval,delay_jitter,25,0.280000,0.280000,0.000000
drift_combo,11,cvar_interval,dropout,6,0.166667,0.166667,0.000000
drift_combo,11,dc3s_wrapped,dropout,6,0.000000,0.000000,0.000000
drift_combo,11,deterministic_lp,dropout,6,0.000000,0.000000,0.000000
drift_combo,11,robust_fixed_interval,dropout,6,0.166667,0.166667,0.000000
drift_combo,11,cvar_interval,label_drift,42,0.380952,0.380952,0.000000
drift_combo,11,dc3s_wrapped,label_drift,42,0.000000,0.000000,0.000000
drift_combo,11,deterministic_lp,label_drift,42,0.166667,0.166667,0.000000
drift_combo,11,robust_fixed_interval,label_drift,42,0.380952,0.380952,0.000000
drift_combo,11,cvar_interval,out_of_order,8,0.375000,0.375000,0.000000
drift_combo,11,dc3s_wrapped,out_of_order,8,0.000000,0.000000,0.000000
drift_combo,11,deterministic_lp,out_of_order,8,0.250000,0.250000,0.000000
drift_combo,11,robust_fixed_interval,out_of_order,8,0.375000,0.375000,0.000000
drift_combo,11,cvar_interval,spikes,4,0.250000,0.250000,0.000000
drift_combo,11,dc3s_wrapped,spikes,4,0.000000,0.000000,0.000000
drift_combo,11,deterministic_lp,spikes,4,0.000000,0.000000,0.000000
drift_combo,11,robust_fixed_interval,spikes,4,0.250000,0.250000,0.000000
drift_combo,11,cvar_interval,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,11,dc3s_wrapped,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,11,deterministic_lp,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,11,robust_fixed_interval,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,22,cvar_interval,covariate_drift,42,1.000000,1.000000,0.000000
drift_combo,22,dc3s_wrapped,covariate_drift,42,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,covariate_drift,42,0.000000,0.000000,0.000000
drift_combo,22,robust_fixed_interval,covariate_drift,42,1.000000,1.000000,0.000000
drift_combo,22,cvar_interval,delay_jitter,25,0.720000,0.720000,0.000000
drift_combo,22,dc3s_wrapped,delay_jitter,25,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,delay_jitter,25,0.120000,0.120000,0.000000
drift_combo,22,robust_fixed_interval,delay_jitter,25,0.720000,0.720000,0.000000
drift_combo,22,cvar_interval,dropout,6,0.333333,0.333333,0.000000
drift_combo,22,dc3s_wrapped,dropout,6,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,dropout,6,0.000000,0.000000,0.000000
drift_combo,22,robust_fixed_interval,dropout,6,0.333333,0.333333,0.000000
drift_combo,22,cvar_interval,label_drift,42,1.000000,1.000000,0.000000
drift_combo,22,dc3s_wrapped,label_drift,42,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,label_drift,42,0.000000,0.000000,0.000000
drift_combo,22,robust_fixed_interval,label_drift,42,1.000000,1.000000,0.000000
drift_combo,22,cvar_interval,out_of_order,8,0.750000,0.750000,0.000000
drift_combo,22,dc3s_wrapped,out_of_order,8,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,out_of_order,8,0.000000,0.000000,0.000000
drift_combo,22,robust_fixed_interval,out_of_order,8,0.750000,0.750000,0.000000
drift_combo,22,cvar_interval,spikes,4,1.000000,1.000000,0.000000
drift_combo,22,dc3s_wrapped,spikes,4,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,spikes,4,0.000000,0.000000,0.000000
drift_combo,22,robust_fixed_interval,spikes,4,1.000000,1.000000,0.000000
drift_combo,22,cvar_interval,stale_sensor,8,0.500000,0.500000,0.000000
drift_combo,22,dc3s_wrapped,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,22,robust_fixed_interval,stale_sensor,8,0.500000,0.500000,0.000000
dropout,11,cvar_interval,covariate_drift,0,0.000000,0.000000,0.000000
dropout,11,dc3s_wrapped,covariate_drift,0,0.000000,0.000000,0.000000
dropout,11,deterministic_lp,covariate_drift,0,0.000000,0.000000,0.000000
dropout,11,robust_fixed_interval,covariate_drift,0,0.000000,0.000000,0.000000
dropout,11,cvar_interval,delay_jitter,0,0.000000,0.000000,0.000000
dropout,11,dc3s_wrapped,delay_jitter,0,0.000000,0.000000,0.000000
dropout,11,deterministic_lp,delay_jitter,0,0.000000,0.000000,0.000000
dropout,11,robust_fixed_interval,delay_jitter,0,0.000000,0.000000,0.000000
dropout,11,cvar_interval,dropout,6,0.166667,0.166667,0.000000
dropout,11,dc3s_wrapped,dropout,6,0.000000,0.000000,0.000000
dropout,11,deterministic_lp,dropout,6,0.000000,0.000000,0.000000
dropout,11,robust_fixed_interval,dropout,6,0.166667,0.166667,0.000000
dropout,11,cvar_interval,label_drift,0,0.000000,0.000000,0.000000
dropout,11,dc3s_wrapped,label_drift,0,0.000000,0.000000,0.000000
dropout,11,deterministic_lp,label_drift,0,0.000000,0.000000,0.000000
dropout,11,robust_fixed_interval,label_drift,0,0.000000,0.000000,0.000000
