speed_bucket,altitude_bucket,rows,flights,mean_abs_bank_deg,mean_data_age_sec,calibration_boundary,formal_calibration_source
"(-0.001, 120.0]","(-0.001, 1500.0]",0,0,,,runtime_only_proxy_lane,C-MAPSS_trainable_surface
"(-0.001, 120.0]","(1500.0, 6000.0]",0,0,,,runtime_only_proxy_lane,C-MAPSS_trainable_surface
"(-0.001, 120.0]","(6000.0, 12000.0]",0,0,,,runtime_only_proxy_lane,C-MAPSS_trainable_surface
"(-0.001, 120.0]","(12000.0, 20000.0]",0,0,,,runtime_only_proxy_lane,C-MAPSS_trainable_surface
"(120.0, 240.0]","(-0.001, 1500.0]",8,1,30.0,0.5,runtime_only_proxy_lane,C-MAPSS_trainable_surface
"(120.0, 240.0]","(1500.0, 6000.0]",0,0,,,runtime_only_proxy_lane,C-MAPSS_trainable_surface
"(120.0, 240.0]","(6000.0, 12000.0]",0,0,,,runtime_only_proxy_lane,C-MAPSS_trainable_surface
"(120.0, 240.0]","(12000.0, 20000.0]",0,0,,,runtime_only_proxy_lane,C-MAPSS_trainable_surface
"(240.0, 360.0]","(-0.001, 1500.0]",0,0,,,runtime_only_proxy_lane,C-MAPSS_trainable_surface
"(240.0, 360.0]","(1500.0, 6000.0]",0,0,,,runtime_only_proxy_lane,C-MAPSS_trainable_surface
"(240.0, 360.0]","(6000.0, 12000.0]",0,0,,,runtime_only_proxy_lane,C-MAPSS_trainable_surface
"(240.0, 360.0]","(12000.0, 20000.0]",0,0,,,runtime_only_proxy_lane,C-MAPSS_trainable_surface
"(360.0, 600.0]","(-0.001, 1500.0]",0,0,,,runtime_only_proxy_lane,C-MAPSS_trainable_surface
"(360.0, 600.0]","(1500.0, 6000.0]",0,0,,,runtime_only_proxy_lane,C-MAPSS_trainable_surface
"(360.0, 600.0]","(6000.0, 12000.0]",0,0,,,runtime_only_proxy_lane,C-MAPSS_trainable_surface
"(360.0, 600.0]","(12000.0, 20000.0]",0,0,,,runtime_only_proxy_lane,C-MAPSS_trainable_surface
