Region,Target,Model,RMSE,MAE,sMAPE (%),R2,PICP@90 (%),Interval Width (MW)
DE,Load,GBM,305.12,187.87,0.39,0.9988,88.2,1070.2
DE,Load,LSTM,1204.49,945.21,5.29,0.8408,not_applicable,not_applicable
DE,Load,TCN,902.01,713.65,4.25,0.9021,not_applicable,not_applicable
DE,Load,N-BEATS,715.84,558.93,3.61,0.9317,not_applicable,not_applicable
DE,Load,TFT,552.85,430.70,2.45,0.9433,not_applicable,not_applicable
DE,Load,PatchTST,491.43,387.65,2.26,0.953,not_applicable,not_applicable
DE,Wind,GBM,219.11,129.36,2.41,0.9991,93.7,833.9
DE,Wind,LSTM,850.47,661.98,83.69,0.8466,not_applicable,not_applicable
DE,Wind,TCN,737.66,584.95,103.77,0.8802,not_applicable,not_applicable
DE,Wind,N-BEATS,492.79,385.00,69.37,0.9368,not_applicable,not_applicable
DE,Wind,TFT,478.29,374.73,57.00,0.945,not_applicable,not_applicable
DE,Wind,PatchTST,359.05,282.13,48.03,0.9627,not_applicable,not_applicable
DE,Solar,GBM,240.35,117.32,69.24,0.9993,78.8,1037.7
DE,Solar,LSTM,977.02,770.88,235.10,0.8619,not_applicable,not_applicable
DE,Solar,TCN,836.7,655.35,175.57,0.8914,not_applicable,not_applicable
DE,Solar,N-BEATS,556.34,437.40,95.70,0.9424,not_applicable,not_applicable
DE,Solar,TFT,488.14,381.53,94.71,0.9506,not_applicable,not_applicable
DE,Solar,PatchTST,406.47,320.57,103.65,0.9543,not_applicable,not_applicable
