Region,Target,Model,RMSE,MAE,sMAPE (%),R2,PICP@90 (%),Interval Width (MW)
US,Load,GBM,183.37,140.64,0.18,0.9993,,
US,Load,LSTM,4413.57,3416.17,4.46,0.6111,,
US,Load,TCN,6219.55,4734.46,6.29,0.2277,,
US,Load,N-BEATS,,,,,,
US,Load,TFT,,,,,,
US,Load,PatchTST,,,,,,
US,Wind,GBM,357.1,210.72,2.65,0.9972,,
US,Wind,LSTM,6699.71,5729.83,46.19,0.0561,,
US,Wind,TCN,6934.9,5963.55,47.3,-0.0114,,
US,Wind,N-BEATS,,,,,,
US,Wind,TFT,,,,,,
US,Wind,PatchTST,,,,,,
US,Solar,GBM,229.99,82.14,53.09,0.9947,,
US,Solar,LSTM,1700.87,1161.31,137.83,0.7185,,
US,Solar,TCN,1444.49,754.76,124.37,0.797,,
US,Solar,N-BEATS,,,,,,
US,Solar,TFT,,,,,,
US,Solar,PatchTST,,,,,,
