theorem_or_scope,chapter,token,code_or_script,artifact_path,status,code_exists,artifact_exists
T1,ch16,THM_T1,src/orius/orius_bench/metrics_engine.py,reports/publication/dc3s_main_table_ci.csv,flagship_defended,True,True
T2,ch17,THM_T2,src/orius/dc3s/safety_filter_theory.py,reports/publication/dc3s_main_table_ci.csv,flagship_defended,True,True
T3a,ch18,THM_T3A,src/orius/universal_theory/kernel.py,reports/publication/reliability_group_coverage_phase3.csv,flagship_defended,True,True
T4,ch19,THM_T4,src/orius/dc3s/supporting_results.py,reports/publication/fault_performance_table.csv,flagship_defended,True,True
T5,ch20,DEF_T5,src/orius/universal_theory/battery_instantiation.py,reports/blackout/blackout_study.csv,draft_non_defended,True,True
T6,ch20,THM_T6,src/orius/universal_theory/battery_instantiation.py,reports/blackout/blackout_study.csv,supporting_defended,True,True
T7,ch20,THM_T7,src/orius/universal_theory/battery_instantiation.py,reports/blackout/graceful_degradation_trace.csv,draft_non_defended,True,True
T8,ch20,THM_T8,src/orius/universal_theory/battery_instantiation.py,reports/blackout/graceful_degradation_trace.csv,supporting_defended,True,True
T11,ch37,THM_T11,src/orius/universal_theory/contracts.py,reports/publication/orius_transfer_obligation_table.csv,flagship_defended,True,True
T_trajectory_PAC,appC,THM_T_TRAJECTORY_PAC,src/orius/universal_theory/risk_bounds.py,reports/publication/reliability_group_coverage_phase3.csv,flagship_defended,True,True
A1-A13,ch15,ASM_REGISTER,appendices/app_b_assumptions.tex,appendices/app_b_assumptions.tex,locked,True,True
