chapter,chapter_file,chapter_exists,primary_artifact,artifact_exists,status
ch15,chapters/ch15_assumptions_notation_proof_discipline.tex,True,orius-plan/assumption_register.md,True,locked
ch16,chapters/ch16_battery_theorem_oasg_existence.tex,True,reports/publication/dc3s_main_table_ci.csv,True,locked
ch17,chapters/ch17_battery_theorem_safety_preservation.tex,True,reports/publication/dc3s_main_table_ci.csv,True,locked
ch18,chapters/ch18_orius_core_bound_battery.tex,True,reports/publication/reliability_group_coverage_phase3.csv,True,locked
ch19,chapters/ch19_no_free_safety_battery.tex,True,reports/publication/fault_performance_table.csv,True,locked
ch20,chapters/ch20_temporal_behavioral_extensions.tex,True,reports/blackout/blackout_study.csv,True,partial_empirical
ch21,chapters/ch21_fault_performance_stress_tests.tex,True,reports/fault_benchmark/fault_performance_table.csv,True,locked
ch22,chapters/ch22_latency_systems_footprint.tex,True,reports/latency/dc3s_latency_summary.csv,True,locked
ch23,chapters/ch23_hyperparameter_surface_stability.tex,True,reports/calibration/hyperparameter_surfaces.csv,True,locked
ch24,chapters/ch24_conditional_coverage_subgroups.tex,True,reports/calibration/reliability_group_audit.csv,True,locked
ch25,chapters/ch25_regional_decomposition_real_prices.tex,True,reports/publication/per_ba_dispatch_impact.csv,True,locked
ch26,chapters/ch26_asset_preservation_aging_proxy.tex,True,reports/aging/asset_preservation_proxy_table.csv,True,partial_proxy
ch27,chapters/ch27_hardware_in_loop_validation.tex,True,reports/hil/hil_summary.json,True,locked
ch28,chapters/ch28_certificate_half_life_blackout.tex,True,reports/blackout/blackout_study.csv,True,locked
ch29,chapters/ch29_graceful_degradation_safe_landing.tex,True,reports/blackout/graceful_degradation_trace.csv,True,locked
ch30,chapters/ch30_orius_bench_battery_track.tex,True,reports/publication/orius_bench_battery_leaderboard.csv,True,locked
ch31,chapters/ch31_compositional_safety_battery_fleets.tex,True,reports/fleet/fleet_composition_two_battery.csv,True,locked
ch32,chapters/ch32_adversarial_robustness_active_probing.tex,True,reports/probing/spoofing_attack_results.csv,True,locked
ch33,chapters/ch33_what_battery_thesis_proves.tex,True,reports/publication/battery_claim_evidence_register.csv,True,locked
ch34,chapters/ch34_outside_current_evidence.tex,True,reports/publication/battery_plan_gap_audit.csv,True,locked
ch35,chapters/ch35_deployment_path_verification_discipline.tex,True,reports/publication/phase3_rebuild_battery_evidence_manifest.json,True,locked
ch36,chapters/ch36_conclusion.tex,True,reports/publication/phase0_lock_current_truth_manifest.json,True,locked
