scenario,seed,controller,cost_delta_pct,violation_reduction_pct,severity_reduction_pct
dropout,0,cvar_interval,0.000000,0.000000,0.000000
dropout,0,dc3s_wrapped,0.467317,100.000000,100.000000
dropout,0,deterministic_lp,0.018352,19.999712,-69937.105099
dropout,0,robust_fixed_interval,0.000000,0.000000,0.000000
dropout,1,cvar_interval,0.000000,0.000000,0.000000
dropout,1,dc3s_wrapped,0.000006,100.000000,100.000000
dropout,1,deterministic_lp,0.004813,-24.999550,-97789.910795
dropout,1,robust_fixed_interval,0.000000,0.000000,0.000000
dropout,2,cvar_interval,0.000000,0.000000,0.000000
dropout,2,dc3s_wrapped,0.000003,100.000000,100.000000
dropout,2,deterministic_lp,0.010648,-299.997600,-573204.114267
dropout,2,robust_fixed_interval,0.000000,0.000000,0.000000
dropout,3,cvar_interval,0.000000,0.000000,0.000000
dropout,3,dc3s_wrapped,0.140778,100.000000,100.000000
dropout,3,deterministic_lp,0.015545,0.000000,-113221.947166
dropout,3,robust_fixed_interval,0.000000,0.000000,0.000000
dropout,4,cvar_interval,0.000000,0.000000,0.000000
dropout,4,dc3s_wrapped,0.095168,100.000000,100.000000
dropout,4,deterministic_lp,0.019764,0.000000,-140190.886897
dropout,4,robust_fixed_interval,0.000000,0.000000,0.000000
dropout,5,cvar_interval,0.000000,0.000000,0.000000
dropout,5,dc3s_wrapped,0.000050,100.000000,100.000000
dropout,5,deterministic_lp,0.019443,-24.999550,-122705.252594
dropout,5,robust_fixed_interval,0.000000,0.000000,0.000000
dropout,6,cvar_interval,0.000000,0.000000,0.000000
dropout,6,dc3s_wrapped,0.152640,100.000000,100.000000
dropout,6,deterministic_lp,0.011103,33.333600,-24818.543352
dropout,6,robust_fixed_interval,0.000000,0.000000,0.000000
dropout,7,cvar_interval,0.000000,0.000000,0.000000
dropout,7,dc3s_wrapped,0.000024,100.000000,100.000000
dropout,7,deterministic_lp,0.011965,-199.997600,-174586.755376
dropout,7,robust_fixed_interval,0.000000,0.000000,0.000000
dropout,8,cvar_interval,0.000000,0.000000,0.000000
dropout,8,dc3s_wrapped,0.537790,100.000000,100.000000
dropout,8,deterministic_lp,0.008990,0.000000,-92449.516455
dropout,8,robust_fixed_interval,0.000000,0.000000,0.000000
dropout,9,cvar_interval,0.000000,0.000000,0.000000
dropout,9,dc3s_wrapped,0.547572,100.000000,100.000000
dropout,9,deterministic_lp,0.106239,-33.333600,17.429784
dropout,9,robust_fixed_interval,0.000000,0.000000,0.000000
nominal,0,cvar_interval,0.000000,0.000000,0.000000
nominal,0,dc3s_wrapped,0.000037,100.000000,100.000000
nominal,0,deterministic_lp,0.018337,-66.666400,-305919.418302
nominal,0,robust_fixed_interval,0.000000,0.000000,0.000000
nominal,1,cvar_interval,0.000000,0.000000,0.000000
nominal,1,dc3s_wrapped,0.000006,100.000000,100.000000
nominal,1,deterministic_lp,0.004813,-24.999550,-97789.910795
nominal,1,robust_fixed_interval,0.000000,0.000000,0.000000
nominal,2,cvar_interval,0.000000,0.000000,0.000000
nominal,2,dc3s_wrapped,0.000003,100.000000,100.000000
nominal,2,deterministic_lp,0.010648,-299.997600,-573204.114267
nominal,2,robust_fixed_interval,0.000000,0.000000,0.000000
nominal,3,cvar_interval,0.000000,0.000000,0.000000
nominal,3,dc3s_wrapped,0.000032,100.000000,100.000000
nominal,3,deterministic_lp,0.015588,-50.000600,-167238.177513
nominal,3,robust_fixed_interval,0.000000,0.000000,0.000000
nominal,4,cvar_interval,0.000000,0.000000,0.000000
nominal,4,dc3s_wrapped,0.095168,100.000000,100.000000
nominal,4,deterministic_lp,0.019689,0.000000,-140379.857583
nominal,4,robust_fixed_interval,0.000000,0.000000,0.000000
nominal,5,cvar_interval,0.000000,0.000000,0.000000
nominal,5,dc3s_wrapped,0.000041,100.000000,100.000000
nominal,5,deterministic_lp,0.019501,0.000000,-81371.479604
nominal,5,robust_fixed_interval,0.000000,0.000000,0.000000
nominal,6,cvar_interval,0.000000,0.000000,0.000000
nominal,6,dc3s_wrapped,0.554718,100.000000,100.000000
nominal,6,deterministic_lp,0.011026,0.000000,-45949.507846
nominal,6,robust_fixed_interval,0.000000,0.000000,0.000000
nominal,7,cvar_interval,0.000000,0.000000,0.000000
nominal,7,dc3s_wrapped,0.000024,100.000000,100.000000
nominal,7,deterministic_lp,0.011011,-199.997600,-138334.043382
nominal,7,robust_fixed_interval,0.000000,0.000000,0.000000
nominal,8,cvar_interval,0.000000,0.000000,0.000000
nominal,8,dc3s_wrapped,0.537790,100.000000,100.000000
nominal,8,deterministic_lp,0.009898,0.000000,-94448.283352
nominal,8,robust_fixed_interval,0.000000,0.000000,0.000000
nominal,9,cvar_interval,0.000000,0.000000,0.000000
nominal,9,dc3s_wrapped,0.000007,100.000000,100.000000
nominal,9,deterministic_lp,0.024755,-33.333600,-469420.362440
nominal,9,robust_fixed_interval,0.000000,0.000000,0.000000
