region,controller,scenario,true_soc_violation_rate_mean,true_soc_violation_rate_std,intervention_rate_mean,intervention_rate_std,picp_90_mean,picp_90_std,mean_interval_width_mean,mean_interval_width_std,true_soc_violation_severity_p95_mean,true_soc_violation_severity_p95_std
DE,cvar_interval,drift_combo,0.317460,0.385084,0.000000,0.000000,0.392857,0.031497,951.890877,0.000000,0.289062,0.209359
DE,cvar_interval,dropout,0.337302,0.364475,0.000000,0.000000,0.936508,0.013747,951.890877,0.000000,0.323428,0.122933
DE,cvar_interval,nominal,0.289682,0.171830,0.000000,0.000000,1.000000,0.000000,951.890877,0.000000,0.253174,0.175322
DE,cvar_interval,spikes,0.289682,0.171830,0.000000,0.000000,0.952381,0.000000,951.890877,0.000000,0.253174,0.175322
DE,dc3s_wrapped,drift_combo,0.000000,0.000000,0.000000,0.000000,0.392857,0.031497,1022.932970,21.179507,0.000000,0.000000
DE,dc3s_wrapped,dropout,0.000000,0.000000,0.000000,0.000000,0.936508,0.013747,966.227806,0.737644,0.000000,0.000000
DE,dc3s_wrapped,nominal,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,952.189257,0.170064,0.000000,0.000000
DE,dc3s_wrapped,spikes,0.000000,0.000000,0.000000,0.000000,0.952381,0.000000,971.153987,5.005438,0.000000,0.000000
DE,deterministic_lp,drift_combo,0.083333,0.011905,0.000000,0.000000,0.392857,0.031497,951.890877,0.000000,220.545677,15.816402
DE,deterministic_lp,dropout,0.130952,0.023810,0.000000,0.000000,0.936508,0.013747,951.890877,0.000000,220.738416,79.259197
DE,deterministic_lp,nominal,0.111111,0.018185,0.000000,0.000000,1.000000,0.000000,951.890877,0.000000,186.691374,21.642373
DE,deterministic_lp,spikes,0.111111,0.018185,0.000000,0.000000,0.952381,0.000000,951.890877,0.000000,186.691374,21.642373
DE,robust_fixed_interval,drift_combo,0.317460,0.385084,0.000000,0.000000,0.769841,0.018185,12217.149389,86.551621,0.289062,0.209359
DE,robust_fixed_interval,dropout,0.337302,0.364475,0.000000,0.000000,1.000000,0.000000,11997.601394,7.105833,0.323428,0.122933
DE,robust_fixed_interval,nominal,0.289682,0.171830,0.000000,0.000000,1.000000,0.000000,12002.412461,4.781961,0.253174,0.175322
DE,robust_fixed_interval,spikes,0.289682,0.171830,0.000000,0.000000,0.960317,0.013746,12203.884116,87.625198,0.253174,0.175322
US,cvar_interval,drift_combo,0.317460,0.385084,0.000000,0.000000,0.468254,0.038269,951.890877,0.000000,0.289062,0.209359
US,cvar_interval,dropout,0.337302,0.364475,0.000000,0.000000,0.980158,0.006873,951.890877,0.000000,0.323428,0.122933
US,cvar_interval,nominal,0.289682,0.171830,0.000000,0.000000,1.000000,0.000000,951.890877,0.000000,0.253174,0.175322
US,cvar_interval,spikes,0.289682,0.171830,0.000000,0.000000,0.956349,0.006873,951.890877,0.000000,0.253174,0.175322
US,dc3s_wrapped,drift_combo,0.000000,0.000000,0.000000,0.000000,0.480159,0.038269,1022.564163,20.973963,0.000000,0.000000
US,dc3s_wrapped,dropout,0.000000,0.000000,0.000000,0.000000,0.984127,0.006873,966.227806,0.737644,0.000000,0.000000
US,dc3s_wrapped,nominal,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,952.189257,0.170064,0.000000,0.000000
US,dc3s_wrapped,spikes,0.000000,0.000000,0.000000,0.000000,0.956349,0.006873,970.900128,4.963045,0.000000,0.000000
US,deterministic_lp,drift_combo,0.079365,0.013746,0.000000,0.000000,0.468254,0.038269,951.890877,0.000000,229.085400,16.774465
US,deterministic_lp,dropout,0.130952,0.023810,0.000000,0.000000,0.980158,0.006873,951.890877,0.000000,223.897299,77.245535
US,deterministic_lp,nominal,0.115079,0.018185,0.000000,0.000000,1.000000,0.000000,951.890877,0.000000,184.794324,22.336819
US,deterministic_lp,spikes,0.115079,0.018185,0.000000,0.000000,0.956349,0.006873,951.890877,0.000000,184.794324,22.336819
US,robust_fixed_interval,drift_combo,0.317460,0.385084,0.000000,0.000000,0.781746,0.018185,3540.801829,24.234454,0.289062,0.209359
US,robust_fixed_interval,dropout,0.337302,0.364475,0.000000,0.000000,1.000000,0.000000,3479.328390,1.989633,0.323428,0.122933
US,robust_fixed_interval,nominal,0.289682,0.171830,0.000000,0.000000,1.000000,0.000000,3480.675489,1.338949,0.253174,0.175322
US,robust_fixed_interval,spikes,0.289682,0.171830,0.000000,0.000000,0.960317,0.013746,3537.087552,24.535056,0.253174,0.175322
