variant,seed,controller,scenario,policy,expected_cost_usd,carbon_kg,cost_delta_pct,mean_reliability_w,drift_flag_rate,inflation_p95,guarantee_checks_passed_rate,mae,rmse,picp_90,picp_95,mean_interval_width,violation_rate,violation_severity,recovery_time,intervention_rate,true_soc_violation_rate,true_soc_violation_steps,true_soc_violation_severity_mean,true_soc_violation_severity_p95,recovery_time_mean,unsafe_command_rate,bms_trip_rate,grid_import_violation_rate,true_soc_violation_mask,certificate_presence_rate,certificate_missing_fields
dc3s_full,0,dc3s_wrapped,drift_combo,dc3s_wrapped,61217423.414697,420399786.613609,-0.019390,0.985968,0.000000,1.069945,1.000000,2835.252719,6043.910990,0.875000,0.958333,14733.975535,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.125000,0.083333,0.000000,"[False False False False False False False False False False False False
 False False False False False False False False False False False False]",1.000000,0.000000
dc3s_full,1,dc3s_wrapped,drift_combo,dc3s_wrapped,61468919.859006,425442116.297033,-0.431053,0.947597,0.000000,1.090625,1.000000,2713.126474,4744.323593,0.875000,0.958333,15299.928131,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.125000,0.000000,"[False False False False False False False False False False False False
 False False False False False False False False False False False False]",1.000000,0.000000
no_drift,0,dc3s_wrapped,drift_combo,dc3s_wrapped,61217423.414697,420399786.613609,-0.019390,0.985968,0.000000,1.069945,1.000000,2835.252719,6043.910990,0.875000,0.958333,14733.975535,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.125000,0.083333,0.000000,"[False False False False False False False False False False False False
 False False False False False False False False False False False False]",1.000000,0.000000
no_drift,1,dc3s_wrapped,drift_combo,dc3s_wrapped,61468919.859006,425442116.297033,-0.431053,0.947597,0.000000,1.090625,1.000000,2713.126474,4744.323593,0.875000,0.958333,15299.928131,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.125000,0.000000,"[False False False False False False False False False False False False
 False False False False False False False False False False False False]",1.000000,0.000000
no_reliability_weight,0,dc3s_wrapped,drift_combo,dc3s_wrapped,61217423.414697,420399786.613609,-0.019390,0.985968,0.000000,1.000000,1.000000,2835.252719,6043.910990,0.875000,0.958333,14570.416417,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.125000,0.083333,0.000000,"[False False False False False False False False False False False False
 False False False False False False False False False False False False]",1.000000,0.000000
no_reliability_weight,1,dc3s_wrapped,drift_combo,dc3s_wrapped,61468919.859006,425442116.297033,-0.431053,0.947597,0.000000,1.000000,1.000000,2713.126474,4744.323593,0.875000,0.958333,14684.322424,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.125000,0.000000,"[False False False False False False False False False False False False
 False False False False False False False False False False False False]",1.000000,0.000000
no_inflation_cap,0,dc3s_wrapped,drift_combo,dc3s_wrapped,61217423.414697,420399786.613609,-0.019390,0.985968,0.000000,1.069945,1.000000,2835.252719,6043.910990,0.875000,0.958333,14733.975535,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.125000,0.083333,0.000000,"[False False False False False False False False False False False False
 False False False False False False False False False False False False]",1.000000,0.000000
no_inflation_cap,1,dc3s_wrapped,drift_combo,dc3s_wrapped,61468919.859006,425442116.297033,-0.431053,0.947597,0.000000,1.090625,1.000000,2713.126474,4744.323593,0.875000,0.958333,15299.928131,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.125000,0.000000,"[False False False False False False False False False False False False
 False False False False False False False False False False False False]",1.000000,0.000000
projection_only,0,dc3s_wrapped,drift_combo,dc3s_wrapped,61217423.414697,420399786.613609,-0.019390,0.985968,0.000000,1.069945,1.000000,2835.252719,6043.910990,0.875000,0.958333,14733.975535,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.125000,0.083333,0.000000,"[False False False False False False False False False False False False
 False False False False False False False False False False False False]",1.000000,0.000000
projection_only,1,dc3s_wrapped,drift_combo,dc3s_wrapped,61468919.859006,425442116.297033,-0.431053,0.947597,0.000000,1.090625,1.000000,2713.126474,4744.323593,0.875000,0.958333,15299.928131,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.125000,0.000000,"[False False False False False False False False False False False False
 False False False False False False False False False False False False]",1.000000,0.000000
