scenario,seed,controller,policy,expected_cost_usd,carbon_kg,cost_delta_pct,mean_reliability_w,mean_delta_mw,mean_interval_width_cert,solver_status_ok_rate,guarantee_checks_passed_rate,adaptive_width_mean,adaptive_width_p95,lambda_mw_used_mean,rac_sensitivity_mean,rac_sensitivity_p95,rac_q_multiplier_mean,rac_q_multiplier_p95,rac_inflation_mean,cvar_eta,cvar_cost,cqr_picp_group_low,cqr_width_group_low,cqr_picp_group_mid,cqr_width_group_mid,cqr_picp_group_high,cqr_width_group_high,mae,rmse,picp_90,picp_95,mean_interval_width,pinball_loss_q05,pinball_loss_q50,pinball_loss_q95,pinball_loss_mean,winkler_score_90,violation_rate,violation_severity,recovery_time,intervention_rate,true_soc_violation_rate,true_soc_violation_steps,true_soc_violation_severity_mean_mwh,true_soc_violation_severity_p95_mwh,true_soc_violation_severity_mean,true_soc_violation_severity_p95,true_soc_min_mwh,true_soc_max_mwh,recovery_time_mean,unsafe_command_rate,bms_trip_rate,grid_import_violation_rate,certificate_presence_rate,certificate_missing_fields
delay_jitter,11,aci_conformal,aci_conformal,390043353.204430,2705672523.690691,-0.000022,1.000000,0.000000,99.833000,1.000000,1.000000,99.833000,99.983300,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,99.833000,2.495825,0.000000,2.495825,1.663883,99.833000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,672.000000
delay_jitter,11,cvar_interval,cvar_interval,390043339.070249,2705672403.869894,-0.000026,1.000000,0.000000,503.130805,0.994048,1.000000,503.130805,503.453060,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,198852389.230433,198869017.064778,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,503.130805,12.578270,0.000000,12.578270,8.385513,503.130805,0.017857,0.684969,0.000000,0.000000,0.017857,3.000000,0.228323,0.297940,0.228323,0.297940,-0.297940,5000.000000,2.000000,0.017857,0.000000,0.000000,0.000000,672.000000
delay_jitter,11,dc3s_ftit,dc3s_ftit,390063011.751686,2705802267.428536,0.005018,0.729421,6.093683,375.177818,1.000000,1.000000,375.177818,376.650226,0.000000,0.023916,0.046069,1.000000,1.000000,1.001540,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,375.177818,9.379445,0.000000,9.379445,6.252964,375.177818,0.000000,0.000000,0.000000,0.035714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,328.325219,5000.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
delay_jitter,11,dc3s_wrapped,dc3s_wrapped,390043370.772584,2705672639.020897,-0.000018,0.998325,0.000000,517.435425,0.994048,0.988095,517.435425,532.760101,0.000000,0.023916,0.046069,1.025089,1.050840,1.003229,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,517.435425,12.935886,0.000000,12.935886,8.623924,517.435425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.293035,5000.000000,0.000000,0.011905,0.011905,0.000000,1.000000,0.000000
delay_jitter,11,deterministic_lp,deterministic_lp,390043439.447816,2705671114.791471,0.000000,1.000000,0.000000,503.130805,1.000000,1.000000,503.130805,503.453060,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,503.130805,12.578270,0.000000,12.578270,8.385513,503.130805,0.011905,0.178179,0.040000,0.000000,0.011905,2.000000,0.089089,0.089089,0.089089,0.089089,-0.089089,5000.000000,1.500000,0.011905,0.000000,0.000000,0.000000,672.000000
delay_jitter,11,robust_fixed_interval,robust_fixed_interval,390043339.070249,2705672403.869894,-0.000026,1.000000,0.000000,503.130805,0.994048,1.000000,503.130805,503.453060,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,503.130805,12.578270,0.000000,12.578270,8.385513,503.130805,0.017857,0.684969,0.000000,0.000000,0.017857,3.000000,0.228323,0.297940,0.228323,0.297940,-0.297940,5000.000000,2.000000,0.017857,0.000000,0.000000,0.000000,672.000000
delay_jitter,11,scenario_mpc,scenario_mpc,390043353.204430,2705672523.690691,-0.000022,1.000000,0.000000,8003.360992,1.000000,1.000000,8003.360992,9169.071617,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,8003.360992,200.084025,0.000000,200.084025,133.389350,8003.360992,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,672.000000
delay_jitter,11,scenario_robust,scenario_robust,390043353.204430,2705672523.690691,-0.000022,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,672.000000
delay_jitter,22,aci_conformal,aci_conformal,389321359.372699,2707980225.499924,-0.000047,1.000000,0.000000,99.833000,1.000000,1.000000,99.833000,99.983300,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,99.833000,2.495825,0.000000,2.495825,1.663883,99.833000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,672.000000
delay_jitter,22,cvar_interval,cvar_interval,389321351.990848,2707980147.388025,-0.000048,1.000000,0.000000,503.130805,0.994048,1.000000,503.130805,503.453060,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,198505384.757137,198522149.759246,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,503.130805,12.578270,0.000000,12.578270,8.385513,503.130805,0.011905,0.399329,0.000000,0.000000,0.011905,2.000000,0.199664,0.199664,0.199664,0.199664,-0.199664,5000.000000,1.500000,0.011905,0.000000,0.000000,0.000000,672.000000
