domain,trace_id,contract_id,source_theorem,t11_status,failed_obligations,certificate_valid,postcondition_passed,post_margin,failure_reason,assumptions_used,passed,scope_note
battery,heuristic:nominal:55:dc3s_wrapped:0,BATTERY.T11.safe_dispatch_runtime_witness,T11,runtime_linked,no_failed_obligations,True,True,5000.0,t11_failed_obligations:no_failed_obligations,T11.coverage|T11.sound_safe_action_set|T11.repair_membership|T11.fallback_admissibility|BATTERY.safe_dispatch_runtime_postcondition,False,Reference runtime witness for promoted ORIUS battery dispatch rows: T11 forward obligations plus the true safe-dispatch postcondition in the battery runtime trace.
battery,heuristic:nominal:55:dc3s_wrapped:1,BATTERY.T11.safe_dispatch_runtime_witness,T11,runtime_linked,no_failed_obligations,True,True,5000.0,t11_failed_obligations:no_failed_obligations,T11.coverage|T11.sound_safe_action_set|T11.repair_membership|T11.fallback_admissibility|BATTERY.safe_dispatch_runtime_postcondition,False,Reference runtime witness for promoted ORIUS battery dispatch rows: T11 forward obligations plus the true safe-dispatch postcondition in the battery runtime trace.
battery,heuristic:nominal:55:dc3s_wrapped:2,BATTERY.T11.safe_dispatch_runtime_witness,T11,runtime_linked,no_failed_obligations,True,True,5000.0,t11_failed_obligations:no_failed_obligations,T11.coverage|T11.sound_safe_action_set|T11.repair_membership|T11.fallback_admissibility|BATTERY.safe_dispatch_runtime_postcondition,False,Reference runtime witness for promoted ORIUS battery dispatch rows: T11 forward obligations plus the true safe-dispatch postcondition in the battery runtime trace.
battery,heuristic:nominal:55:dc3s_wrapped:3,BATTERY.T11.safe_dispatch_runtime_witness,T11,runtime_linked,no_failed_obligations,True,True,5000.0,t11_failed_obligations:no_failed_obligations,T11.coverage|T11.sound_safe_action_set|T11.repair_membership|T11.fallback_admissibility|BATTERY.safe_dispatch_runtime_postcondition,False,Reference runtime witness for promoted ORIUS battery dispatch rows: T11 forward obligations plus the true safe-dispatch postcondition in the battery runtime trace.
battery,heuristic:nominal:55:dc3s_wrapped:4,BATTERY.T11.safe_dispatch_runtime_witness,T11,runtime_linked,no_failed_obligations,True,True,5000.0,t11_failed_obligations:no_failed_obligations,T11.coverage|T11.sound_safe_action_set|T11.repair_membership|T11.fallback_admissibility|BATTERY.safe_dispatch_runtime_postcondition,False,Reference runtime witness for promoted ORIUS battery dispatch rows: T11 forward obligations plus the true safe-dispatch postcondition in the battery runtime trace.
battery,heuristic:nominal:55:dc3s_wrapped:5,BATTERY.T11.safe_dispatch_runtime_witness,T11,runtime_linked,no_failed_obligations,True,True,5000.0,t11_failed_obligations:no_failed_obligations,T11.coverage|T11.sound_safe_action_set|T11.repair_membership|T11.fallback_admissibility|BATTERY.safe_dispatch_runtime_postcondition,False,Reference runtime witness for promoted ORIUS battery dispatch rows: T11 forward obligations plus the true safe-dispatch postcondition in the battery runtime trace.
battery,heuristic:nominal:55:dc3s_wrapped:6,BATTERY.T11.safe_dispatch_runtime_witness,T11,runtime_linked,no_failed_obligations,True,True,5000.0,t11_failed_obligations:no_failed_obligations,T11.coverage|T11.sound_safe_action_set|T11.repair_membership|T11.fallback_admissibility|BATTERY.safe_dispatch_runtime_postcondition,False,Reference runtime witness for promoted ORIUS battery dispatch rows: T11 forward obligations plus the true safe-dispatch postcondition in the battery runtime trace.
battery,heuristic:nominal:55:dc3s_wrapped:7,BATTERY.T11.safe_dispatch_runtime_witness,T11,runtime_linked,no_failed_obligations,True,True,5000.0,t11_failed_obligations:no_failed_obligations,T11.coverage|T11.sound_safe_action_set|T11.repair_membership|T11.fallback_admissibility|BATTERY.safe_dispatch_runtime_postcondition,False,Reference runtime witness for promoted ORIUS battery dispatch rows: T11 forward obligations plus the true safe-dispatch postcondition in the battery runtime trace.
battery,heuristic:nominal:55:dc3s_wrapped:8,BATTERY.T11.safe_dispatch_runtime_witness,T11,runtime_linked,no_failed_obligations,True,True,5000.0,t11_failed_obligations:no_failed_obligations,T11.coverage|T11.sound_safe_action_set|T11.repair_membership|T11.fallback_admissibility|BATTERY.safe_dispatch_runtime_postcondition,False,Reference runtime witness for promoted ORIUS battery dispatch rows: T11 forward obligations plus the true safe-dispatch postcondition in the battery runtime trace.
battery,heuristic:nominal:55:dc3s_wrapped:9,BATTERY.T11.safe_dispatch_runtime_witness,T11,runtime_linked,no_failed_obligations,True,True,5000.0,t11_failed_obligations:no_failed_obligations,T11.coverage|T11.sound_safe_action_set|T11.repair_membership|T11.fallback_admissibility|BATTERY.safe_dispatch_runtime_postcondition,False,Reference runtime witness for promoted ORIUS battery dispatch rows: T11 forward obligations plus the true safe-dispatch postcondition in the battery runtime trace.
