scenario,seed,controller,policy,expected_cost_usd,carbon_kg,cost_delta_pct,mean_reliability_w,mean_delta_mw,mean_interval_width_cert,solver_status_ok_rate,guarantee_checks_passed_rate,adaptive_width_mean,adaptive_width_p95,lambda_mw_used_mean,rac_sensitivity_mean,rac_sensitivity_p95,rac_q_multiplier_mean,rac_q_multiplier_p95,rac_inflation_mean,cvar_eta,cvar_cost,cqr_picp_group_low,cqr_width_group_low,cqr_picp_group_mid,cqr_width_group_mid,cqr_picp_group_high,cqr_width_group_high,mae,rmse,picp_90,picp_95,mean_interval_width,pinball_loss_q05,pinball_loss_q50,pinball_loss_q95,pinball_loss_mean,winkler_score_90,violation_rate,violation_severity,recovery_time,intervention_rate,true_soc_violation_rate,true_soc_violation_steps,true_soc_violation_severity_mean_mwh,true_soc_violation_severity_p95_mwh,true_soc_violation_severity_mean,true_soc_violation_severity_p95,true_soc_min_mwh,true_soc_max_mwh,recovery_time_mean,unsafe_command_rate,bms_trip_rate,grid_import_violation_rate,certificate_presence_rate,certificate_missing_fields
delay_jitter,11,aci_conformal,aci_conformal,112776535.710035,781043166.862738,0.020231,1.0,0.0,99.953,1.0,1.0,99.953,99.9953,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,503.45306,1.0,503.45306,1.0,503.45306,0.0,0.0,1.0,1.0,99.953,2.498825,0.0,2.498825,1.665883,99.953,0.0,0.0,0.0,0.020833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14542.760299,0.0,0.020833,0.0,0.0,0.0,192.0
delay_jitter,11,cvar_interval,cvar_interval,112743153.643645,780773194.018798,-0.009375,1.0,0.0,502.325167,0.916667,1.0,502.325167,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,61243308.557758,61253038.235188,1.0,503.45306,1.0,503.45306,1.0,503.45306,0.0,0.0,1.0,1.0,502.325167,12.558129,0.0,12.558129,8.372086,502.325167,0.0625,0.991709,0.0,0.0,0.0625,3.0,0.33057,0.33057,0.33057,0.33057,-0.33057,10000.0,2.0,0.0625,0.0,0.0,0.0,192.0
delay_jitter,11,dc3s_ftit,dc3s_ftit,113002770.974009,782476508.003081,0.220877,0.725592,345.294344,306.477417,1.0,1.0,306.477417,307.437493,0.0,0.023769,0.041146,1.0,1.0,1.004814,0.0,0.0,1.0,503.45306,1.0,503.45306,1.0,503.45306,0.0,0.0,1.0,1.0,306.477417,7.661935,0.0,7.661935,5.107957,306.477417,0.0,0.0,0.0,0.083333,0.0,0.0,0.0,0.0,0.0,0.0,4503.934492,10000.0,0.0,0.020833,0.0,0.0,1.0,0.0
delay_jitter,11,dc3s_wrapped,dc3s_wrapped,112743179.508402,780773366.357941,-0.009352,0.999563,0.0,524.268475,0.958333,0.979167,524.268475,541.456235,0.0,0.023769,0.041146,1.024075,1.041571,1.019103,0.0,0.0,1.0,503.45306,1.0,503.45306,1.0,503.45306,0.0,0.0,1.0,1.0,524.268475,13.106712,0.0,13.106712,8.737808,524.268475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.122011,10000.0,0.0,0.020833,0.020833,0.0,1.0,0.0
delay_jitter,11,deterministic_lp,deterministic_lp,112753724.380899,780783960.335525,0.0,1.0,0.0,502.325167,1.0,1.0,502.325167,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,503.45306,1.0,503.45306,1.0,503.45306,0.0,0.0,1.0,1.0,502.325167,12.558129,0.0,12.558129,8.372086,502.325167,0.125,332.324172,0.0,0.0,0.125,6.0,55.387362,238.322548,55.387362,238.322548,-311.543655,10000.0,2.0,0.125,0.0,0.0,0.0,192.0
delay_jitter,11,robust_fixed_interval,robust_fixed_interval,112743153.643645,780773194.018798,-0.009375,1.0,0.0,502.325167,0.916667,1.0,502.325167,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,503.45306,1.0,503.45306,1.0,503.45306,0.0,0.0,1.0,1.0,502.325167,12.558129,0.0,12.558129,8.372086,502.325167,0.0625,0.991709,0.0,0.0,0.0625,3.0,0.33057,0.33057,0.33057,0.33057,-0.33057,10000.0,2.0,0.0625,0.0,0.0,0.0,192.0
delay_jitter,11,scenario_mpc,scenario_mpc,112743172.02651,780773321.273592,-0.009359,1.0,0.0,8114.544955,1.0,1.0,8114.544955,9169.071617,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,503.45306,1.0,503.45306,1.0,503.45306,0.0,0.0,1.0,1.0,8114.544955,202.863624,0.0,202.863624,135.242416,8114.544955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,192.0
delay_jitter,11,scenario_robust,scenario_robust,112743172.02651,780773321.273592,-0.009359,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,503.45306,1.0,503.45306,1.0,503.45306,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,192.0
delay_jitter,22,aci_conformal,aci_conformal,113071427.431258,784757529.45216,-0.004896,1.0,0.0,99.953,1.0,1.0,99.953,99.9953,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,503.45306,1.0,503.45306,1.0,503.45306,0.0,0.0,1.0,1.0,99.953,2.498825,0.0,2.498825,1.665883,99.953,0.0,0.0,0.0,0.020833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.020833,0.0,0.0,0.0,192.0
delay_jitter,22,cvar_interval,cvar_interval,113071416.156228,784757413.872497,-0.004906,1.0,0.0,502.325167,0.979167,1.0,502.325167,503.45306,0.0,0.0,0.0,1.0,1.0,1.0,58537370.196731,58545552.03956,1.0,503.45306,1.0,503.45306,1.0,503.45306,0.0,0.0,1.0,1.0,502.325167,12.558129,0.0,12.558129,8.372086,502.325167,0.020833,0.295867,0.0,0.0,0.020833,1.0,0.295867,0.295867,0.295867,0.295867,-0.295867,10000.0,1.0,0.020833,0.0,0.0,0.0,192.0
delay_jitter,22,dc3s_ftit,dc3s_ftit,113485667.892405,787449155.081099,0.361439,0.64344,431.043116,306.516375,1.0,1.0,306.516375,307.640067,0.0,0.023049,0.049126,1.0,1.0,1.004942,0.0,0.0,1.0,503.45306,1.0,503.45306,1.0,503.45306,0.0,0.0,1.0,1.0,306.516375,7.662909,0.0,7.662909,5.108606,306.516375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,7099.966464,10000.0,0.0,0.0,0.0,0.0,1.0,0.0
