Fault Dimension,Severity,Controller,TSVR (%),Sev P95 (MWh),IR (%),Cost Δ (%),N
delay_seconds,0.0000,dc3s_ftit,0.0000,0.0000,0.0000,0.0400,5
delay_seconds,0.0000,dc3s_wrapped,0.0000,0.0000,0.0000,0.0400,5
delay_seconds,0.0000,deterministic_lp,11.2500,194.3200,0.0000,0.0000,5
delay_seconds,0.0000,robust_fixed_interval,17.0800,0.3110,0.0000,-0.0100,5
delay_seconds,1.0000,dc3s_ftit,0.0000,0.0000,16.6700,0.4100,5
delay_seconds,1.0000,dc3s_wrapped,0.0000,0.0000,0.0000,0.0400,5
delay_seconds,1.0000,deterministic_lp,11.2500,194.3200,0.0000,0.0000,5
delay_seconds,1.0000,robust_fixed_interval,17.0800,0.3110,0.0000,-0.0100,5
delay_seconds,5.0000,dc3s_ftit,0.0000,0.0000,16.6700,0.5000,5
delay_seconds,5.0000,dc3s_wrapped,0.0000,0.0000,0.0000,0.0800,5
delay_seconds,5.0000,deterministic_lp,10.4200,2557.5790,0.0000,0.0000,5
delay_seconds,5.0000,robust_fixed_interval,17.5000,2647.9070,0.0000,-0.0500,5
delay_seconds,15.0000,dc3s_ftit,0.0000,0.0000,16.6700,0.5000,5
delay_seconds,15.0000,dc3s_wrapped,0.0000,0.0000,0.0000,0.0800,5
delay_seconds,15.0000,deterministic_lp,10.4200,2557.5790,0.0000,0.0000,5
delay_seconds,15.0000,robust_fixed_interval,17.5000,2647.9070,0.0000,-0.0500,5
dropout,0.0000,dc3s_ftit,0.0000,0.0000,0.0000,0.0400,5
dropout,0.0000,dc3s_wrapped,0.0000,0.0000,0.0000,0.0400,5
dropout,0.0000,deterministic_lp,11.2500,194.3200,0.0000,0.0000,5
dropout,0.0000,robust_fixed_interval,17.0800,0.3110,0.0000,-0.0100,5
dropout,0.0500,dc3s_ftit,0.0000,0.0000,9.1700,0.0300,5
dropout,0.0500,dc3s_wrapped,0.0000,0.0000,0.0000,0.0400,5
dropout,0.0500,deterministic_lp,12.0800,257.4790,0.0000,0.0000,5
dropout,0.0500,robust_fixed_interval,27.9200,0.2310,0.0000,-0.0100,5
dropout,0.1000,dc3s_ftit,0.0000,0.0000,9.1700,0.0600,5
dropout,0.1000,dc3s_wrapped,0.0000,0.0000,0.0000,0.0400,5
dropout,0.1000,deterministic_lp,10.8300,286.8450,0.0000,0.0000,5
dropout,0.1000,robust_fixed_interval,29.1700,0.2140,0.0000,-0.0100,5
dropout,0.2000,dc3s_ftit,0.0000,0.0000,10.4200,0.1500,5
dropout,0.2000,dc3s_wrapped,0.0000,0.0000,0.0000,-0.0200,5
dropout,0.2000,deterministic_lp,10.0000,504.1840,0.0000,0.0000,5
dropout,0.2000,robust_fixed_interval,19.1700,913.5190,0.0000,-0.0800,5
dropout,0.3000,dc3s_ftit,0.0000,0.0000,10.0000,0.2700,5
dropout,0.3000,dc3s_wrapped,0.0000,0.0000,0.0000,0.0500,5
dropout,0.3000,deterministic_lp,19.1700,1912.0390,0.0000,0.0000,5
dropout,0.3000,robust_fixed_interval,20.4200,2000.4000,0.0000,-0.0900,5
out_of_order,0.0000,dc3s_ftit,0.0000,0.0000,0.0000,0.0400,5
out_of_order,0.0000,dc3s_wrapped,0.0000,0.0000,0.0000,0.0400,5
out_of_order,0.0000,deterministic_lp,11.2500,194.3200,0.0000,0.0000,5
out_of_order,0.0000,robust_fixed_interval,17.0800,0.3110,0.0000,-0.0100,5
out_of_order,0.0500,dc3s_ftit,0.0000,0.0000,9.1700,0.0300,5
out_of_order,0.0500,dc3s_wrapped,0.0000,0.0000,0.0000,0.0400,5
out_of_order,0.0500,deterministic_lp,11.2500,194.3200,0.0000,0.0000,5
out_of_order,0.0500,robust_fixed_interval,17.0800,0.3110,0.0000,-0.0100,5
out_of_order,0.1500,dc3s_ftit,0.0000,0.0000,9.1700,0.1200,5
out_of_order,0.1500,dc3s_wrapped,0.0000,0.0000,0.0000,0.0400,5
out_of_order,0.1500,deterministic_lp,11.2500,194.3200,0.0000,0.0000,5
out_of_order,0.1500,robust_fixed_interval,17.0800,0.3110,0.0000,-0.0100,5
spike_sigma,0.0000,dc3s_ftit,0.0000,0.0000,9.1700,0.0300,5
spike_sigma,0.0000,dc3s_wrapped,0.0000,0.0000,0.0000,0.0400,5
spike_sigma,0.0000,deterministic_lp,11.2500,210.8930,0.0000,0.0000,5
spike_sigma,0.0000,robust_fixed_interval,17.0800,0.3110,0.0000,-0.0100,5
spike_sigma,1.0000,dc3s_ftit,0.0000,0.0000,9.1700,0.0300,5
spike_sigma,1.0000,dc3s_wrapped,0.0000,0.0000,0.0000,0.0400,5
spike_sigma,1.0000,deterministic_lp,11.2500,210.8930,0.0000,0.0000,5
spike_sigma,1.0000,robust_fixed_interval,17.0800,0.3110,0.0000,-0.0100,5
spike_sigma,2.0000,dc3s_ftit,0.0000,0.0000,8.7500,0.0300,5
spike_sigma,2.0000,dc3s_wrapped,0.0000,0.0000,0.0000,0.0400,5
spike_sigma,2.0000,deterministic_lp,11.2500,210.8930,0.0000,0.0000,5
spike_sigma,2.0000,robust_fixed_interval,17.0800,0.3110,0.0000,-0.0100,5
spike_sigma,3.0000,dc3s_ftit,0.0000,0.0000,8.3300,0.0200,5
spike_sigma,3.0000,dc3s_wrapped,0.0000,0.0000,0.0000,0.0300,5
spike_sigma,3.0000,deterministic_lp,11.2500,232.6730,0.0000,0.0000,5
spike_sigma,3.0000,robust_fixed_interval,7.9200,0.3460,0.0000,-0.0200,5
