command_id,cert_hash,has_safe_action,has_proposed_action,step,scenario
6d2c7cab-77b5-4c64-a97f-c3abce72609f,3bd6c5af95438e2941ae9746a1361c089eb922955f6c7da959ad3e698fe4c167,True,True,0,nominal
946290c4-b541-4343-8b27-cccd073f0513,0165d460db6ad1ec781fe529183fa70fbab625985604723ea7973fb28ba52bfe,True,True,1,nominal
f3454b70-bf2c-4a35-869c-3e0f9d049024,f75c3e0cb6b9d13dba5be4c2c08b44b4bab7f8d8da544470c8c26fd363c47ce4,True,True,2,nominal
2ef57e7b-1378-49cc-a225-a26cf7beddc5,568e3bb3ef00b59004839a2c32f963546af6637e2e37454c767308e79f10a722,True,True,3,nominal
d34a43f6-41dc-4360-9363-3926d4dfc7aa,9a80ea4eb4823b3275be0fe1f25e561afd227e41458599d0c7ea6316ac611ee8,True,True,4,nominal
39a70469-f96c-4184-8332-c8f5ca74fa4f,eb1781ec5e0dbaf944df1ac1ec72b92f7b00ae1049d63d4480b7dafa33adf3fa,True,True,5,nominal
2a79ecdc-7453-4a40-9646-6be02f122d78,33f6e6e5f01654bd645c943da4104abfbd583f384bce0108f086d48eec73a84e,True,True,6,nominal
e991fb69-419b-4b73-b790-9e1b10509b15,c5355c69c64bf40e350324ed1a62500a412035b11b137c231412f56d11f787ce,True,True,7,nominal
1e8e3f62-63bc-4e00-9d3f-ae3dc0758bf1,0d612510c2be69338ca013e04434ad69e18206a80d63acbc4177d0b2b0ef3091,True,True,8,nominal
8116483d-72fe-4315-946b-6f957d5ae6d2,ed77034e30c14fb30cd151a18edd824ce14662016fe068e1fc14daff973b2f04,True,True,9,nominal
2664f88f-d4ea-442f-9ab6-2cbcbc624a98,c0558dc14489b066379e78c2a0e83f7f7ad7a62c2d5a366a96c8501a626de2d7,True,True,10,nominal
4f959964-c5ad-43e6-8f4f-05959e0aae74,c71f628560daded2de1f5ef7016424ad5bf5b612c78e5a628e1c85ce3c0ed813,True,True,11,nominal
466d0afb-7649-479f-9da6-74b33dd06fe1,304fe75cc4027ebd8ca23e5a973cff0082bbdd068e313b4ae34d26a068cb2fee,True,True,12,nominal
257d24ac-e6c1-44d1-8366-414014bc4eac,420e6eca3f2f25b4c1e7f7381e725e89f5ff9ac4293c3e2c12c3ae436539d6a1,True,True,13,nominal
9fbbd067-91e6-4f5d-b824-d5e67d07e3ea,b27c89b759ccd9c827f1e588eb6aed58392ae4740a07e8a76f540b700e1988d3,True,True,14,nominal
2e14322e-cb04-4f11-bf9b-ea5f60fbb3e1,27bb93d22514740a04baefa29dbaaf579ab1e94e1bd91cff30238185ff91b4eb,True,True,15,nominal
dd7234a2-114e-48a5-8825-1c8437e45c01,50744a10adb25a609ebf9bde38ed2af36f39c28ddc187b27f22bd54f2a2b2b36,True,True,16,nominal
86b84470-3e23-4f4c-bb4b-fe946aa0f970,02c76cdcaffa2f99da6b500fff51eabc79d8f9d0e4306c1784ebbf0349636eaf,True,True,17,nominal
b1407d17-537d-4a47-b5a1-a33ceaa68e20,2e76902e1ce85f2d39b7f280471104975d8419ddc45ea1be833a10953a4d6291,True,True,18,nominal
4b2a6001-3c07-4126-b344-617f00438f4b,7b9526943b12e029f697c94ec6b4db184401aed9a949c0b9587ed20253a64b53,True,True,19,nominal
d878144c-f622-4249-ac43-e5eac03e8d20,281ba1b8ee6adffb8b3f8a31ccf895982853ffe7abdd367261caf94e4514d306,True,True,20,nominal
2048813e-e0ad-45ce-bb03-77847a83e2e9,1ba468ce269113194712579ddf5dc2bf994a6a5991fa37bcc0e7efcac06564fd,True,True,21,nominal
85799c5f-0a8d-4063-a2b8-614e3aa14291,8fd4337746e4cace622ccfcdde9c201d32f84f423db7a54864ec3b57727d1870,True,True,22,nominal
c50153e9-f99f-4026-b9bf-47f1c30bb4f2,299d679a673cbaf98ebb91a2a0b1de19cb847e3cf51d9a12eeb9235577cc3e75,True,True,23,nominal
7c91a0c8-3e20-4233-a1f1-65e2b7b3da7c,9d8267c17d2bf91c185ed9b97080a754dae359e70c2b8c4d78a9a770d47c0b9e,True,True,24,nominal
80dcdde4-f7a2-476e-9387-ff80c10467fa,ba2fc84b837a8950a1e74ad2d97b9160a89b88701d2c2c18f087e9b87c3a7384,True,True,25,nominal
86fdc74b-b07d-4cd2-a638-3c881a6dfb4b,2b27c20b0d84dd4ad0cf9ac89d6630d40b5bd365a08d95eece2707916e929026,True,True,26,nominal
c8f11e2e-8a8d-489c-9a15-1feb84b9868b,1a96c65d02b8e75d2bbccda887fb7f24b593d03cd41df06c2fedc93d5c8637e3,True,True,27,nominal
5c8ca9b4-f1ac-44a1-9f75-097241b8a3d3,3841d76de7f07e6ca077d15784d68ab98161227d48a165601aece25ce73a21b9,True,True,28,nominal
d19b531f-2d43-40cb-8126-cefa9944a7af,0d620358564018818db0142b5ae8aef374c4153e47f366471e2374ed968f531b,True,True,29,nominal
daf31526-6a96-4210-9a82-cfaf8491ecb0,57633bbd09cdd76388a543bc9a183605f9e7af4b9bb0789b7bdaa57fc47df4b9,True,True,30,nominal
7a8e4f65-6c8f-478b-a1e9-aaada4d2c44e,07aba48bfa35a19fff0c64296526577922bd0ba00da1779ae051a1a98426a1a8,True,True,31,nominal
b5caa0a9-fa1b-4dc7-910e-61d40f32ccb1,fa0e869dd7c159e0e8134f7dacbbb80a456642b45899f134b646a6ec8b68ace8,True,True,32,nominal
9aff1f16-28df-4458-9477-3b5b6ab28cc1,eeba805fbe7bc8de8cd3533dee365dc63d088a1a504cf6f32d2aef3ce8498f94,True,True,33,nominal
f8107dd0-6778-4f92-85c2-e8614a75827a,3752489c641875dc09f4b377dfe27eabafd2c7df07987fbb810a616f160da855,True,True,34,nominal
3b9dc856-9274-4ea1-a926-7e8cf2bf8be9,e9827c26edbe014460b98fcc815ceadcd20c804d0f548e5e8b3b208b2ba2875e,True,True,35,nominal
5ab816e9-cfd8-40d4-934a-721bf79ad42e,423d0bdc70edfd6dda959014a0e4c6190aff089baca00114f9e36faba9d44625,True,True,36,nominal
83d8dc17-f44f-4e4a-b79f-12c5e75cd038,f44d46ac06c04efa3f84726eee6d7565d13b5728e53e651126e02a9d66f05080,True,True,37,nominal
775a0ca2-8680-40a3-b287-745fc30c6737,bd61123c98bde98190bb3bc0abcaaa45b0d57524f285a0a55df9fb48b6e68b92,True,True,38,nominal
ee71ebb6-3eac-4c56-b27b-582c5dc3b0f8,dba0cfc521c370d9aa19beb7cef5f2e6a74e387deebf9aa53a4911888517c8b3,True,True,39,nominal
cb5d7d1c-c64e-49b6-803f-ed2fb85240fb,9f2d0736fef1899062e5a07bed10117624ffb51237e84c30b1358d8ab865f2fe,True,True,40,nominal
345e76c9-a326-4a3a-8ca5-94d75d520288,e1c5e6c2d7659f1839e202dafbc0668fc60f0f5a0834f8fe03d41daee6f5a081,True,True,41,nominal
cbbdc728-2612-467a-bb45-978a888e1429,8c0f673f1b776de542bcab5518b9643e944f51b48d0932349f4e7a586d9fbb07,True,True,42,nominal
d9c3c54c-78d0-4b64-a763-e4b6185c50e3,584d791e176fcf65c8cedab3d2e6324efcf9b5d2bbef53da0a43209fd10cf0f9,True,True,43,nominal
f135348e-4c87-4b19-8184-48fe97160455,1490c7205bfe06cfc11b205991478773d276ec7a7830363c281a8b1c70c502ef,True,True,44,nominal
1cc5ef76-e250-499c-8af9-c2720b3fa257,347af7737ef82db8af284c961c635b57dc570bc72cd45842b506b5262e2aca2b,True,True,45,nominal
2e61cdbc-e929-455d-b2eb-395f4aeee6d2,ec503a47f5a5b828008a81d74157fbb4e29dc0ef82f1c675cd91b29bee199203,True,True,46,nominal
1a7e9a2e-f581-4aaf-985f-4adc792ef729,a40fa416c0663218320b2af4b2d2aa84582b91d007994556d78c59667e1038bc,True,True,47,nominal
9a9e4c10-34b8-4d9c-a6a7-b43758d94961,03b7a4792863415c627fcd6e6e2a343ffc75d7823462ea73ebc8e9f8c461bda9,True,True,0,dropout
b79067f5-384f-4e64-9b05-c7596da97cb8,a926034897fb8cfa25e3d797aa58a350fb4167465b264ad6364684cfa1e846b6,True,True,1,dropout
54bcfd2a-0b82-4ec0-9898-b449c415cb47,44f368272b52369a6ae0e796366a0705ed3aa95b76ae6841a127c4bc3047bba3,True,True,2,dropout
427df061-1a80-4d71-aae9-7d63433fae36,b48c132604ec99495b5571601062a4c30817f6a3fe5e87899cfce922ec2a1ed7,True,True,3,dropout
08532d2f-be54-4e95-a773-87e8a1ec40b8,1c2b7b93ce8cc4809da487eafd338c60082ba03c473b604fae459c348a26c3db,True,True,4,dropout
86ce6238-4900-4e0c-9e79-b573b94bf4ee,695e99e03aa0da73efcceb64442bab81b4a4a5ddbd244f990568400df6848a31,True,True,5,dropout
e150b518-941f-44e6-9ae2-e9e03c7c20df,2a644014bc4a8f8f7011c4c94b1a656a0986d76a3c4dccd66ef68fd2d53fc512,True,True,6,dropout
4e974d0a-5b17-4e07-98f5-04f49747d297,6134b5b9854cb1a0d563bbd1686d7757a36e345a93a147001f69b5b40b48a15e,True,True,7,dropout
c5047050-dd56-4cf5-a91f-87664768f849,209af3159e148207198239524594a771b26a5ffa1d272af0385aec42602c1fd7,True,True,8,dropout
7f9237d2-ad95-476a-bea6-00f11818efc9,a72ea622210c92fb567c93413b06ce46c7bac7986e42e4e781e5c5028194ae83,True,True,9,dropout
266291bc-ba26-4ff3-b600-ece1106c3949,c37062aa90c641e46f5b9f4003895576781ef4eb4f918faa3f12f530b8252bf0,True,True,10,dropout
4182a95f-6d5e-4319-ab54-27dd248e42dd,2708e44a02cf6c8ae3d7de7307ad0fe52bc9b0e09f79529ac2c89fe67200dde2,True,True,11,dropout
4b244de9-24d3-4f1a-a4e1-df316baaf34f,739b8be419038d1a073c0c32f9e6f0596eb480515808cd88a2a4cf21d4b8a419,True,True,12,dropout
2560f954-57eb-4bca-a870-4ba442650ede,037fa5dafa423b85d7ea9966c2e94056294448fa38b1a97563426a35bd5a4825,True,True,13,dropout
e64ace09-eaba-4366-93b3-18fd21447d76,0b29287dc67e03f46e21a60d0f6d4505973b422a581f7432fd4520154332e26d,True,True,14,dropout
cda2e687-2cdb-4fb4-878e-e90a789960c3,127caff7df0336419ac7bfeda353d9c38914ec4ec0de54b975d0c6a930db0634,True,True,15,dropout
