source_type,source_key,table,column,rows,na_count,na_ratio,allowed_max_ratio,allowed,status
duckdb,data/audit/iot_loop.duckdb::iot_ack,iot_ack,reason,672,672,1.0,1.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,timeout_at,672,672,1.0,1.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,timeout_reason,672,672,1.0,1.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,hold_reason,2,2,1.0,1.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,hold_since_utc,2,2,1.0,1.0,True,ok
csv,reports/ablations/ablation_results.csv,,carbon_emissions,20,20,1.0,1.0,True,ok
csv,reports/ablations/ablation_results.csv,,oracle_cost,20,20,1.0,1.0,True,ok
csv,reports/ablations/ablation_results.csv,,regret,20,20,1.0,1.0,True,ok
csv,reports/ablations/ablation_results.csv,,regret_pct,20,20,1.0,1.0,True,ok
csv,reports/ablations/ablation_summary.csv,,mean_regret_pct,4,4,1.0,1.0,True,ok
csv,reports/ablations_smoke/ablation_results.csv,,carbon_emissions,4,4,1.0,1.0,True,ok
csv,reports/ablations_smoke/ablation_results.csv,,oracle_cost,4,4,1.0,1.0,True,ok
csv,reports/ablations_smoke/ablation_results.csv,,regret,4,4,1.0,1.0,True,ok
csv,reports/ablations_smoke/ablation_results.csv,,regret_pct,4,4,1.0,1.0,True,ok
csv,reports/ablations_smoke/ablation_summary.csv,,mean_regret_pct,4,4,1.0,1.0,True,ok
csv,reports/research_metrics_us.csv,,load_stress_additive_mw,621,595,0.9581320450885669,1.0,True,ok
csv,reports/research_metrics_us.csv,,mean_stressed_interval_width,621,595,0.9581320450885669,1.0,True,ok
csv,reports/research_metrics_us.csv,,operational_grid_cap_mw,621,595,0.9581320450885669,1.0,True,ok
csv,reports/research_metrics_us.csv,,reserve_soc_mwh,621,595,0.9581320450885669,1.0,True,ok
csv,reports/research_metrics_us.csv,,stress_interval_multiplier,621,595,0.9581320450885669,1.0,True,ok
csv,reports/research_metrics_us.csv,,terminal_soc_target_mwh,621,595,0.9581320450885669,1.0,True,ok
csv,reports/metrics/forecast_point_metrics.csv,,daylight_mape,12,8,0.6666666666666666,1.0,True,ok
csv,reports/metrics/forecast_window_metrics.csv,,daylight_mape,90,60,0.6666666666666666,1.0,True,ok
csv,reports/publication/tables/table2_forecast_metrics_de.csv,,daylight_mape,12,8,0.6666666666666666,1.0,True,ok
csv,reports/publication/tables/table3_forecast_metrics_us.csv,,daylight_mape,12,8,0.6666666666666666,1.0,True,ok
csv,reports/research_metrics_de.csv,,faci_scale_bound_lower,864,324,0.375,1.0,True,ok
csv,reports/research_metrics_de.csv,,faci_scale_bound_upper,864,324,0.375,1.0,True,ok
csv,reports/publication/tables/table5_optimization_impact.csv,,Delta,3,1,0.3333333333333333,1.0,True,ok
csv,reports/research_metrics_us.csv,,faci_scale_bound_lower,621,170,0.27375201288244766,1.0,True,ok
csv,reports/research_metrics_us.csv,,faci_scale_bound_upper,621,170,0.27375201288244766,1.0,True,ok
csv,reports/ablations/ablation_results.csv,,infeasible_rate,20,5,0.25,1.0,True,ok
csv,reports/ablations/ablation_results.csv,,total_cost,20,5,0.25,1.0,True,ok
csv,reports/ablations/ablation_summary.csv,,ci_lower,4,1,0.25,1.0,True,ok
csv,reports/ablations/ablation_summary.csv,,ci_upper,4,1,0.25,1.0,True,ok
csv,reports/ablations/ablation_summary.csv,,mean_cost,4,1,0.25,1.0,True,ok
csv,reports/ablations/ablation_summary.csv,,mean_infeasible_rate,4,1,0.25,1.0,True,ok
csv,reports/ablations/ablation_summary.csv,,median_cost,4,1,0.25,1.0,True,ok
csv,reports/ablations/ablation_summary.csv,,std_cost,4,1,0.25,1.0,True,ok
csv,reports/ablations_smoke/ablation_results.csv,,infeasible_rate,4,1,0.25,1.0,True,ok
csv,reports/ablations_smoke/ablation_results.csv,,total_cost,4,1,0.25,1.0,True,ok
csv,reports/ablations_smoke/ablation_summary.csv,,ci_lower,4,1,0.25,1.0,True,ok
csv,reports/ablations_smoke/ablation_summary.csv,,ci_upper,4,1,0.25,1.0,True,ok
csv,reports/ablations_smoke/ablation_summary.csv,,mean_cost,4,1,0.25,1.0,True,ok
