scenario,controller,alpha0,ph_lambda,kappa_drift_penalty,picp_90_mean,picp_90_ci_low,picp_90_ci_high,mean_interval_width_mean,mean_interval_width_ci_low,mean_interval_width_ci_high,expected_cost_usd_mean,expected_cost_usd_ci_low,expected_cost_usd_ci_high,intervention_rate_mean,intervention_rate_ci_low,intervention_rate_ci_high
dropout,deterministic_lp,0.050000,3.000000,0.300000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.050000,3.000000,0.500000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.050000,3.000000,0.700000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.050000,5.000000,0.300000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.050000,5.000000,0.500000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.050000,5.000000,0.700000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.050000,7.000000,0.300000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.050000,7.000000,0.500000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.050000,7.000000,0.700000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.100000,3.000000,0.300000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.100000,3.000000,0.500000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.100000,3.000000,0.700000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.100000,5.000000,0.300000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.100000,5.000000,0.500000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.100000,5.000000,0.700000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.100000,7.000000,0.300000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.100000,7.000000,0.500000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.100000,7.000000,0.700000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.150000,3.000000,0.300000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.150000,3.000000,0.500000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.150000,3.000000,0.700000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.150000,5.000000,0.300000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.150000,5.000000,0.500000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.150000,5.000000,0.700000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
dropout,deterministic_lp,0.150000,7.000000,0.300000,0.926587,0.922619,0.928571,503.130805,503.130805,503.130805,389121320.028029,388440698.914723,389845660.822398,0.000000,0.000000,0.000000
