analysis_scope,baseline_role,scenario,fault_dimension,baseline_controller,candidate_controller,n_pairs,true_soc_violation_rate_baseline_mean,true_soc_violation_rate_dc3s_mean,true_soc_violation_rate_dc3s_ci_low,true_soc_violation_rate_dc3s_ci_high,true_soc_violation_rate_rel_reduction,true_soc_violation_rate_rel_reduction_ci_low,true_soc_violation_rate_rel_reduction_ci_high,true_soc_violation_rate_wilcoxon_stat,true_soc_violation_rate_wilcoxon_p,true_soc_violation_rate_passes_10pct,true_soc_violation_rate_passes_15pct,true_soc_violation_rate_target_relative_reduction,true_soc_violation_rate_passes_target,true_soc_violation_rate_passes_p01,true_soc_violation_severity_p95_baseline_mean,true_soc_violation_severity_p95_dc3s_mean,true_soc_violation_severity_p95_dc3s_ci_low,true_soc_violation_severity_p95_dc3s_ci_high,true_soc_violation_severity_p95_rel_reduction,true_soc_violation_severity_p95_rel_reduction_ci_low,true_soc_violation_severity_p95_rel_reduction_ci_high,true_soc_violation_severity_p95_wilcoxon_stat,true_soc_violation_severity_p95_wilcoxon_p,true_soc_violation_severity_p95_passes_10pct,true_soc_violation_severity_p95_passes_15pct,true_soc_violation_severity_p95_target_relative_reduction,true_soc_violation_severity_p95_passes_target,true_soc_violation_severity_p95_passes_p01,passes_all_thresholds
primary_aggregate_fault_sweep,primary,aggregate_fault_sweep,all,robust_fixed_interval,dc3s_wrapped,120,0.216406,0.000000,0.000000,0.000000,0.883333,1.000000,1.000000,0.000000,0.000000,True,True,0.100000,True,True,190.431425,0.000000,0.000000,0.000000,0.883333,1.000000,1.000000,0.000000,0.000000,True,True,0.100000,True,True,True
secondary_fault_dimension,secondary,aggregate_fault_sweep,delay_seconds,deterministic_lp,dc3s_wrapped,30,0.068403,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,True,True,0.100000,True,True,1037.269886,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,True,True,0.100000,True,True,True
secondary_fault_dimension,secondary,aggregate_fault_sweep,delay_seconds,robust_fixed_interval,dc3s_wrapped,30,0.228820,0.000000,0.000000,0.000000,0.833333,1.000000,1.000000,0.000000,0.000012,True,True,0.100000,True,True,304.527681,0.000000,0.000000,0.000000,0.833333,1.000000,1.000000,0.000000,0.000012,True,True,0.100000,True,True,True
secondary_fault_dimension,secondary,aggregate_fault_sweep,dropout,deterministic_lp,dc3s_wrapped,40,0.067708,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,True,True,0.100000,True,True,473.301099,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,True,True,0.100000,True,True,True
secondary_fault_dimension,secondary,aggregate_fault_sweep,dropout,robust_fixed_interval,dc3s_wrapped,40,0.220573,0.000000,0.000000,0.000000,0.950000,1.000000,1.000000,0.000000,0.000000,True,True,0.100000,True,True,342.638594,0.000000,0.000000,0.000000,0.950000,1.000000,1.000000,0.000000,0.000000,True,True,0.100000,True,True,True
secondary_fault_dimension,secondary,aggregate_fault_sweep,out_of_order,deterministic_lp,dc3s_wrapped,20,0.059375,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000002,True,True,0.100000,True,True,257.051936,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000002,True,True,0.100000,True,True,True
secondary_fault_dimension,secondary,aggregate_fault_sweep,out_of_order,robust_fixed_interval,dc3s_wrapped,20,0.267708,0.000000,0.000000,0.000000,0.900000,1.000000,1.000000,0.000000,0.000188,True,True,0.100000,True,True,0.209727,0.000000,0.000000,0.000000,0.900000,1.000000,1.000000,0.000000,0.000193,True,True,0.100000,True,True,True
secondary_fault_dimension,secondary,aggregate_fault_sweep,spike_sigma,deterministic_lp,dc3s_wrapped,30,0.064931,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,True,True,0.100000,True,True,258.500513,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,True,True,0.100000,True,True,True
secondary_fault_dimension,secondary,aggregate_fault_sweep,spike_sigma,robust_fixed_interval,dc3s_wrapped,30,0.164236,0.000000,0.000000,0.000000,0.833333,1.000000,1.000000,0.000000,0.000012,True,True,0.100000,True,True,0.206742,0.000000,0.000000,0.000000,0.833333,1.000000,1.000000,0.000000,0.000012,True,True,0.100000,True,True,True
secondary_scenario,secondary,drift_combo,aggregate,deterministic_lp,dc3s_wrapped,10,0.150000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.001953,True,True,0.100000,True,True,1981.879423,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.001953,True,True,0.100000,True,True,True
secondary_scenario,secondary,drift_combo,aggregate,robust_fixed_interval,dc3s_wrapped,10,0.116667,0.000000,0.000000,0.000000,0.800000,1.000000,1.000000,0.000000,0.011514,True,True,0.100000,True,False,2520.580354,0.000000,0.000000,0.000000,0.800000,1.000000,1.000000,0.000000,0.011719,True,True,0.100000,True,False,False
secondary_scenario,secondary,dropout,aggregate,deterministic_lp,dc3s_wrapped,10,0.150000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.001953,True,True,0.100000,True,True,643.338261,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.001953,True,True,0.100000,True,True,True
secondary_scenario,secondary,dropout,aggregate,robust_fixed_interval,dc3s_wrapped,10,0.125000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.001953,True,True,0.100000,True,True,543.647520,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.001953,True,True,0.100000,True,True,True
