transfer_case,seed,source_artifact,picp_90,mean_width,true_soc_violation_rate,true_soc_violation_severity_p95_mwh,cost_delta_pct
DE_drift_combo,11,cvar_interval,0.369048,951.890877,0.190476,0.423239,-0.004652
DE_drift_combo,11,dc3s_wrapped,0.369048,1021.619297,0.000000,0.000000,-0.002883
DE_drift_combo,11,deterministic_lp,0.369048,951.890877,0.083333,213.861313,0.000000
DE_drift_combo,11,robust_fixed_interval,0.785714,12117.505735,0.190476,0.423239,-0.004652
DE_drift_combo,22,cvar_interval,0.380952,951.890877,0.750000,0.396125,-0.003097
DE_drift_combo,22,dc3s_wrapped,0.380952,1002.440877,0.000000,0.000000,-0.002455
DE_drift_combo,22,deterministic_lp,0.380952,951.890877,0.095238,209.168890,0.000000
DE_drift_combo,22,robust_fixed_interval,0.773810,12273.645026,0.750000,0.396125,-0.003097
DE_drift_combo,33,cvar_interval,0.428571,951.890877,0.011905,0.047823,-0.004881
DE_drift_combo,33,dc3s_wrapped,0.428571,1044.738735,0.000000,0.000000,-0.004880
DE_drift_combo,33,deterministic_lp,0.428571,951.890877,0.071429,238.606827,0.000000
DE_drift_combo,33,robust_fixed_interval,0.750000,12260.297407,0.011905,0.047823,-0.004881
DE_dropout,11,cvar_interval,0.928571,951.890877,0.059524,0.368111,-0.004698
DE_dropout,11,dc3s_wrapped,0.928571,965.679448,0.000000,0.000000,-0.004683
DE_dropout,11,deterministic_lp,0.928571,951.890877,0.107143,185.680061,0.000000
DE_dropout,11,robust_fixed_interval,1.000000,12000.821611,0.059524,0.368111,-0.004698
DE_dropout,22,cvar_interval,0.952381,951.890877,0.750000,0.184403,-0.003283
DE_dropout,22,dc3s_wrapped,0.952381,965.937543,0.000000,0.000000,0.026199
DE_dropout,22,deterministic_lp,0.952381,951.890877,0.130952,165.054179,0.000000
DE_dropout,22,robust_fixed_interval,1.000000,12002.526997,0.750000,0.184403,-0.003283
DE_dropout,33,cvar_interval,0.928571,951.890877,0.202381,0.417771,-0.004600
DE_dropout,33,dc3s_wrapped,0.928571,967.066428,0.000000,0.000000,-0.004584
DE_dropout,33,deterministic_lp,0.928571,951.890877,0.154762,311.481008,0.000000
DE_dropout,33,robust_fixed_interval,1.000000,11989.455575,0.202381,0.417771,-0.004600
DE_nominal,11,cvar_interval,1.000000,951.890877,0.190476,0.272948,-0.004709
DE_nominal,11,dc3s_wrapped,1.000000,952.124159,0.000000,0.000000,0.027530
DE_nominal,11,deterministic_lp,1.000000,951.890877,0.107143,186.004768,0.000000
DE_nominal,11,robust_fixed_interval,1.000000,11996.964918,0.190476,0.272948,-0.004709
DE_nominal,22,cvar_interval,1.000000,951.890877,0.190476,0.068803,-0.003279
DE_nominal,22,dc3s_wrapped,1.000000,952.382253,0.000000,0.000000,-0.003274
DE_nominal,22,deterministic_lp,1.000000,951.890877,0.095238,208.668880,0.000000
DE_nominal,22,robust_fixed_interval,1.000000,12005.917483,0.190476,0.068803,-0.003279
DE_nominal,33,cvar_interval,1.000000,951.890877,0.488095,0.417771,-0.005057
DE_nominal,33,dc3s_wrapped,1.000000,952.061358,0.000000,0.000000,0.032729
DE_nominal,33,deterministic_lp,1.000000,951.890877,0.130952,165.400475,0.000000
DE_nominal,33,robust_fixed_interval,1.000000,12004.354983,0.488095,0.417771,-0.005057
US_drift_combo,11,cvar_interval,0.440476,951.890877,0.190476,0.423239,-0.039088
US_drift_combo,11,dc3s_wrapped,0.452381,1021.370895,0.000000,0.000000,-0.032586
US_drift_combo,11,deterministic_lp,0.440476,951.890877,0.071429,238.932545,0.000000
US_drift_combo,11,robust_fixed_interval,0.797619,3512.901606,0.190476,0.423239,-0.039088
US_drift_combo,22,cvar_interval,0.452381,951.890877,0.750000,0.396125,-0.010863
US_drift_combo,22,dc3s_wrapped,0.464286,1002.212307,0.000000,0.000000,-0.008501
US_drift_combo,22,deterministic_lp,0.452381,951.890877,0.095238,209.716829,0.000000
US_drift_combo,22,robust_fixed_interval,0.785714,3556.620607,0.750000,0.396125,-0.010863
US_drift_combo,33,cvar_interval,0.511905,951.890877,0.011905,0.047823,-0.020028
US_drift_combo,33,dc3s_wrapped,0.523810,1044.109286,0.000000,0.000000,-0.020021
US_drift_combo,33,deterministic_lp,0.511905,951.890877,0.071429,238.606827,0.000000
US_drift_combo,33,robust_fixed_interval,0.761905,3552.883274,0.011905,0.047823,-0.020028
US_dropout,11,cvar_interval,0.976190,951.890877,0.059524,0.368111,-0.023268
US_dropout,11,dc3s_wrapped,0.988095,965.679448,0.000000,0.000000,-0.023216
US_dropout,11,deterministic_lp,0.976190,951.890877,0.107143,194.723687,0.000000
US_dropout,11,robust_fixed_interval,1.000000,3480.230051,0.059524,0.368111,-0.023268
US_dropout,22,cvar_interval,0.988095,951.890877,0.750000,0.184403,-0.011537
US_dropout,22,dc3s_wrapped,0.988095,965.937543,0.000000,0.000000,0.097067
US_dropout,22,deterministic_lp,0.988095,951.890877,0.130952,165.487201,0.000000
US_dropout,22,robust_fixed_interval,1.000000,3480.707559,0.750000,0.184403,-0.011537
US_dropout,33,cvar_interval,0.976190,951.890877,0.202381,0.417771,-0.019047
US_dropout,33,dc3s_wrapped,0.976190,967.066428,0.000000,0.000000,-0.018990
US_dropout,33,deterministic_lp,0.976190,951.890877,0.154762,311.481008,0.000000
US_dropout,33,robust_fixed_interval,1.000000,3477.047561,0.202381,0.417771,-0.019047
US_nominal,11,cvar_interval,1.000000,951.890877,0.190476,0.272948,-0.023291
US_nominal,11,dc3s_wrapped,1.000000,952.124159,0.000000,0.000000,0.095468
US_nominal,11,deterministic_lp,1.000000,951.890877,0.119048,179.765678,0.000000
US_nominal,11,robust_fixed_interval,1.000000,3479.150177,0.190476,0.272948,-0.023291
US_nominal,22,cvar_interval,1.000000,951.890877,0.190476,0.068803,-0.011517
US_nominal,22,dc3s_wrapped,1.000000,952.382253,0.000000,0.000000,-0.011500
US_nominal,22,deterministic_lp,1.000000,951.890877,0.095238,209.216819,0.000000
US_nominal,22,robust_fixed_interval,1.000000,3481.656895,0.190476,0.068803,-0.011517
US_nominal,33,cvar_interval,1.000000,951.890877,0.488095,0.417771,-0.020733
US_nominal,33,dc3s_wrapped,1.000000,952.061358,0.000000,0.000000,0.118339
US_nominal,33,deterministic_lp,1.000000,951.890877,0.130952,165.400475,0.000000
US_nominal,33,robust_fixed_interval,1.000000,3481.219395,0.488095,0.417771,-0.020733
