requested_surface,domain,evidence_surface,source_artifacts,ablation_name,baseline_family,baseline_controller,baseline_tsvr,orius_tsvr,absolute_tsvr_reduction,relative_tsvr_reduction,baseline_intervention_rate,orius_intervention_rate,comparability,claim_interpretation,note
no_certificate_gate,Autonomous Vehicles,runtime_denominator,reports/publication/three_domain_ablation_matrix.csv,no_certificate_refresh_stale_certificate_policy,no_temporal_guard_or_no_certificate_refresh_runtime,stale_certificate_no_temporal_guard,0.263610,0.000163,0.263447,0.999382,0.340679,0.500301,non_comparable_combined_certificate_temporal_guard,Existing compact evidence combines certificate refresh/stale-certificate behavior with temporal guarding; do not treat it as an isolated certificate-gate ablation.,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
no_fallback,Autonomous Vehicles,runtime_denominator,reports/publication/three_domain_ablation_matrix.csv,no_fallback_or_no_temporal_guard,no_temporal_guard_or_no_certificate_refresh_runtime,stale_certificate_no_temporal_guard,0.263610,0.000163,0.263447,0.999382,0.340679,0.500301,non_comparable_combined_with_temporal_guard,Existing compact evidence combines fallback removal with temporal-guard behavior; do not treat it as an isolated fallback-only ablation.,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
no_reliability,Autonomous Vehicles,runtime_denominator,reports/publication/three_domain_ablation_matrix.csv,no_reliability_conditioned_widening,fixed_threshold_or_fixed_inflation_runtime,robust_fixed_deceleration,0.252319,0.000163,0.252156,0.999354,0.896897,0.500301,comparable_runtime_native,Reliability-conditioned widening removed; runtime-native TSVR delta is directly comparable.,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
no_repair,Autonomous Vehicles,runtime_denominator,reports/publication/three_domain_ablation_matrix.csv,no_repair_release_without_repair,nominal_deterministic_controller,baseline,0.289250,0.000163,0.289087,0.999436,0.000000,0.500301,comparable_runtime_native,Repair/release layer removed; runtime-native TSVR delta is directly comparable.,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
no_uncertainty,Autonomous Vehicles,not_isolated_in_compact_evidence,reports/publication/three_domain_baseline_suite.csv,not_isolated_nominal_deterministic_controller,nominal_deterministic_controller,baseline,0.289250,0.000163,0.289087,0.999436,0.000000,0.500301,non_comparable_combined_nominal_no_uncertainty_surface,Compact evidence has a nominal deterministic comparator but no isolated no-uncertainty-only ablation; shown only to identify the nearest existing surface.,Claim-carrying baseline row from a domain-native runtime denominator. Runtime-native nominal controller row.
no_certificate_gate,Battery Energy Storage,runtime_denominator,reports/publication/three_domain_ablation_matrix.csv,no_certificate_refresh_stale_certificate_policy,no_temporal_guard_or_no_certificate_refresh_runtime,deep:dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,non_comparable_combined_certificate_temporal_guard,Existing compact evidence combines certificate refresh/stale-certificate behavior with temporal guarding; do not treat it as an isolated certificate-gate ablation.,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
no_fallback,Battery Energy Storage,runtime_denominator,reports/publication/three_domain_ablation_matrix.csv,no_fallback_or_no_temporal_guard,no_temporal_guard_or_no_certificate_refresh_runtime,deep:dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,non_comparable_combined_with_temporal_guard,Existing compact evidence combines fallback removal with temporal-guard behavior; do not treat it as an isolated fallback-only ablation.,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
no_reliability,Battery Energy Storage,runtime_denominator,reports/publication/three_domain_ablation_matrix.csv,no_reliability_conditioned_widening,fixed_threshold_or_fixed_inflation_runtime,deep:dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,comparable_runtime_native,Reliability-conditioned widening removed; runtime-native TSVR delta is directly comparable.,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
no_repair,Battery Energy Storage,runtime_denominator,reports/publication/three_domain_ablation_matrix.csv,no_repair_release_without_repair,nominal_deterministic_controller,deep:dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,comparable_runtime_native,Repair/release layer removed; runtime-native TSVR delta is directly comparable.,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
no_uncertainty,Battery Energy Storage,not_isolated_in_compact_evidence,reports/publication/three_domain_baseline_suite.csv,not_isolated_nominal_deterministic_controller,nominal_deterministic_controller,deep:dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,non_comparable_combined_nominal_no_uncertainty_surface,Compact evidence has a nominal deterministic comparator but no isolated no-uncertainty-only ablation; shown only to identify the nearest existing surface.,Claim-carrying baseline row from a domain-native runtime denominator. Runtime-native nominal controller row.
no_certificate_gate,Medical and Healthcare Monitoring,runtime_denominator,reports/publication/three_domain_ablation_matrix.csv,no_certificate_refresh_stale_certificate_policy,no_temporal_guard_or_no_certificate_refresh_runtime,stale_certificate_no_temporal_guard,0.000029,0.000000,0.000029,1.000000,1.000000,0.479907,non_comparable_combined_certificate_temporal_guard,Existing compact evidence combines certificate refresh/stale-certificate behavior with temporal guarding; do not treat it as an isolated certificate-gate ablation.,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
no_fallback,Medical and Healthcare Monitoring,runtime_denominator,reports/publication/three_domain_ablation_matrix.csv,no_fallback_or_no_temporal_guard,no_temporal_guard_or_no_certificate_refresh_runtime,stale_certificate_no_temporal_guard,0.000029,0.000000,0.000029,1.000000,1.000000,0.479907,non_comparable_combined_with_temporal_guard,Existing compact evidence combines fallback removal with temporal-guard behavior; do not treat it as an isolated fallback-only ablation.,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
no_reliability,Medical and Healthcare Monitoring,runtime_denominator,reports/publication/three_domain_ablation_matrix.csv,no_reliability_conditioned_widening,fixed_threshold_or_fixed_inflation_runtime,fixed_conservative_alert,0.200420,0.000000,0.200420,1.000000,1.000000,0.479907,comparable_runtime_native,Reliability-conditioned widening removed; runtime-native TSVR delta is directly comparable.,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
no_repair,Medical and Healthcare Monitoring,runtime_denominator,reports/publication/three_domain_ablation_matrix.csv,no_repair_release_without_repair,nominal_deterministic_controller,baseline,0.194489,0.000000,0.194489,1.000000,0.000000,0.479907,comparable_runtime_native,Repair/release layer removed; runtime-native TSVR delta is directly comparable.,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
no_uncertainty,Medical and Healthcare Monitoring,not_isolated_in_compact_evidence,reports/publication/three_domain_baseline_suite.csv,not_isolated_nominal_deterministic_controller,nominal_deterministic_controller,baseline,0.194489,0.000000,0.194489,1.000000,0.000000,0.479907,non_comparable_combined_nominal_no_uncertainty_surface,Compact evidence has a nominal deterministic comparator but no isolated no-uncertainty-only ablation; shown only to identify the nearest existing surface.,Claim-carrying baseline row from a domain-native runtime denominator. Runtime-native nominal controller row.
no_signature_hash_gate,Cross-domain governance,governance_fail_closed,reports/publication/security_governance_ablation_matrix.csv,missing_model_hash;bad_certificate_signature,security_governance_gate,no_controller_for_governance_gate,not_a_tsvr_metric,not_a_tsvr_metric,not_a_tsvr_metric,not_a_tsvr_metric,not_an_intervention_metric,metric_not_reported_in_compact_comparator,non_comparable_governance_gate,"Signature/hash removal is a governance fail-closed surface, not a TSVR metric row.",refuse load before deserialization; verification fails closed; tests/test_model_artifact_hash_verification.py; scripts/validate_deployment_security.py; tests/test_dc3s_certificate_full.py; scripts/validate_certificate_schema.py; ORIUS safety evidence does not rely on unverifiable model binaries in strict release mode.; Certificate-backed release is meaningful only when invalid signatures deny release.
