bin_id,reliability_lower,reliability_upper,n,picp,mean_interval_width,qhat
0,0.0,0.4952823691206655,200,0.9,40.5822907223764,20.2911453611882
1,0.4952823691206655,0.5761713314367688,200,0.9,38.757403524781694,19.37870176239085
2,0.5761713314367688,0.6370599843641035,200,0.9,32.19358748316981,16.0967937415849
3,0.6370599843641035,0.6786499825336209,200,0.9,36.81817558088266,18.409087790441326
4,0.6786499825336209,0.7277627514556573,200,0.9,31.289807479886186,15.644903739943095
5,0.7277627514556573,0.7653886560840832,200,0.9,25.098319590941838,12.549159795470917
6,0.7653886560840832,0.8093573821130365,200,0.9,25.57043653890082,12.785218269450409
7,0.8093573821130365,0.8542790608067644,200,0.9,23.798809535991257,11.899404767995627
8,0.8542790608067644,0.9013839221889158,200,0.9,23.382503281021364,11.691251640510682
9,0.9013839221889158,1.0,200,0.9,20.747467562370076,10.373733781185036
