region,target,rmse,mae,mape,smape,r2
DE,load_mw,305.120962,187.869415,0.003912,0.003904,0.998848
DE,wind_mw,219.107578,129.362277,0.027885,0.024100,0.999074
DE,solar_mw,240.353210,117.319337,32602460.145666,0.692360,0.999301
DE,price_eur_mwh,4.998528,2.328736,1.446679,0.101619,0.897270
US_MISO,load_mw,183.369247,140.642211,0.001822,0.001823,0.999349
US_MISO,wind_mw,357.096184,210.720250,796670137.431063,0.026497,0.997217
US_MISO,solar_mw,229.987681,82.143358,10611026.852828,0.530905,0.994740
US_ERCOT,load_mw,155.543048,117.158777,0.002303,0.002304,0.998765
US_ERCOT,wind_mw,496.200455,125.475402,2218475137.863318,0.029805,0.994885
US_ERCOT,solar_mw,383.201156,114.146236,85985103.945290,0.904241,0.997677
